成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
あい	愛	18	き く ぐ し じ す ず そ た だ つ て で に ば ぶ ま ら	あいき あいく あいぐ あいし あいじ あいす あいず あいそ あいた あいだ あいつ あいて あいで あいに あいば あいぶ あいま あいら	気合い 悪意 具合 試合 自愛 アイス 合図 愛想（あいそ） 価（あたい）:値（あたい） 間（あいだ） あいつ:威圧 相手 出会い 似合い 場合 歩合 合間 洗い
あお	青	3	さ な り	あおさ あおな あおり	青さ 青菜 あおり
あか	赤	6	じ っ て み り ん	あかじ あかっ あかて あかみ あかり あかん	赤字 悪化 手あか 赤身 ありか:明かり 安価
あき	あき（空・明）:秋:空き:飽き	7	い ず ち つ や る ん	あいき あきず あきち あきつ あきや あきる あきん	気合い 小豆（あずき） 空き地:空き地・明き地 気圧 空き家 歩き 暗記
あく	あく:悪（あく）	8	い げ じ は び ま む り	あいく あくげ あくじ あくは あくび あくま あくむ あくり	悪意 挙げ句:挙げ句・揚げ句:揚げ句 悪事 把握 あくび 悪魔 悪夢 クリア
あけ	ケア:明け	3	ず な よ	あけず あけな あけよ	預け 毛穴 夜明け
あげ	上げ:揚げ	3	く し ね	あくげ あげし あげね	挙げ句:挙げ句・揚げ句:揚げ句 仕上げ 値上げ
あさ	朝	5	お つ ひ め り	あおさ あさつ あさひ あさめ あさり	青さ 厚さ:暑さ:熱さ 朝日 浅め あさり
あし	あし:脚（あし）:足（あし）	10	い げ す た て に ば ら ろ ん	あいし あげし あしす あした あして あしに あしば あしら あしろ あしん	試合 仕上げ 素足 あした（明日）:あした（朝）:明日（あした） 手足（てあし） シニア 足場 あらし ロシア 思案
あじ	あじ:味（あじ）	6	あ い か く み ん	ああじ あいじ あかじ あくじ あじみ あじん	アジア 自愛 赤字 悪事 味見 暗示
あす	明日（あす）	5	い こ し と ぺ	あいす あこす あしす あすと あすぺ	アイス スコア 素足 ストア スペア
あせ	汗	3	も り わ	あせも あせり あせわ	あせも 焦（あせ）り あわせ
あつ	圧	8	い き ぎ さ で み め ー	あいつ あきつ あぎつ あさつ あつで あつみ あつめ あつー	あいつ:威圧 気圧 厚着 厚さ:暑さ:熱さ 厚手 厚み 厚め ツアー
あて	当て	6	い か し て な め	あいて あかて あして あてて あてな あてめ	相手 手あか 手足（てあし） 手当て:手当［通勤〜］ あて名 目当て
あと	後（あと）:跡	3	う す ー	あうと あすと あとー	アウト ストア アート
あど	ドア	1	み	あどみ	網戸
あな	アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］	6	お け た だ て ば	あおな あけな あたな あだな あてな あなば	青菜 毛穴 あなた あだ名 あて名 穴場
