３文字集合	可能な３文字単語
ああじ	アジア
あいき	気合い
あいく	悪意
あいぐ	具合
あいし	試合
あいじ	自愛
あいす	アイス
あいず	合図
あいそ	愛想（あいそ）
あいた	価（あたい）:値（あたい）
あいだ	間（あいだ）
あいつ	あいつ:威圧
あいて	相手
あいで	出会い
あいに	似合い
あいば	場合
あいぶ	歩合
あいま	合間
あいら	洗い
あうと	アウト
あえま	甘え
あえり	エリア
あえん	亜鉛
あおさ	青さ
あおな	青菜
あおり	あおり
あかじ	赤字
あかっ	悪化
あかて	手あか
あかみ	赤身
あかり	ありか:明かり
あかん	安価
あがり	上がり
あきず	小豆（あずき）
あきち	空き地:空き地・明き地
あきつ	気圧
あきや	空き家
あきる	歩き
あきん	暗記
あぎつ	厚着
あぎん	議案
あくげ	挙げ句:挙げ句・揚げ句:揚げ句
あくじ	悪事
あくは	把握
あくび	あくび
あくま	悪魔
あくむ	悪夢
あくり	クリア
あぐま	雨具
あけず	預け
あけな	毛穴
あけよ	夜明け
あげし	仕上げ
あげね	値上げ
あここ	ココア
あこす	スコア
あこそ	あそこ
あこん	あんこ
あさつ	厚さ:暑さ:熱さ
あさひ	朝日
あさめ	浅め
あさり	あさり
あしす	素足
あした	あした（明日）:あした（朝）:明日（あした）
あして	手足（てあし）
あしに	シニア
あしば	足場
あしら	あらし
あしろ	ロシア
あしん	思案
あじみ	味見
あじん	暗示
あすと	ストア
あすぺ	スペア
あせも	あせも
あせり	焦（あせ）り
あせわ	あわせ
あそび	遊び
あたな	あなた
あたま	頭（あたま）
あたり	当たり:辺り
あだな	あだ名
あだん	安打
あちっ	あっち
あちら	あちら
あちれ	荒れ地
あちん	治安
あっぷ	アップ
あつで	厚手
あつみ	厚み
あつめ	厚め
あつー	ツアー
あてて	手当て:手当［通勤〜］
あてな	あて名
あてめ	目当て
あとー	アート
あどみ	網戸
あなば	穴場
あにま	マニア
あにめ	アニメ
あのぴ	ピアノ
あひる	あひる:ある日
あふろ	フロア
あふん	不安
あぶら	あぶら（油・脂）:油（あぶら）:脂（あぶら）
あまみ	甘み
あまり	余り
あみゆ	歩み
あみる	アルミ
いいが	以外
いいけ	敬意:経緯
いいこ	いい子
いいす	推移:水位
いいせ	威勢:異性:誠意
いいた	体位
いいち	一位
いいな	以内
いいね	言い値
いいら	以来:依頼
いいる	衣類
いいれ	異例
いいわ	祝い
いいん	医院:委員
いうか	迂回
いうが	うがい
いうこ	以降:好意:意向:移行:行為
いうご	合意
いうそ	相違:総意
いうど	同意:異動:移動
いうば	梅雨（ばいう）
いうほ	方位:違法
いうゆ	優位
いうよ	用意
いうら	雷雨
いえが	映画
いえご	英語:護衛
いえし	市営
いえじ	英字
いえす	イエス
いえり	営利
いおお	覆い
いおで	おいで
いおに	におい
いおめ	汚名
いおも	思い
いおる	オイル
いおれ	お礼
いおん	イオン
いかか	開花
いかが	外貨:絵画
いかき	機会:機械
いかぎ	会議:議会
いかく	各位
いかけ	家計:経過
いかげ	外科医
いかこ	囲い
いかご	ごかい:介護:誤解
いかさ	境（さかい）:火災
いかし	司会:歯科医:視界:開始
いかじ	次回:開示
いかす	すいか
いかせ	世界:成果:青果
いかた	他界:対価
いかだ	課題
いかち	誓い
いかっ	一家
いかつ	いつか:つかい（使・遣）:五日（いつか）:使い:追加
いかて	仮定:低下:定価:家庭:課程:買い手:過程
いかと	都会
いかな	内科:田舎（いなか）
いかに	二階
いかね	買値
いかは	破壊
いかば	売価
いかひ	会費:回避
いかふ	不快
いかへ	貨幣
いかむ	六日（むいか）:向かい:皆無
いかめ	仮名:名菓:銘菓
いかゆ	愉快
いかよ	通い
いかり	いかり:怒（いか）り:理解
いかる	いるか
いかれ	加齢
いかろ	カイロ:回路
いかわ	会話:和解
いがく	医学
いがし	外資:市外:市街
いがそ	疎外
いがた	互い
いがち	違い
いがど	ガイド
いがね	願い
いがひ	被害
いがぶ	外部:部外
いがむ	無害
いがや	外野
いがり	利害
いがん	因果
いきき	行（い）き来
いきく	区域
いきけ	景気
いきさ	記載
いきざ	機材
いきし	意識
いきせ	世紀:帰省:既製:正規:移籍:規制:遺跡
いきた	待機:期待:気体
いきち	地域
いきっ	一気
いきつ	追記
いきて	定期:規定
いきな	機内
いきは	廃棄
いきひ	ひいき
いきび	いびき
いきへ	兵器:平気
いきめ	明記:記名
いきら	嫌い:嫌い［〜がある］:来期
いきれ	冷気
いきろ	黄色（きいろ）
いきん	起因
いぎせ	正義:犠牲
いぎそ	急ぎ
いぎだ	議題
いぎて	定義
いぎめ	名義
いぎれ	礼儀
いぎん	議員
いくこ	異国
いくご	極意
いくさ	細工
いくし	飼育
いくす	すくい:救い
いくず	クイズ
いくぞ	遺族
いくた	委託
いくだ	大工
いくつ	いくつ
いくと	得意
いくど	幾度（いくど）
いくば	バイク
いくふ	衣服
いくほ	保育
いくま	マイク
いくや	医薬
いくよ	意欲
いくら	いくら:イクラ:位（くらい）
いくん	インク
いけこ	固形
いけご	敬語
いけじ	掲示
いけず	図形
いけち	地形（ちけい）
いけつ	決意
いけと	時計:毛糸
いけど	軽度
いけは	気配
いけひ	経費
いけび	美形:警備
いけふ	父兄（ふけい）
いけや	夜景:嫌気（いやけ）
いけゆ	経由
いけり	理系:経理
いけろ	経路:経路・径路:色気
いけん	意見
いげざ	下剤
いこざ	在庫
いこせ	個性
いこた	個体:固体
いこて	固定
いこと	いとこ
いこぬ	子犬:小犬・子犬
いこめ	濃いめ
いこん	コイン
いごさ	最後
いごせ	正誤:生後
いごち	いちご
いごは	背後
いごへ	語弊
いごま	迷子（まいご）
いさず	サイズ
いさそ	誘（さそ）い
いさた	多彩:多才:最多:痛さ
いさつ	殺意
いさて	査定
いさと	サイト:サイト［ウェブ〜］
いさど	サイド
いさひ	被災
いさふ	夫妻:負債:財布
いさぶ	細部
いさへ	閉鎖
いさむ	債務
いさや	野菜
いさん	サイン:遺産
いざし	資材
いざす	座椅子
いざそ	素材
いざふ	不在
いざむ	財務
いしせ	制止:姿勢:生死（せいし）:静止
いしだ	次第:私大
いして	停止:指定
いしな	市内
いしは	廃止:支配
いしば	芝居
いしへ	紙幣
いしま	姉妹（しまい）
いしめ	使命:名刺:名詞:指名:氏名
いしゃ	医者
いしや	いやし
いしゅ	首位
いしれ	仕入れ:指令
いしわ	いわし
いしん	印紙:死因
いじす	炊事:自炊
いじず	随時
いじせ	政治
いじた	事態:自体:辞退:退治
いじだ	大事（だいじ）:時代
いじち	一時（いちじ）
いじて	定時:提示
いじま	毎時
いじめ	いじめ:明治
いじる	類似
いじれ	事例:辞令
いじん	寺院
いすぱ	スパイ
いすま	住まい:睡魔:麻酔
いすら	ライス
いすり	推理
いする	居留守
いずだ	大豆
いずの	ノイズ
いずみ	泉（いずみ）
いずれ	いずれ
いせぜ	是正
いせた	世帯
いせだ	世代
いせち	生地:知性:聖地
いせて	手製
いせと	生徒
いせど	制度:精度
いせに	二世
いせは	制覇:派生
いせび	整備:美声
いせふ	不正:政府
いせぶ	西部
いせほ	補正
いせや	野性
いせゆ	油性
いせよ	余生
いせら	来世
いせり	整理:理性
いせん	繊維
いぜふ	風情
いぜん	以前:善意
いそつ	そいつ
いそへ	平素
いそろ	そろい
いそん	依存（いそん）
いぞん	依存（いぞん）
いたち	地帯:遅滞
いたつ	タイツ
いたで	痛手
いたど	態度
いたひ	対比:退避:額（ひたい）
いたぶ	舞台
いたぷ	タイプ
いたほ	逮捕
いたみ	いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み
いたむ	タイム
いたや	タイヤ:屋台
いたよ	貸与
いたる	タイル
いたわ	対話
いたん	単位
いだだ	代打
いだち	大地
いだど	土台
いだに	荷台
いだひ	肥大
いだり	代理
いだわ	話題
いちっ	一致
いちど	一度
いちの	命（いのち）
いちは	配置
いちば	市場（いちば）
いちぶ	一部
いちへ	平地
いちめ	地名
いちや	一夜（いちや）
いちり	一理
いちん	インチ
いっと	一途
いっぽ	一歩
いつつ	五つ
いつで	ついで
いつど	ドイツ:集い
いつね	熱意
いつび	いびつ
いつぶ	異物
いつゆ	唯一（ゆいつ）
いてど	程度
いては	手配
いてひ	否定
いてみ	未定
いてよ	予定
いてれ	手入れ
いてん	移転:転移
いでり	出入（でい）り
いでん	遺伝
いとな	ナイト:都内
いとば	バイト
いとや	雇い
いとら	トライ:ライト
いとり	鳥居
いとれ	トイレ
いどま	毎度
いどら	ドライ
いどん	インド
いなふ	ナイフ
いなぶ	内部
いなん	難易
いにば	二倍
いにん	任意:委任
いぬめ	縫い目
いねら	ねらい
いのり	祈り
いはふ	配布
いはら	払い
いはわ	ハワイ
いはん	範囲:違反
いぱぷ	パイプ
いひれ	比例
いひろ	拾い
いふへ	不平
いふめ	不明
いふら	フライ:ライフ
いふる	ふるい
いぶら	ライブ
いぶる	部類
いぶれ	無礼
いぶん	部員
いへや	平野
いへわ	平和
いへん	変異:異変
いほん	本意
いぼめ	名簿
いぼー	ボーイ
いまみ	見舞い
いまめ	めまい
いまや	病（やまい）
いまよ	毎夜:迷い
いまり	参り
いまる	マイル
いみや	嫌み
いみら	未来
いめよ	余命:名誉
いやー	イヤー
いゆら	由来
いよん	余韻
いらわ	笑い
いらん	ライン:ライン［合格〜］
いろん	異論
いわん	ワイン
ううご	豪雨
ううふ	風雨
ううぼ	暴雨
うえき	植木（うえき）
うえま	真上
うえめ	目上
うおと	嘔吐（おうと）
うおぼ	応募
うおろ	往路
うかく	架空
うかこ	下降:加工:効果:硬貨:高価
うかそ	仮想:仮装
うかぞ	増加
うかつ	通貨:通過
うかど	可動:稼働:稼働・稼動:稼動
うかの	可能:農家
うかふ	風化
うかぼ	防火
うかよ	八日（ようか）:火曜
うかろ	廊下:老化:過労
うがぞ	画像
うがど	動画
うがほ	邦画
うがゆ	優雅
うがよ	洋画
うきく	空気
うきこ	好機:後期:気候
うきご	動き:記号
うきす	奇数
うきそ	早期
うきぞ	寄贈
うきつ	通気
うきと	冬期:陶器
うきど	動機:同期:機動:起動
うきの	昨日（きのう）:機能:納期
うきほ	ほうき:放棄
うきぼ	希望
うきゅ	九（きゅう）:急:旧（きゅう）:球（きゅう）:級
うきゆ	勇気
うきょ	今日（きょう）:凶:強
うきよ	容器:起用:陽気
うぎこ	抗議
うぎさ	うさぎ
うぎす	薄着
うぎそ	葬儀
うぎぞ	偽造
うぎな	うなぎ
うぎの	技能
うぎゅ	牛（ぎゅう）
うぎょ	行（ぎょう）
うぎよ	容疑
うぎわ	上着
うくつ	苦痛
うくの	苦悩
うくふ	工夫
うくろ	苦労
うぐこ	工具
うぐそ	装具
うぐど	道具
うぐよ	用具
うけみ	受け身
うけも	もうけ
うげと	峠
うこご	交互
うこさ	交差
うこざ	口座:講座
うこし	公私:志向:思考:格子:試行:講師
うこじ	事項:工事:時効
うこす	個数
うこず	構図
うこせ	施工（せこう）
うこそ	倉庫
うこだ	蛇行
うこど	鼓動
うこひ	飛行
うこび	交尾:備考
うこふ	不幸:古風:工夫
うこぶ	後部
うこほ	候補:歩行
うこぼ	公募:母校
うこむ	向こう:無効
うこゆ	固有
うこよ	雇用
うこり	小売り
うごそ	相互
うごつ	都合
うごひ	合否
うごほ	誤報
うごよ	用語:養護
うごり	合理
うごろ	老後
うさそ	捜査:操作
うさと	佐藤:砂糖
うさど	作動:動作
うさふ	封鎖
うさほ	作法
うさま	うまさ
うさゆ	左右
うさよ	作用
うさわ	うわさ
うしす	指数
うしち	仕打ち
うしつ	写し
うしと	投資
うしど	同士:始動:指導:私道
うしぼ	帽子:志望:死亡:脂肪:防止
うしゅ	周:週:集（しゅう）
うしゆ	有志:融資
うしょ	商:小（しょう）:症:証:賞
うしよ	仕様:使用:容姿:用紙:私用
うしろ	後ろ
うじす	数字
うじそ	掃除
うじと	当時
うじど	児童:同時:自動
うじほ	時報
うじゅ	住（じゅう）:十・拾（じゅう）:十（じゅう）
うじゆ	自由
うじょ	上（じょう）:乗:情（じょう）:状:錠
うじよ	ようじ:幼児（ようじ）:用事
うすた	多数
うすち	数値
うすて	手数（てすう）:手薄
うすで	薄手
うすど	度数
うすは	ハウス:端数
うすま	マウス
うすめ	薄め
うすも	相撲
うすよ	様子
うずつ	頭痛
うずの	頭脳
うずぼ	坊主
うせつ	右折
うそち	地層:装置
うそと	塗装
うそば	相場
うそび	装備
うそふ	送付
うそむ	総務
うそゆ	輸送
うそよ	予想:要素
うそり	理想
うぞね	寝相
うぞひ	秘蔵
うぞび	微増
うぞり	草履
うたほ	他方
うたぼ	多忙
うたよ	多用
うたろ	太郎
うたん	タウン
うだと	妥当
うだん	ダウン
うちつ	通知
うちね	値打ち
うちの	知能:農地
うちほ	地方（ちほう）:放置
うちみ	身内（みうち）
うちゅ	中（ちゅう）:注
うちょ	兆:庁:町（ちょう）:腸:長（ちょう）
うちわ	うちわ:内輪（うちわ）
うちん	うんち
うつて	打つ手
うつふ	不通:普通
うつり	映り
うつろ	通路
うつわ	器（うつわ）:通話
うてり	売り手
うてわ	上手（うわて）
うてん	雨天
うとど	糖度
うとひ	逃避
うとふ	豆腐
うとぶ	東部:頭部
うとほ	途方
うとむ	無糖
うとゆ	灯油
うとよ	与党:投与:用途
うとり	離島
うどの	濃度
うどふ	風土
うどぶ	ぶどう
うどほ	歩道
うどよ	土曜
うどり	道理
うどろ	道路
うどわ	童話
うどん	うどん
うにゅ	乳（にゅう）
うにょ	尿
うねぼ	寝坊
うねり	うねり
うのふ	不能:納付
うのみ	うのみ:未納
うのり	脳裏
うばり	売り場
うひほ	悲報
うひゆ	夕日
うひょ	票:表（ひょう）
うひよ	費用
うひろ	披露:浪費:疲労
うびほ	褒美
うびょ	秒
うびよ	曜日:美容
うふふ	夫婦
うふほ	抱負
うふみ	風味
うふも	不毛:毛布
うふよ	不用:不要:扶養
うふわ	和風
うふん	不運
うべみ	海辺（うみべ）
うべゆ	夕べ
うべわ	上辺（うわべ）
うほま	魔法
うほも	模倣
うほゆ	保有
うほよ	予報:保養
うぼむ	無謀
うぼよ	予防
うぼる	ボウル
うまみ	うまみ
うまれ	生まれ
うみよ	見よう
うみら	恨み
うむよ	無用
うめら	裏目
うもよ	模様
うゆよ	余裕
うゆり	有利:理由
うゆん	運輸
うょり	両:料:良:量
うより	利用
うるー	ウール
えおが	笑顔（えがお）
えおさ	押さえ
えおし	教え
えおぼ	覚え
えおま	お前
えかさ	栄（さか）え
えかし	返し
えかひ	控え
えかま	構え
えかむ	迎え
えかり	帰り:返り
えかる	かえる
えがき	着替え
えがら	絵柄
えきこ	聞こえ
えきす	エキス
えきだ	唾液
えきの	えのき
えきま	気前
えきむ	無益
えきり	利益
えきん	延期
えぎん	演技:縁起
えくつ	机
えくゆ	行方（ゆくえ）
えぐの	絵の具
えこご	小声
えこた	答え
えこー	エコー
えごん	援護
えささ	支え
えしん	支援
えじま	自前
えじも	絵文字
えじん	園児
えすー	エース
えそな	供え:備え
えたつ	伝え
えたと	たとえ
えたふ	二重（ふたえ）
えちん	遅延
えてま	手前（てまえ）
えでま	出前
えとり	取り柄
えどん	エンド
えなま	名前
えぬり	塗り絵
えのも	獲物
えばま	前歯
えばみ	見栄え
えびん	鼻炎
えふる	震え
えほん	絵本
えむん	無縁
えゆん	ゆえん［所以］
えらー	エラー
えるー	エール
おおく	多く
おおて	大手（おおて）
おおめ	多め:大目
おかか	カカオ
おかく	家屋
おかげ	お陰
おかし	お菓子
おかす	カオス
おかず	おかず
おかつ	かつお
おかと	十日（とおか）
おかな	おなか
おかね	お金
おかり	かおり（香・薫）:香り
おかん	悪寒
おがす	素顔
おがね	寝顔
おがま	真顔
おきく	記憶
おきて	おきて
おきね	寝起き
おきば	置き場
おきん	気温
おぎじ	お辞儀
おぎよ	泳ぎ
おぎん	恩義
おくた	お宅
おくち	奥地
おくと	遠く
おくに	お国
おくば	奥歯
おくら	お蔵
おくり	送り
おくれ	後れ:遅れ
おけし	塩気
おけま	おまけ
おけん	嫌悪
おこで	おでこ
おこと	男（おとこ）
おこや	親子
おこり	氷
おごり	おごり
おさつ	お札
おさと	遠さ
おさめ	おさめ（収・納）:収め:納め
おさも	重さ
おしと	通し
おしど	脅し
おしな	直し
おしろ	下ろし
おしん	恩師
おじせ	お世辞
おじや	おやじ
おじら	ラジオ
おする	お留守
おせん	汚染
おそよ	およそ
おそれ	恐れ
おたる	タオル
おだふ	お札（おふだ）
おちど	落ち度
おちば	落ち葉
おちめ	落ち目
おちゃ	お茶
おちん	音痴:音痴［機械〜・方向〜］
おっと	夫（おっと）
おつは	お初
おつや	おやつ
おつゆ	おつゆ
おつり	お釣り
おても	表（おもて）
おでと	遠出
おでび	ビデオ
おでん	おでん
おとな	大人（おとな）
おとり	おとり:トリオ:通り:通り［〜がよい・〜が悪い］
おどり	踊り
おどん	温度:音頭
おなは	お花
おなら	おなら
おなん	女（おんな）
おにも	重荷
おねん	ネオン
おのほ	炎（ほのお）
おのれ	己（おのれ）
おひる	お昼
おふろ	おふろ
おほん	保温
おぼん	お盆
おみも	重み
おめり	折り目
おやや	八百屋
おらー	オーラ
おりわ	終わり
おわん	おわん
かかく	価格
かかと	かかと
かかぶ	株価
かかり	係り:係（かかり）
かがく	化学（かがく）:科学
かがっ	学科
かがみ	鏡（かがみ）
かがん	眼科
