５文字集合	可能な５文字単語
ああうとど	アウトドア
ああがめり	雨上がり
ああせりわ	あり合わせ
ああちまゅ	アマチュア
あいいがみ	いがみ合い
あいうえお	アイウエオ
あいうきょ	愛嬌
あいうしょ	愛称:相性:相性・合い性
あいうそぶ	無愛想
あいうとれ	レイアウト
あいおてら	お手洗い
あいかたて	相手方
あいかわん	赤ワイン
あいきつて	低気圧
あいくちゃ	愛着（あいちゃく）
あいぐたん	具体案
あいけすた	助け合い
あいけずれ	預け入れ
あいこだの	この間（あいだ）
あいことば	合い言葉
あいさらら	皿洗い
あいしなは	話し合い
あいずみら	水洗い
あいずゆり	譲り合い
あいせとわ	問い合わせ
あいたたり	体当たり
あいてふん	不安定
あいてりん	インテリア
あいとばら	後払い
あいとばる	アルバイト
あいとぽん	アポイント
あいとらる	トライアル
あいにみら	にらみ合い
あいのもら	洗い物
あいまらる	丸洗い
あうかぼん	赤ん坊
あうきこつ	高気圧
あうきすょ	今日明日
あうくしゅ	悪臭
あうくひょ	悪評
あうけしゅ	週明け
あうさねぼ	朝寝坊
あうししろ	後ろ足
あうしのら	足の裏
あうしょり	両足
あうしょん	暗証
あうすなん	アナウンス
あうせちわ	打ち合わせ
あうまもよ	雨模様（あまもよう）
あうもよれ	荒れ模様
あえけまよ	夜明け前
あえじにん	エンジニア
あおおたり	大当たり
あおおてわ	大慌て
あおおばれ	大暴れ
あおかさま	お母様
あおかさん	お母さん
あおかせわ	顔合わせ
あおがきり	起き上がり
あおがきれ	あきれ顔
あおげしろ	上げ下ろし
あおことめ	雨男
あおさばん	おばあさん
あおとめり	通り雨
あかきつめ	かき集め
あかきつり	月明かり
あかくしじ	隠し味
あかさたた	あたたかさ（暖・温）:暖かさ:温かさ
あかせみわ	かみ合わせ
あかぜたり	風当たり
あかたたみ	暖かみ:温かみ
あかちゃん	母ちゃん:赤ちゃん
あかふんん	不安感
あかへらー	ヘアカラー
あかめりん	アメリカン
あがきるわ	悪あがき
あがさたり	ありがたさ
あがすやり	安上がり
あがたたな	あなた方
あがたちり	立ち上がり
あがたみり	ありがたみ
あがちらわ	あちら側
あがままる	あるがまま
あがみやり	病み上がり
あがもりり	盛り上がり
あきそとる	外歩き
あきたつり	突き当たり
あきたべる	食べ歩き
あきたまん	頭金
あきたゆり	行（ゆ）き当たり
あきちもる	持ち歩き
あくしょん	アクション
あくせとん	アクセント
あくせみわ	組み合わせ
あくたちり	口当たり
あくつょり	圧力
あぐひりん	ヒアリング
あぐへろん	ロングヘア
あけずらり	荒削り
あけたっり	ありったけ
あけとんー	アンケート
あげたたつ	竜田揚げ
あこたのり	このあたり
あことるろ	ある所
あこるるー	アルコール
あこるんー	アンコール
あごさはん	朝御飯
あごせろわ	ごろ合わせ
あさしって	しあさって
あさのみん	アミノ酸
あしせふわ	不幸せ
あしつとま	後始末
あしてまも	持て余し
あしとまわ	後回し
あしとょり	後処理
あじすたむ	スタジアム
あすとりー	アスリート
あすにゅん	ニュアンス
あすへりん	ヘアリンス
あずのみわ	水の泡
あせぜまわ	混ぜ合わせ
あせちはわ	鉢合わせ
あせちまわ	待ち合わせ
あせちもわ	持ち合わせ
あせつめよ	寄せ集め
あせつめわ	詰め合わせ
あせとりわ	取り合わせ
あせにまわ	間に合わせ
あせみよわ	読み合わせ
