１文字	待ち候補文字の数	待ち候補文字	成立する２文字集合	成立する２文字単語
ぷ	1	ろ	ぷろ	プロ
ぽ	1	い	いぽ	ぽい
ゅ	1	し	しゅ	種（しゅ）:酒（しゅ）
っ	2	あ え	あっ えっ	あっ えっ
ぱ	2	す ん	すぱ ぱん	パス パン
ぴ	2	き ん	きぴ ぴん	匹（ぴき） ピン
ゃ	2	し ち	しゃ ちゃ	社（しゃ） 茶
ょ	2	し ち	しょ ちょ	暑:書（しょ）:署 著
ぺ	3	あ い ん	あぺ いぺ ぺん	ペア ペイ ペン
ー	3	か き の	かー きー のー	カー キー ノー
ぞ	5	う く さ な み	うぞ くぞ さぞ ぞな ぞみ	像:増（ぞう）:象 族（ぞく） さぞ なぞ 溝
ぜ	6	い か な ひ ろ ん	いぜ かぜ ぜな ぜひ ぜろ ぜん	税 風邪（かぜ）:風（かぜ） なぜ 是非 ゼロ 前（ぜん）
ぐ	8	か き す た ち つ ぬ ん	かぐ きぐ ぐす ぐた ぐち ぐつ ぐぬ ぐん	かぐ:家具 危惧:器具 すぐ タグ 愚痴 つ（注）ぐ:次ぐ:継ぐ:継ぐ［跡目を〜・家督を〜］ 脱ぐ 郡（ぐん）
べ	8	か き す つ な の る ん	かべ きべ すべ つべ なべ のべ べる べん	壁（かべ） べき すべ 別 なべ 延べ ベル 便:弁
ざ	9	あ い こ つ ひ ら る わ ん	あざ いざ こざ ざつ ざひ ざら ざる ざわ ざん	あざ:字（あざ） いざ:材:罪（ざい）:財 雑魚（ざこ） 雑 ひざ ざら ざる 技（わざ） 残
で	9	う き す そ は ふ ま も る	うで きで すで そで では でふ でま でも でる	腕 出来（でき） 素手 そで では 筆（ふで） デマ でも 出る
ず	10	か き く ち は ま み ゆ る れ	かず きず くず ずち ずは ずま ずみ ずゆ ずる ずれ	数（かず） 傷（きず） くず:くず（屑）:屑（くず） 地図 はず まず みず:水（みず） ゆず ずる ずれ
へ	10	あ い え そ た び や り る ん	あへ いへ えへ そへ たへ びへ へや へり へる へん	ヘア 塀（へい） へえ へそ 下手（へた） へび 部屋 ヘリ 減る:減る［腹が〜］ 変［〜だ］:編:編・篇:辺（へん）
ぼ	10	う き く け す そ つ ふ ほ ん	うぼ きぼ くぼ けぼ すぼ そぼ つぼ ふぼ ほぼ ぼん	棒 規模 僕（ぼく） ぼけ ボス 祖母 つぼ 父母（ふぼ） ほぼ 盆
だ	11	い え し す た は ま む め れ ん	いだ えだ しだ すだ ただ だは だま だむ だめ だれ だん	代（だい）:台（だい）:大（だい）:題 枝 だし 出す:出す［本を〜］:出す［船を〜］ ただ:ただ［〜の人］ 肌（はだ） まだ 無駄 駄目 だれ 暖:段
ぬ	11	い う き く ぐ け し の ま り る	いぬ うぬ きぬ くぬ ぐぬ けぬ しぬ ぬの ぬま ぬり ぬる	いぬ:犬 縫う 抜き:絹 抜く:抜く［指輪を〜］ 脱ぐ 抜け 主（ぬし）:死ぬ 布 沼 塗り 塗る
が	12	い か き く け す そ む め ら わ ん	いが かが がき がく がけ がす がそ がむ がめ がら がわ がん	外（がい）:害:街（がい） 画家 飢餓 学:額（がく） けが ガス 画素 ガム メガ 柄（がら） 側（がわ） ガン:癌:眼（がん）
せ	12	あ い き く つ に み め や る わ ん	あせ いせ きせ くせ せつ せに せみ せめ せや せる せわ せん	汗 制:姓:性（せい）:正（せい）:生（せい）:背（せい）［〜が高い］:製:静 せき:席 癖（くせ） 切:説 偽（にせ） せみ:店（みせ） 攻め:責め やせ セル 世話 千:戦:栓:線
て	12	あ か き ご さ た つ ま ら る れ ん	あて かて きて ごて さて たて つて てま てら てる てれ てん	当て 糧 敵（てき）:滴（てき） 後手 さて 立て:縦 つて:鉄 手間 寺（てら） 照る 照れ 天（てん）:点
ぶ	12	い か き こ さ た つ と よ ら り ん	いぶ かぶ きぶ こぶ さぶ たぶ つぶ とぶ ぶよ ぶら ぶり ぶん	イブ:部位 かぶ:株:部下 武器 昆布（こぶ） サブ 豚（ぶた） 物（ぶつ）:粒（つぶ） 飛ぶ 呼ぶ:呼ぶ［助けを〜］:呼ぶ［大声で〜］:呼ぶ［客を〜］ ラブ ぶり 分（ぶん）:分（ぶん）［五〜の一］:文（ぶん）
ぎ	13	い か く さ す つ ね ふ み む も り ん	いぎ かぎ ぎく ぎさ ぎす ぎつ ぎね ぎふ ぎみ ぎむ ぎも ぎり ぎん	意義:異議 かぎ（鍵）:鍵（かぎ） くぎ 詐欺 杉 次（つぎ） ねぎ 義父 右（みぎ） 義務:麦 模擬 義理 銀（ぎん）
ば	13	い お か さ し す そ た つ ね は ら ん	いば おば かば さば しば すば そば たば つば ねば はば ばら ばん	倍:杯（ばい） 伯母・叔母（おば）:伯母（おば）:叔母（おば） ばか さば 芝 バス そば 束（たば） ばつ［×］:罰（ばつ） ばね 幅 ばら 晩:番
げ	14	あ い か こ さ つ な に は ひ ま ゆ り ん	あげ いげ かげ げこ げさ げつ げな げに げは げひ げま げゆ げり げん	上げ:揚げ 芸 外科:影:陰（かげ） 焦げ 下げ 月（げつ） 投げ 逃げ はげ ひげ 曲げ 湯気 下痢 減
ご	14	あ い う え か く さ し て ほ ま み む ろ	あご いご うご えご かご くご ごさ ごし ごて ごほ ごま ごみ ごむ ごろ	あご 以後 号 エゴ かご ごく 誤差 死後:私語 後手 保護 ごま:孫 ごみ ゴム ごろ:ロゴ
ほ	14	う か く ご さ し す と ど ね ぼ ら る ん	うほ かほ くほ ごほ さほ しほ すほ とほ どほ ねほ ほぼ ほら ほる ほん	方（ほう）:法（ほう） 外（ほか） 北（ほく） 保護 補佐 干し:星（ほし） 干す 徒歩 程（ほど） 骨（ほね） ほぼ ほら:ほら［〜吹き］ 掘る 本（ほん）
ろ	14	い う え き く ご し じ す ぜ そ ど ふ ぷ	いろ うろ えろ きろ くろ ごろ しろ じろ すろ ぜろ そろ どろ ふろ ぷろ	色（いろ） 労 エロ キロ:帰路 くろ:六（ろく）:黒（くろ） ごろ:ロゴ 白（しろ） 路地 ロス ゼロ ソロ 泥 ふろ プロ
ど	15	あ う か く け こ つ の ほ ま め や る れ ろ	あど うど かど くど けど こど つど どの どほ どま どめ どや どる どれ どろ	ドア どう:同（どう）:胴:道（どう）:銅（どう） 角（かど）:過度 毒 けど どこ 都度 どの:どの［〜…も］:のど 程（ほど） 窓 めど 宿（やど） ドル どれ 泥
の	15	あ う こ そ ち ど ぬ び べ み む も り る ー	あの うの この その ちの どの ぬの のび のべ のみ のむ のも のり のる のー	あの:あの［〜ね］ 脳 この その 後（のち） どの:どの［〜…も］:のど 布 のび（伸・延）:伸び 延べ のみ:飲み のむ［要求を〜］:飲む 物（もの）:者（もの） のり:乗り 乗る:乗る［手に〜・口に〜・口車に〜・おだてに〜］:載る ノー
に	16	あ う お か く げ し じ せ た ち な ら る わ ん	あに うに おに かに くに げに しに じに せに たに ちに なに にら にる にわ にん	兄 うに 鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］ かに 国（くに）:肉 逃げ 死に［生き〜］:西（にし） 二次:虹 偽（にせ） 谷 日（にち） なに:何（なに） にら 似る:煮る 庭（にわ） 人（にん）
ひ	16	え か き く げ ざ じ ぜ と び ふ ま も る れ ん	えひ かひ きひ くひ げひ ざひ じひ ぜひ とひ ひび ひふ ひま ひも ひる ひれ ひん	冷え 可否 匹（ひき）:引き ひ（退）く:引く:引く［図面を〜］:引く［辞書を〜］:弾く ひげ ひざ ひじ:自費 是非 ひと:人（ひと） ひび:日日（ひび） 皮膚 暇（ひま）:麻痺 ひも ひる:昼 ひれ 品（ひん）
ゆ	16	う え お か き く げ ず ち つ び ふ ま め や れ	うゆ えゆ おゆ かゆ きゆ くゆ げゆ ずゆ ちゆ つゆ びゆ ふゆ まゆ めゆ やゆ ゆれ	優:夕:有（ゆう） 故（ゆえ） お湯 床（ゆか） ゆき:行（ゆ）き:雪（ゆき） 行（ゆ）く:行（ゆ）く［その線で〜］:逝く 湯気 ゆず 治癒 梅雨（つゆ）:露（つゆ） 指 冬 まゆ ゆめ:夢 揶揄（やゆ） 揺れ
よ	17	い う か き く こ し そ ち び ふ ぶ み む め り る	いよ うよ かよ きよ くよ こよ しよ そよ ちよ びよ ふよ ぶよ みよ むよ めよ より よる	よい:酔い 曜:様（よう）:用:要:酔う 余暇 予期 よく:欲:翌 横 よし よそ 予知:余地 予備 付与 呼ぶ:呼ぶ［助けを〜］:呼ぶ［大声で〜］:呼ぶ［客を〜］ 読み:読み［〜が外れる］ 読む:読む［数を〜］:読む［相手の心を〜］ 嫁 より よる:よ（拠）る:夜（よる）:寄る
わ	17	あ い か が き く け ざ し せ た な に り る れ ん	あわ いわ かわ がわ きわ くわ けわ ざわ しわ せわ たわ なわ にわ りわ るわ れわ わん	泡 岩（いわ） かわ（川・河）:川（かわ）:河（かわ）:皮（かわ）:革 側（がわ） わき:ワキ:際（きわ） わく:枠:沸く 分け:訳（わけ） 技（わざ） しわ:わし:和紙 世話 綿（わた） わな 庭（にわ） 割（わり） 割る:割る［酒を〜］:悪（わる） 割れ わん（椀・碗）:碗（わん）
ね	18	あ い え か ぎ こ じ た つ は ば ふ ほ ま む や る ん	あね いね えね かね ぎね こね じね たね つね ねは ねば ねふ ねほ ねま ねむ ねや ねる ねん	姉 稲 ねえ かね:金（かね） ねぎ コネ［コネクション］:猫 ねじ ねた:種（たね） 常:熱 羽・羽根（はね）:羽（はね） ばね ふね（船・舟）:舟（ふね）:船（ふね） 骨（ほね） まね:マネ 旨（むね）:胸 屋根 寝る:練る 年（ねん）
び	18	え お か き く こ さ た と の ひ ふ へ み ゆ よ る ん	えび おび かび きび くび こび さび たび とび のび ひび びふ びへ びみ びゆ びよ びる びん	えび 帯 かび 匹（びき） 首 こび さび 度（たび）:旅 跳び のび（伸・延）:伸び ひび:日日（ひび） 不備 へび 美味 指 予備 ビル 便（びん）:瓶（びん）
け	20	あ い う か が さ す た ち つ ど ぬ ぼ ま む や り る わ ん	あけ いけ うけ かけ がけ けさ けす けた けち けつ けど けぬ けぼ けま けむ けや けり ける けわ けん	ケア:明け 形（けい）:池:系:計（けい） 受け か（賭）け:欠け:賭（か）け けが けさ:さけ:今朝（けさ）:酒（さけ） 消す 丈（たけ） けち 付け:欠:決 けど 抜け ぼけ 負け 向け やけ［〜になる］ けり:けり［〜を付ける］ ける 分け:訳（わけ） 件:券:圏:権:県
ら	20	あ う か が く さ ざ そ た て と な に は ば ふ ぶ ほ む ん	あら うら から がら くら さら ざら そら たら てら とら なら にら はら ばら ふら ぶら ほら むら らん	粗（あら） 裏 殻（から）:殻［〜を破る・〜に閉じこもる］:空（から） 柄（がら） くら（倉・蔵）:楽（らく） 皿（さら） ざら そら:空（そら） たら 寺（てら） 寅（とら） なら にら 腹 ばら ラフ ラブ ほら:ほら［〜吹き］ 村（むら） 欄
お	21	あ い う か く し じ す ち と な に ば び ふ や ゆ り る れ ん	あお いお うお おか おく おし おじ おす おち おと おな おに おば おび おふ おや おゆ おり おる おれ おん	青 老い 王:負う:追う［うさぎを〜］:魚（うお） 丘:顔:顔［嫌な〜をする］ 億:奥:置く:置く［時間を〜］ 塩（しお）:押し 伯父・叔父（おじ）:伯父（おじ）:叔父（おじ） 押す:押す［判を〜］:推す:雄（おす） 落ち 音（おと） なお 鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］ 伯母・叔母（おば）:伯母（おば）:叔母（おば） 帯 オフ おや:親 お湯 折り おる:折る おれ 恩:音（おん）
や	21	あ い お き く け こ し せ つ ど ね は へ ま む め も や ゆ る	あや いや おや きや くや けや こや しや せや つや どや ねや はや へや まや むや めや もや やや やゆ やる	やあ いや:嫌（いや）:嫌（いや）［〜な感じ］ おや:親 焼き やく［焼きもちを〜］:役（やく）:焼く:約:訳 やけ［〜になる］ 小屋 視野 やせ つや:やつ:八つ 宿（やど） 屋根 早（はや） 部屋 山（やま） やむ:病む やめ もや やや 揶揄（やゆ） やる:やる［一杯〜］:やる［向こうへ〜］
め	22	あ い う か が き こ し す せ た だ つ と ど は ま も や ゆ よ ん	あめ いめ うめ かめ がめ きめ こめ しめ すめ せめ ため だめ つめ とめ どめ はめ まめ めも めや めゆ めよ めん	あめ:雨（あめ） 名（めい）:命（めい） 梅 かめ メガ 決め 米（こめ） 締め:締め［〆］:飯（めし） メス 攻め:責め ため 駄目 つめ:詰め 止め めど 羽目 まめ:豆 メモ やめ ゆめ:夢 嫁 綿（めん）:面（めん）:麺
も	22	い う か き ぎ く し じ ち つ で と の ひ む め も や り る れ ん	いも うも かも きも ぎも くも しも じも ちも つも でも とも のも ひも むも めも もも もや もり もる もれ もん	いも:芋 もう:毛（もう） かも:かも［〜になる］ 肝（きも） 模擬 くも:木（もく）:雲（くも） もし:霜 文字（もじ） もち:持ち［〜がよい］:持ち［土地〜・自分〜］ 持つ でも もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと） 物（もの）:者（もの） ひも もむ:もむ［肩を〜］ メモ もも:桃 もや 森:盛（も）り 盛（も）る 漏れ 門（もん）
じ	23	あ い お か き く こ さ し す た ち つ に ね は ひ ふ み む も れ ろ	あじ いじ おじ かじ きじ くじ こじ さじ しじ じす じた じち じつ じに じね じは じひ じふ じみ じむ じも じれ じろ	あじ:味（あじ） 意地:維持 伯父・叔父（おじ）:伯父（おじ）:叔父（おじ） 家事:時価:直（じか） 時期:次期:生地:記事 くじ:軸 事故:自己 さじ:時差 四時:指示:支持:私事（しじ） 筋（すじ） 自他 知事:自治 実（じつ）:日（じつ） 二次:虹 ねじ 恥 ひじ:自費 自負 地味 ジム:事務:無地 文字（もじ） レジ:レジ［〜係］ 路地
そ	23	う か が き く こ す つ で と の ば ふ へ ぼ み よ ら り る れ ろ ん	うそ かそ がそ きそ くそ こそ すそ そつ そで そと その そば そふ そへ そぼ そみ そよ そら そり そる それ そろ そん	うそ:うそ［…しなければ〜だ］:そう:層:沿う:添う 過疎 画素 基礎 くそ:即 そこ:底 すそ 卒 そで 外（そと） その そば 祖父 へそ 祖母 みそ よそ そら:空（そら） 反り 反る それ ソロ 損:村（そん）
れ	23	あ い お か き く こ じ ず そ だ つ て ど な は ひ ふ ま む も ゆ わ	あれ いれ おれ かれ きれ くれ これ じれ ずれ それ だれ つれ てれ どれ なれ はれ ひれ ふれ まれ むれ もれ ゆれ れわ	あれ:レア:荒れ 例:入れ:冷:礼 おれ 彼（かれ） 切れ 暮れ これ レジ:レジ［〜係］ ずれ それ だれ 列:連れ 照れ どれ なれ:慣れ はれ［〜が引く］:晴れ ひれ 触れ まれ 群れ 漏れ 揺れ 割れ
