１文字	成立する３文字単語数	成立する３文字集合	成立する３文字単語
ぺ	3	あすぺ きぺん ぺりろ	スペア ペンキ ぺろり
ぢ	5	かぢま かぢみ ちぢみ ちぢむ ぢなは	間近 身近 縮み 縮む 鼻血
ぷ	7	いたぷ かぷん すぷら てぷん にぷん ぷらん ぷりん	タイプ 還付 プラス 添付:添付・添附 妊婦 プラン:ランプ プリン
ぽ	7	けぽん さぽん しぽん すとぽ たぽん てぽん ぽりろ	健保 散歩 進歩 ポスト 担保 テンポ:店舗 ぽろり
づ	8	ききづ きくづ きつづ くつづ くづね けづひ こづれ つづり	気付き 気付く 続き 続く 根付く 日付 子連れ つづり
ぴ	8	あのぴ くぴん さぴん しぴん たぴり ちぴん とぴん ねぴん	ピアノ ピンク 賛否 神秘 ぴたり ピンチ ピント 燃費
ぱ	11	いすぱ かぱん くぱん すたぱ ちぱん つぱん ねぱる はぱん ぱやん ぱりん ぱれん	スパイ 寒波 パンク パスタ パンチ パンツ パネル 半端 パン屋 リンパ 連覇
ぜ	13	あぜん いせぜ いぜふ いぜん きぜつ きぜん こぜに こぜね しぜん ぜちん ぜまる ぜみん ぜやん	唖然 是正 風情 以前:依然:善意 気絶 前期 小銭（こぜに） 猫背 自然 全治 まぜる（交・混）:交ぜる:混ぜる 未然 前夜
ゃ	15	いしゃ おちゃ きくゃ くちゃ くひゃ くみゃ くゃり こしゃ ししゃ したゃ しつゃ そゃり ちむゃ ちめゃ ちゃん	医者 お茶 客:脚 着 百 脈 略 車庫 支社 他社:他者 シャツ そりゃ むちゃ めちゃ ちゃん
ゅ	16	いしゅ うきゅ うしゅ うちゅ うにゅ かしゅ きしゅ くしゅ ししゅ したゅ しとゅ しひゅ しふゅ しほゅ しみゅ しゅん	首位 九（きゅう）:急:旧（きゅう）:球（きゅう）:級 周:週:集（しゅう） 中（ちゅう）:注 乳（にゅう） 歌手 機種 祝（しゅく） 主旨:趣旨 多種 首都 守秘 主婦 保守 趣味 旬（しゅん）
ぞ	19	いいぞ いくぞ いぞん うかぞ うきぞ うぞね うぞひ うぞり かくぞ きぞん くぞの くぞふ くぞよ せぞん ぞなる ぞのみ ぞのむ ぞほん ぞよら	いいぞ 遺族 依存（いぞん） 増加 寄贈 寝相 秘蔵 草履 家族 既存（きぞん） のぞく:除く 付属:付属・附属 よくぞ 先祖 なぞる 望み 望む 保存 夜空
へ	19	いかへ いきへ いごへ いさへ いしへ いそへ いちへ いふへ いへや いへわ いへん かへん ぎへや こへみ こへむ じへん すへら はへん ふへん	貨幣 兵器:平気 語弊 閉鎖 紙幣 平素 平地 不平 平野 平和 変異:異変 変化 部屋着 へこみ へこむ 返事 減らす:減らす［腹を〜］ 破片 不変
ぬ	21	いこぬ いぬめ いぬら いぬる うぐぬ えぬり かすぬ がすぬ きたぬ きてぬ くぬみ けげぬ けぬま けぬめ けぬる げぬる さぬる すぬみ すぬむ すぬら ぬるれ	子犬:小犬・子犬 縫い目 要らぬ ぬるい ぬぐう 塗り絵 抜かす 脱がす たぬき 手抜き 見抜く 抜け毛 間抜け 抜け目 抜ける:抜ける［毛が〜・歯が〜］ 脱げる ぬるさ 盗み 盗む ぬらす ぬれる
べ	22	うべみ うべゆ うべわ かべわ くつべ くべら こつべ さつべ しべら すてべ すとべ すべる たべる ちべん つにべ とべる のべる はべま ふべん べらる べりん べるれ	海辺（うみべ） 夕べ 上辺（うわべ） 川辺 区別 比べ 個別 差別 調べ すべて ベスト 滑る 食べる:食べる［〜て行けない］ ベンチ 別に ベルト 述べる 浜辺 不便 ラベル 便利:利便 レベル
ょ	22	うきょ うしょ うちょ うにょ うひょ うみょ うょり かきょ かしょ きくょ きしょ きひょ きょり くしょ くちょ くょり ししょ しちょ しとょ しほょ しょり ひょり	今日（きょう）:凶:強 商:小（しょう）:少（しょう）:症:証:賞 兆:庁:町（ちょう）:腸:長（ちょう） 尿 票:表（ひょう） 妙［〜だ］ 両:料:良:量 許可 初夏（しょか）:箇所 局:曲 初期:死去 拒否 距離 職:食 直（ちょく） 力（りょく） 支所 処置 図書 初歩 処理:思慮 旅費
