２文字集合	可能な２文字単語
ああ	ああ
あい	愛
あう	あう（会・遭）:会う:合う:遭う［ひどい目に〜］
あお	青
あか	赤
あき	あき（空・明）:秋:空き:飽き
あく	あく:あく（明・開）:あく（空・明）:あく（空・明）［間が〜］:悪（あく）:空く:空く［間が〜］:開く
あけ	ケア:明け
あげ	上げ:揚げ
あご	あご
あさ	さあ:朝
あざ	あざ:字（あざ）
あし	あし:脚（あし）:足（あし）
あじ	あじ:味（あじ）
あす	明日（あす）
あせ	汗
あっ	あっ
あつ	圧
あて	当て
あと	あと:後（あと）:跡
あど	ドア
あな	なあ:アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］
あに	兄
あね	姉
あの	あの:あの［〜ね］
あは	はあ
あへ	ヘア
あぺ	ペア
あま	まあ
あめ	あめ:雨（あめ）
あや	やあ
あら	粗（あら）
あり	あり
ある	ある:ある（在・有）:在る:有る
あれ	あれ:レア:荒れ
あわ	泡
あん	あん:案
いい	いい
いう	言う:言う［…と〜］
いえ	いえ:家（いえ）
いお	老い
いか	いか:以下:会:医科:回:貝:買い:階:飼い
いが	外（がい）:害:街（がい）
いき	息（いき）:意気:生き:行（い）き
いぎ	意義:異議
いく	悔い:行（い）く:行（い）く［その線で〜］
いけ	形（けい）:池:系:計（けい）
いげ	芸
いこ	こい:恋:故意:濃い:濃い［ひげが〜］
いご	以後
いさ	才:際（さい）
いざ	いざ:材:罪（ざい）:財
いし	医師:意志:意思:石（いし）
いじ	意地:維持
いす	椅子（いす）:水（すい）
いせ	制:姓:性（せい）:正（せい）:生（せい）:背（せい）［〜が高い］:製:静
いぜ	税
いた	タイ:体（たい）:対（たい）:対（たい）［三〜二］:板（いた）
いだ	代（だい）:台（だい）:大（だい）:題
いち	一:一・壱（いち）:一（いち）:位置:地位:壱（いち）
いつ	いつ:つい:対（つい）
いと	問い:意図:糸（いと）:糸（いと）［絃］
いな	ない:内（ない）
いぬ	いぬ:犬
いね	稲
いは	はい:ハイ:杯（はい）:灰:肺
いば	倍:杯（ばい）
いふ	不意
いぶ	イブ:部位
いへ	塀（へい）
いぺ	ペイ
いぽ	ぽい
いま	今（いま）:今（いま）［〜しばらく］:居間:枚（まい）
いみ	意味
いめ	名（めい）:命（めい）
いも	いも:芋
いや	いや:嫌（いや）:嫌（いや）［〜な感じ］
いよ	よい:酔い
いり	入り
いる	いる:入（い）る:居る:要る:類（るい）
いれ	例:入れ:冷:礼
いろ	色（いろ）
いわ	岩（いわ）
いん	イン:印（いん）:院
うえ	上（うえ）:上（うえ）［食べた〜にまだ食べる］
うお	王:負う:追う［うさぎを〜］:魚（うお）
うか	買う:買う［才能を高く〜］:飼う
うき	右記:雨季:雨期・雨季
うく	浮く:食う
うけ	受け
うこ	行（こう）
うご	号
うし	牛
うす	吸う:数（すう）
うそ	うそ:うそ［…しなければ〜だ］:そう:層:沿う:添う
うぞ	像:増（ぞう）:象
うた	歌（うた）
うち	うち（中）:うち（内・中）:うち（家）:中（うち）:内（うち）:家（うち）:打ち
うつ	打つ:撃つ:痛（つう）:通（つう）:鬱（うつ）
うで	腕
うと	党:問う:当:当［〜ホテル・〜の本人］:投:棟（とう）:等（とう）:糖
うど	どう:同（どう）:胴:道（どう）:銅（どう）
うに	うに
うぬ	縫う
うの	脳
うふ	封:風（ふう）
うほ	方（ほう）:法（ほう）
うぼ	棒
うま	舞う:馬
うみ	うみ:うみ（生・産）:海（うみ）:生み:産み
うむ	うむ（生・産）:有無（うむ）:生む:生む［傑作を〜］:産む
うめ	梅
うも	もう:毛（もう）
うゆ	優:夕:有（ゆう）
うよ	曜:様（よう）:用:要:酔う
うら	裏
うり	売り
うる	売る:得（う）る
うろ	労
うん	うん:運
ええ	ええ
えか	かえ（代・替・換）:代え:換え:替え
えき	液:駅
えこ	声
えご	エゴ
えさ	えさ（餌）:餌（えさ）
えす	末（すえ）
えだ	枝
えち	知恵
えっ	えっ
えな	苗
えね	ねえ
えは	栄え
えひ	冷え
えび	えび
えへ	へえ
えま	前（まえ）
えみ	笑み:見え:見得（みえ）
えむ	エム
えゆ	故（ゆえ）
えり	襟
える	える:得（え）る
えろ	エロ
えん	円:宴:縁（えん）
おか	丘:顔:顔［嫌な〜をする］
おく	億:奥:置く:置く［時間を〜］
おし	塩（しお）:押し
おじ	伯父・叔父（おじ）:伯父（おじ）:叔父（おじ）
おす	押す:押す［判を〜］:推す:雄（おす）
おち	落ち
おと	音（おと）
おな	なお
おに	鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］
おば	伯母・叔母（おば）:伯母（おば）:叔母（おば）
おび	帯
おふ	オフ
おや	おや:親
おゆ	お湯
おり	折り
おる	おる:折る
おれ	おれ
おん	恩:音（おん）
かが	画家
かき	かき:かき（柿）:下記:夏季:夏期:書き:柿（かき）:火気
かぎ	かぎ（鍵）:鍵（かぎ）
かく	かく:かく［背中を〜・雪を〜・水を〜］:各:書く:核:格:欠く
