３文字集合	可能な３文字単語
ああじ	アジア
あいお	青い
あいか	赤い
あいき	気合い
あいく	悪意
あいぐ	具合
あいさ	浅い
あいし	試合
あいじ	自愛
あいす	アイス
あいず	合図
あいそ	愛想（あいそ）
あいた	価（あたい）:値（あたい）
あいだ	間（あいだ）
あいつ	あいつ:あつい（暑・熱）:厚い:威圧:暑い:熱い:熱い［〜仲］:熱い［〜思い］:熱い［〜議論］:熱い［体（からだ）が〜］
あいて	相手
あいで	出会い
あいに	似合い
あいば	場合
あいぶ	歩合
あいま	合間:甘い
あいら	洗い:粗（あら）い:荒い
あいわ	淡い
あいん	安易
あうで	出会う
あうと	アウト
あうに	似合う
あうら	洗う
あえて	あえて
あえま	甘え
あえり	エリア
あえる	あえる
あえん	亜鉛
あおぐ	仰ぐ［判断を〜］
あおさ	青さ
あおな	青菜
あおり	あおり
あおる	煽（あお）る
あかじ	赤字
あかす	明かす:明かす［夜を〜］
あかっ	悪化
あかて	手あか
あかみ	赤身
あかり	ありか:明かり
あかん	安価
あがり	上がり
あがる	あがる（上・揚）:上がる:上がる［成果が〜］
あきず	小豆（あずき）
あきち	空き地:空き地・明き地
あきつ	気圧
あきや	空き家
あきる	歩き:飽きる
あきん	暗記
あぎつ	厚着
あぎん	議案
あくげ	挙げ句:挙げ句・揚げ句:揚げ句
あくじ	悪事
あくは	把握
あくび	あくび
あくま	悪魔
あくむ	悪夢
あくり	クリア
あくる	歩く
あぐま	雨具
あけず	預け
あけな	毛穴
あけよ	夜明け
あける	あける（明・開）:あける（空・明）:あける（空・明）［間を〜］:明ける:明ける［夜が〜］:明ける［梅雨が〜・忌みが〜］:明ける［間を〜］:空ける:空ける［間を〜］:開ける
あげし	仕上げ
あげて	挙げて
あげね	値上げ
あげる	あげる（上・揚）:上げる:挙げる［例を〜］:揚げる
あここ	ココア
あこす	スコア
あこそ	あそこ
あこん	あんこ
あさつ	厚さ:暑さ:熱さ
あさひ	朝日
あさめ	浅め
あさり	あさり
あしす	素足
あした	あした（明日）:あした（朝）:明日（あした）
あして	手足（てあし）
あしに	シニア
あしば	足場
あしび	シビア
あしら	あらし
あしろ	ロシア
あしん	思案
あじみ	味見
あじん	暗示
あすと	ストア
あすぺ	スペア
あすま	余す
あすら	荒らす
あすわ	会わす:合わす
あせも	あせも
あせり	焦（あせ）り
あせる	あせる［色が〜］:焦（あせ）る
あせわ	あわせ
あぜん	唖然
あそび	遊び
あそぶ	遊ぶ:遊ぶ［〜んで暮らす］
あたな	あなた
あたま	頭（あたま）
あたら	新た
あたり	当たり:辺り
あたる	当たる:当たる［つらく〜］
あたれ	荒れた
あだな	あだ名
あだん	安打
あちっ	あっち
あちら	あちら
あちれ	荒れ地
あちん	治安
あつで	厚手
あつみ	厚み
あつめ	厚め
あつー	ツアー
あてて	手当て:手当［通勤〜］
あてな	あて名
あてめ	目当て
あてる	…てある:当てる
あでる	…である
あとー	アート
あどみ	網戸
あなば	穴場
あにま	マニア
あにめ	アニメ
あのぴ	ピアノ
あひる	あひる:ある日
あびる	浴びる:浴びる［一風呂〜］
あふろ	フロア
あふん	不安
あぶら	あぶら（油・脂）:油（あぶら）:脂（あぶら）
あぶる	あぶる
あまみ	甘み
あまり	あまり:余り
あまる	余る
あみゆ	歩み
あみる	アルミ
あむゆ	歩む
あやわ	あわや
あらわ	あらわ
ありる	リアル
あるれ	荒れる:荒れる［肌が〜］
あれわ	哀れ
いいえ	いいえ
いいが	以外:意外
いいき	いい気
いいけ	敬意:経緯
いいこ	いい子
いいす	推移:水位
いいせ	威勢:異性:誠意
いいぞ	いいぞ
いいた	体位:痛い
いいだ	偉大
いいち	一位
いいな	以内
いいね	言い値
いいら	以来:依頼
いいる	衣類
いいれ	異例
いいわ	祝い
いいん	医院:委員
いうか	迂回
いうが	うがい
いうこ	以降:好意:意向:移行:行為
いうご	合意
いうす	薄い
いうそ	相違:総意
いうど	同意:異動:移動
いうば	梅雨（ばいう）
いうほ	方位:違法
いうま	うまい:うまい［〜話］
いうゆ	優位
いうよ	容易:用意
いうら	雷雨
いうわ	祝う
いえが	映画
いえご	英語:護衛
いえし	市営
いえじ	英字
いえす	イエス
いえら	偉い
いえり	営利
いおお	多い:覆い
いおし	惜しい
いおそ	遅い
いおで	おいで
いおと	遠い:遠い［〜昔］
いおに	におい
いおめ	汚名
いおも	思い:重い:重い［〜役目］
いおる	オイル:老いる
いおれ	お礼
いおん	イオン
いかか	開花
いかが	いかが:外貨:絵画
いかき	機会:機械
いかぎ	会議:議会
いかく	各位
いかけ	家計:経過
いかげ	外科医
いかこ	囲い
いかご	ごかい:介護:誤解
いかさ	境（さかい）:火災
いかし	司会:歯科医:視界:開始
いかじ	次回:開示
いかす	すいか:生かす
いかせ	世界:成果:青果
いかた	かたい（堅・固・硬）:他界:固い:堅い:対価:硬い:高い
いかだ	課題:過大
いかち	誓い:近い
いかっ	一家
いかつ	いつか:つかい（使・遣）:五日（いつか）:使い:追加
いかて	仮定:低下:定価:家庭:課程:買い手:過程
いかと	都会
いかな	内科:田舎（いなか）
いかに	いかに:二階
いかね	買値
いかは	破壊
いかば	売価
いかひ	会費:回避
いかふ	不快:深い
いかへ	貨幣
いかむ	六日（むいか）:向かい:皆無
いかめ	仮名:名菓:銘菓
いかゆ	かゆい:愉快
いかよ	通い
いから	辛（から）い
いかり	いかり:怒（いか）り:理解
いかる	いるか:怒（いか）る:軽い
いかれ	加齢
いかろ	カイロ:回路
いかわ	会話:和解:若い
いかん	簡易
いがく	医学
いがし	外資:市外:市街
いがそ	疎外
いがた	互い
いがち	違い
いがな	長い
いがに	苦い:苦い［〜経験］
いがね	願い
いがひ	被害
いがむ	無害
いがや	外野
いがり	利害
いがん	因果
いきき	行（い）き来
いきく	区域
いきけ	景気
いきさ	記載
いきざ	機材
いきし	意識
いきせ	世紀:帰省:既製:正規:移籍:規制:遺跡
いきた	待機:期待:気体
いきち	地域
いきっ	一気
いきつ	きつい:追記
いきて	定期:規定
いきな	機内
いきは	廃棄
いきひ	ひいき
いきび	いびき
いきへ	兵器:平気
いきめ	明記:記名
いきら	嫌い:嫌い［〜がある］:来期
いきる	生きる
いきれ	きれい:きれい［〜に忘れる］:冷気
いきろ	黄色（きいろ）
いきん	起因:陰気
いぎせ	正義:犠牲
いぎそ	急ぎ
いぎて	定義
いぎめ	名義
いぎれ	礼儀
いぎん	議員
いくこ	異国
いくご	極意
いくさ	細工:臭い
いくし	飼育
いくす	すくい:救い
いくず	クイズ
いくぞ	遺族
いくた	委託
いくだ	大工:抱（いだ）く［大志を〜・疑いを〜］
いくつ	いくつ
いくて	…ていく
いくと	得意:特異
いくど	くどい:幾度（いくど）
いくに	憎い
いくば	バイク
いくひ	低い
いくふ	衣服
いくほ	保育
いくま	マイク
いくや	医薬
いくよ	意欲
いくら	いくら:イクラ:位（くらい）:暗い
いくろ	黒い
いくん	インク
いぐけ	敬具
いぐそ	急ぐ
いけこ	固形
いけご	敬語
いけじ	掲示
いけず	図形
いけち	地形（ちけい）
いけつ	決意
いけと	時計:毛糸
いけど	軽度
いけは	気配
いけひ	経費
いけび	美形:警備
いけふ	父兄（ふけい）
いけや	夜景:嫌気（いやけ）
いけゆ	経由
いけよ	余計
いけり	理系:経理
いける	いける
いけろ	経路:経路・径路:色気
いけん	意見
いこざ	在庫
いこせ	個性
いこた	個体:固体
いこて	固定
いこと	いとこ
いこぬ	子犬:小犬・子犬
いこめ	濃いめ
いこわ	こわい:怖い
いこん	コイン
いごさ	最後:最後［…たが〜・…たら〜］
いごす	すごい
いごせ	正誤:生後
いごち	いちご
いごは	背後
いごへ	語弊
いごま	迷子（まいご）
いごむ	むごい
いささ	些細
いさず	サイズ
いさそ	誘（さそ）い
いさた	多彩:多才:最多:痛さ
いさつ	殺意
いさて	査定
いさと	サイト:サイト［ウェブ〜］
いさど	サイド:再度
いさひ	被災
いさふ	夫妻:負債:財布
