４文字集合	可能な４文字単語
ああいう	ああいう
ああきき	飽き飽き
ああしと	足跡（あしあと）
ああつつ	熱熱（あつあつ）
ああとと	後後（あとあと）
ああまま	まあまあ
あいいい	言い合い
あいいう	言い合う
あいいさ	最愛
あいいま	曖昧
あいいみ	意味合い
あいいろ	色合い
あいうそ	愛想（あいそう）
あいうぼ	相棒
あいうや	危うい
あいうよ	愛用
あいおそ	お愛想
あいおり	折り合い
あいかけ	掛け合い
あいかげ	買い上げ
あいかつ	扱い
あいかね	兼ね合い
あいかる	明るい:明るい［歴史に〜］
あいかろ	赤色（あかいろ）
あいがん	案外
あいきつ	付き合い
あいきひ	引き合い
あいくさ	最悪
あいくせ	悪性（あくせい）
あいくに	あいにく
あいくみ	組合
あいぐつ	相次ぐ
あいぐふ	不具合
あいけん	愛犬
あいこん	アイコン
あいさち	朝市
あいさつ	挨拶（あいさつ）
あいさま	毎朝
あいしや	怪しい
あいしり	知り合い
あいじわ	味わい
あいすつ	水圧
あいする	愛する
あいせつ	制圧
あいせん	安静
あいそら	争い
あいたち	立ち会い:立ち合い
あいたり	イタリア:リタイア
あいたん	大安:安泰
あいだん	代案
あいつて	手厚い
あいつぶ	分厚い
あいつり	釣り合い
あいてむ	アイテム
あいてら	手洗い:手荒い
あいてん	安定:提案
あいとり	取り合い
あいどる	アイドル
あいどん	インドア
あいなぶ	危ない
あいなれ	なれ合い
あいなわ	合わない［もうけに〜］
あいなん	案内
あいにふ	不似合い
あいにま	間に合い
あいはり	張り合い
あいはる	あるいは
あいふれ	触れ合い
あいめん	名案:明暗
あいりわ	割合
あいれん	恋愛
あいろん	アイロン
あううけ	請け合う
あうおり	折り合う
あうかつ	扱う
あうかみ	かみ合う
あうがき	気が合う
あうきだ	抱き合う
あうきつ	付き合う
あうきひ	引き合う
あうきむ	向き合う
あうくや	危うく
あうくよ	悪用
あうけわ	分け合う
あうげり	売り上げ
あうこつ	高圧
あうこん	考案
あうごん	暗号
あうさゆ	朝夕（あさゆう）
あうしだ	出し合う
あうしら	あしらう
あうしり	知り合う
あうじす	薄味
あうじわ	味わう
あうせめ	攻め合う
あうせり	競り合う
あうそら	争う
あうたち	立ち合う
あうたー	アウター
あうっと	圧倒
あうつり	釣り合う
あうとま	甘党
あうとり	取り合う
あうとん	答案
あうなめ	穴埋め
あうにま	間に合う
あうはり	張り合う
あうふれ	触れ合う
あうみも	もみ合う
あえこん	エアコン:エアコン［エアコンディショナー］
あえしま	前足
あえたる	与える
あえとり	アトリエ
あえはぺ	ｐＨ（ペーハー）
あえまる	甘える
あおおめ	大雨（おおあめ）
あおおれ	大荒れ
あおきさ	朝起き
あおけず	お預け
あおけむ	あお向け
あおげて	お手上げ
あおしじ	塩味
あおしと	後押し:足音
あおじそ	青じそ
あおじる	青汁
あおぞら	青空
あかきら	明らか
あかきん	空き缶
あかけし	駆け足
あかげら	空揚げ
あかさは	浅はか
あかさる	明るさ
あかさん	母さん
あかざや	鮮やか
あかずり	預かり
あかずる	預かる
あかぜめ	雨風（あめかぜ）
あかたた	あたたか（暖・温）:暖か:温か
あかたの	あの方
あかたも	あたかも
あかたら	あらかた
あかたり	在り方
あかっん	圧巻
あかふり	アフリカ
あかまら	甘辛
あかみる	明るみ
あかめり	アメリカ
あがきら	がらあき（空・明）:がら空き
あがきる	気がある
あがけた	明け方
あがこれ	あこがれ
あがさた	朝型:朝方
あがさま	雨傘
あがしり	仕上がり
あがしる	仕上がる
あがちな	あながち
あがちり	ありがち
あがつり	暑がり
あがつる	暑がる
あがとま	後がま
あがねり	値上がり
あがゆり	湯上がり
あきくぬ	あく抜き
あきげひ	引き上げ
あきげり	切り上げ
あきこば	空き箱
あきさて	あて先
あきさと	後先（あとさき）
あきずと	傷跡
あきぞら	秋空
あきたれ	あきれた
あきつや	厚焼き
あきとる	ある時
あきびん	空き瓶
あきみる	見飽きる
あきめら	あきらめ
あきゃり	キャリア
あきるれ	あきれる
あぎしり	ギリシア
あぎつり	厚切り
あくくや	悪役
あくけま	幕開け
あくけん	険悪
あくげり	繰り上げ
あくさよ	翌朝（よくあさ）
あくしつ	悪質
あくしび	足首
あくしゅ	握手
あくせだ	汗だく
あくせる	アクセル
あくぜん	善悪
あくたっ	アタック
あくちま	甘口
あくつよ	抑圧
あくでま	あくまで
あくでる	出歩く
あくなぶ	危なく
あくにん	悪人
あくもん	暗黙
あぐなろ	アナログ
あぐまも	雨雲
あぐるん	アングル
あけさづ	浅漬け
あけざま	甘酒
あけしと	年明け
あけしめ	開け閉め
あけじつ	味付け
あけずる	預ける
あけだれ	あれだけ
あけつつ	血圧
あけつゆ	梅雨明け
あけなぬ	抜け穴
あけりわ	訳あり
あけんん	案件
あげこそ	底上げ
あげしや	怪しげ
あげしる	仕上げる
あげたち	立ち上げ
あげたな	棚上げ
あげたみ	見上げた
あげちん	賃上げ
あげつみ	積み上げ
あげてに	当て逃げ
あげてる	…てあげる
あげとり	取り上げ
あげのも	揚げ物
あげみる	見上げる
あげんん	原案
あこしし	足腰
あこちち	あちこち
あことの	この後（あと）
あこれれ	あれこれ
あさって	あさって
あさっり	あっさり
あさばん	ばあさん:朝晩
あさまり	ありさま
あさるわ	合わさる
あざんん	暗算
あししよ	よしあし
あしせわ	幸せ:幸せ・仕合わせ
あしたー	シアター
あしだと	後出し［じゃんけん］
あしだむ	無駄足
あしとも	足もと
あしとる	ある年
あしどり	足どり
あしなみ	足並み
あしなる	あるなし
あしぶみ	足踏み
あしむや	怪しむ
あしゅる	ある種［〜の］
あしりる	シリアル
あしんん	安心
あじそみ	みそ味
あじちも	持ち味
あじるん	案じる
あじれん	アレンジ
あすそば	遊ばす
あすどれ	アドレス
あすらわ	現す:表（あらわ）す
あずせみ	汗水
あずまみ	雨水（あまみず）
あずるん	案ずる
あせてわ	併せて
あせばむ	汗ばむ
あせひや	冷や汗
あせみわ	見合わせ
あせるわ	会わせる:合わせる
あぜんん	安全
あそびよ	夜遊び
あぞまら	雨空
あたたふ	あたふた
あたっに	似合った
あたっみ	見合った
あたばり	場当たり
あたひり	日当たり
あたふー	アフター
あたみる	見当たる
あためら	改め
あだつわ	泡立つ
あだてわ	泡立て
あだはれ	肌荒れ
あだまめ	あめ玉
あちまや	過ち
あつでん	電圧
あつとめ	つめあと
あつはん	発案
あつまり	集まり
あつまる	集まる
あつめる	集める
あつやる	操る
あつりん	立案
あてなん	アンテナ
あてりわ	割り当て
あてるわ	慌てる
あとのひ	あの人
あとひる	ある人
あどほれ	あれほど
あなにん	あんなに
あにへる	ヘルニア
あにまり	あまりに
あにまる	アニマル
あのへん	あの辺
あばむる	アルバム
あばるれ	暴れる
あぱんん	あんパン
あふめり	雨降り
あふやや	あやふや
あふるれ	あふれる
あぶみら	脂身:脂身［調理用］
あまもり	雨漏り
あまやり	誤り
あまやる	誤る:謝る
あまりん	あんまり
あみんん	安眠
あむらー	アラーム
あもゆー	ユーモア
あゆらる	あらゆる
あられわ	現れ
いいええ	いえいえ
いいえか	言い換え
いいえけ	経営
いいえす	水泳
いいえせ	精鋭:衛星:衛生
いいおお	おいおい
いいおき	勢い
いいおし	おいしい
いいおわ	お祝い
いいかか	開会
いいかが	海外
いいかぐ	買い食い
いいかけ	会計:警戒:軽快
いいかさ	再会:再開:最下位:開催
いいかざ	財界
いいかす	海水
いいかせ	快晴:改正:正解
いいかた	大会:言い方:退会
いいかっ	一回
いいかて	改定:改訂:海底
いいかな	いい仲:内科医
いいかは	徘徊
いいかへ	閉会:開閉
いいかま	毎回
いいかめ	明解:解明
いいかわ	かわいい
いいかん	会員
いいがき	生きがい
いいがさ	災害
いいがす	水害
いいがた	大概
いいがな	内外
いいがれ	例外
いいきき	生き生き
いいきる	言い切る
いいきろ	黄色い
いいぎす	言い過ぎ
いいくじ	食い意地
いいくせ	育成
いいくた	体育
いいけさ	掲載
いいけざ	経済
いいけせ	形勢:形成:成形:整形
いいけた	体型［体格の型］:体形:形態:携帯
いいけて	定型:定形:提携
いいけな	いけない
いいけは	拝啓:背景
いいける	累計
いいけわ	言い分け:言い訳
いいこし	恋しい
いいさせ	再生
いいさだ	最大
いいさち	小さい
いいさっ	一切
いいさて	体裁（ていさい）:最低
いいさは	采配
いいさば	栽培
いいさめ	明細
いいさら	再来
いいさわ	幸い
いいざた	滞在
いいしと	いい年
いいすす	すいすい
いいすせ	水性
いいすた	衰退
いいすだ	言い出す
いいすて	推定
いいすで	いいです:泥酔
いいすは	排水
いいすへ	水平
いいせぜ	せいぜい
いいせた	体制:体勢:態勢:整体:正体:生態:耐性
いいせだ	盛大
いいせっ	一斉
いいせて	訂正
いいせへ	平成:平静
いいせめ	姓名:生命
いいせれ	冷静
いいただ	代替（だいたい）:大体
いいたっ	一体
いいたて	停滞:大抵
いいたな	体内
いいたは	大敗:敗退
いいたば	媒体
いいたん	引退:退院
いいだち	第一
いいだめ	題名
いいだれ	例題
いいちち	いちいち
いいちて	定位置
いいちば	一倍
いいちま	今一（いまいち）
いいちれ	一例
いいちん	一員:一因
いいって	一定
いいつつ	ついつい
いいつゆ	唯一（ゆいいつ）
いいてね	丁寧
いいてめ	低迷
いいても	…てもいい
いいてれ	定例
いいてん	定員
いいとひ	いい人
いいなり	言いなり
いいはる	言い張る
いいはろ	灰色
いいぶん	言い分
いいめれ	命令
いいやや	いやいや:いやいや［〜ながら］
いいよよ	いよいよ
いいよる	言い寄る
いいらら	いらいら
いいろろ	いろいろ
いいわわ	わいわい
いううこ	こういう
いううそ	そういう
いうえこ	光栄:栄光
いうえぞ	映像
いうえぼ	防衛
いうえよ	栄養
いうえん	運営
いうおけ	請負（うけおい）
いうおた	対応:応対
いうおち	一応
いうおべ	欧米
いうおる	潤い
いうおん	押印
いうかが	伺い
いうかこ	公開:後悔
いうかご	豪快
いうかす	回数
いうかそ	回想:海草（かいそう）:海藻:爽快:総会
いうかぞ	改造
いうかつ	開通
いうかと	回答:東海:解凍:解答
いうかど	街道
いうかふ	開封
いうかほ	介抱:崩壊:解放:開放
いうかり	売り買い
いうがこ	口外:外交:郊外
いうがた	疑い
いうがと	外灯:街灯:該当
いうがゆ	有害
いうがよ	概要
いうきこ	広域
いうきょ	脅威:驚異
いうぎゆ	有意義
いうくよ	養育
いうぐた	待遇
いうけこ	傾向:光景:後継:蛍光
いうけご	合計
いうけそ	総計:軽装
いうけと	系統:統計
いうけふ	風景
いうけほ	警報
いうけれ	受け入れ
いうげこ	工芸
いうげそ	送迎
いうこさ	交際:再考:最高
いうこす	遂行:香水
いうこず	洪水
いうこせ	公正:厚生:後世（こうせい）:成功:更生:構成:精巧
いうこた	交代:交代・交替:交替:対抗:後退:抗体
いうこだ	代行:広大
いうこっ	一行
いうこて	工程:抵抗:校庭:肯定:行程
いうこな	口内
いうこは	後輩
いうこば	購買
いうこへ	並行:公平:平行
いうこれ	恒例:高齢
いうごせ	合成
いうごは	配合
いうごれ	号令
いうごん	強引
いうさそ	相殺（そうさい）
いうさと	搭載
いうさの	才能
いうさぼ	細胞:防災
いうさよ	採用
いうさる	うるさい
いうざと	東西
いうざゆ	有罪
いうしゅ	周囲:異臭
いうしょ	衣装
いうしれ	うれしい
いうすそ	水槽
いうすど	水道
いうすぼ	防水
いうすま	枚数
いうすよ	水曜
いうする	ウイルス［ビールス］
いうせそ	正装:清掃
いうせぞ	製造
いうせと	正当:正統
いうせど	同姓:同性
いうせの	性能
いうせほ	製法
いうせゆ	優勢
いうせよ	西洋:要請:陽性
いうせん	運勢
いうぜの	納税
いうそた	体操:早退
いうそっ	一層:一掃
いうそて	想定
いうそな	内装
いうそは	配送
いうそめ	迷走
いうそや	嫌そう
いうぞな	内臓:内蔵
いうぞれ	冷蔵
いうぞん	増員
いうたと	対等
いうたの	滞納
いうたふ	台風
いうたほ	包帯
いうたぼ	待望
いうたゆ	優待
いうたよ	太陽:容体（ようたい）:容態（ようたい）
いうだよ	代用:容体（ようだい）:容態（ようだい）
いうちど	一同
いうちゅ	注意
いうちょ	いちょう:胃腸
いうちよ	一様
いうっと	一等
いうつと	統一
いうつど	同一（どういつ）
いうつほ	追放
いうつれ	通例
いうつん	通院
いうてと	到底
いうとと	というと:尊（とうと）い
いうとは	配当
いうとめ	透明
いうとも	妹
いうとら	到来
いうとれ	冷凍
いうどめ	同名
いうどる	同類
いうどん	動員
いうなよ	内容
いうなら	占い
いうはゆ	俳優
いうふよ	不用意
いうふれ	冷風
いうへほ	平方
いうへよ	併用
いうほれ	法令
いうぼれ	冷房
いうぼん	暴飲
いうめゆ	有名
いうめん	運命
いうゆれ	幽霊
いうょり	医療:衣料
いうより	入り用
いうよん	引用:要因:飲用
いええん	永遠
いえかが	映画化
いえかれ	入れ替え
いえかん	開演
いえきた	液体
いえきめ	駅名
いえきん	駅員
いえくこ	英国
いえくや	英訳
いえけん	円形
いえげん	園芸
いえさつ	撮影
いえせび	いせえび
いえせん	声援
いえたん	延滞
いえちも	持ち家
いえちん	一円
いえとは	とはいえ
いえとば	と言えば
いえども	いえども
いえはん	反映:繁栄
いえぴむ	Ｐ．Ｍ．
いえぶん	英文
いおおき	大きい:大きい［〜兄］
いおおぐ	大食い
いおおぜ	大勢（おおぜい）
いおおに	大いに
いおかき	買い置き
いおかく	買い置く
いおかし	おかしい
いおかぜ	追い風
いおかろ	顔色（かおいろ）
いおがく	屋外
いおがた	お互い
いおきだ	追い炊き
いおきぬ	追い抜き
いおきん	音域
いおぎな	補い
いおくつ	追いつく
いおくと	お得意
いおくな	屋内
いおくぬ	追い抜く
いおけん	恩恵
いおこす	追い越す
いおこな	行い
いおこみ	追い込み
いおこむ	追い込む
いおさな	幼い
いおさら	おさらい
いおしだ	追い出し
いおしち	一押し:一押し・一推し:一推し
いおしま	おしまい
いおしれ	押し入れ
いおすだ	追い出す
いおすん	水温:温水
いおせぼ	お歳暮
いおせん	音声
いおそよ	装い
いおそろ	おそろい［〜で・〜の］:おそろい［〜の着物］
いおたち	生い立ち
いおたも	重たい
いおたん	体温
いおてん	低温:低音:音程
いおでも	思い出
いおとと	おととい
いおへん	平穏
いおまり	お参り
いおらわ	お笑い
いおらー	オーライ
いかかく	改革
いかかた	買い方
いかかふ	不可解
いかかん	会館:快感:開館
いかがち	地下街
いかがん	外観:感慨:海岸（かいがん）:眼科医
いかきけ	行（い）きかけ
いかきせ	会席:解析
いかきた	生き方:行（い）き方
いかきづ	気遣い
いかきて	快適
いかきど	買い時
いかきな	利かない
いかきん	解禁
いかぎし	市議会
いかくけ	計画
いかくし	四角い
いかくせ	性格:正確:覚醒
いかくそ	快速
いかくた	体格
いかくだ	快諾:拡大
いかくて	確定
いかくど	解読:買い得
いかくな	内閣
いかくふ	回復
いかくま	開幕
いかくめ	明確:革命
いかくや	解約
いかくら	いくらか:快楽
いかぐた	具体化
いかけこ	過去形
いかけつ	解決
いかけぼ	家計簿
いかけん	会見:景観:見解:警官:関係
いかげん	歓迎:限界
いかこし	賢い
いかこっ	国会
いかこづ	小遣い
いかこて	固定化
いかこね	飼い猫
いかこま	細かい
いかこむ	買い込む
いかこん	今回
いかさつ	改札
いかさま	いかさま
いかさめ	境目
いかさわ	かわいさ
いかさん	完済:解散:関西
いかざや	居酒屋
いかしせ	世界史
いかしだ	買い出し
いかしつ	いつしか
いかしな	悲しい
いかしぬ	買い主:飼い主
いかしは	支配下
いかしめ	買い占め
いかしゃ	会社:社会
いかしょ	初回
いかしん	改心
いかじせ	政治家:自家製
いかじに	二次会
いかじみ	短い
いかずれ	いずれか
いかせつ	生活:解説
いかせん	回線:完成:感性:歓声
いかぜひ	非課税
いかぜん	全開:前回:改善
いかぞわ	川沿い
いかたた	たたかい（戦・闘）:戦い:闘い
いかたん	体感
いかだめ	買いだめ
いかだん	会談:大寒:寛大:怪談:段階:階段
いかっつ	一括
いかって	撤回
いかっや	厄介
いかっん	一貫
いかつで	使いで
いかつは	開発
いかつめ	壊滅
いかてん	回転:展開:鑑定:開店
いかとり	買い取り
いかとる	買い取る
いかどり	理解度
いかなは	はかない
いかなる	いかなる
いかなん	難解
いかにも	いかにも
いかのみ	飲み会
いかのも	買い物
いかばん	完売
いかぱん	乾杯:完敗
いかふゆ	不愉快
いかふり	深入り
いかぶん	分解:異文化
いかべん	弁解
いかまん	満開
いかまー	マイカー
いかめん	感銘
いかよわ	か弱い
いからん	回覧:来館
いかるれ	いかれる
いかれん	慣例
いかわん	違和感
いかんん	印鑑
いがきし	石垣
いがきな	気がない:長生き
いがきへ	外壁
いがくこ	国外:外国
いがくせ	学生
いがくて	低額:定額
いがくわ	枠外
いがくん	学院
いがけん	圏外:外見
いがさん	概算
いがしせ	静止画
いがしち	市街地
いがしつ	室外
いがしん	侵害:心外
いがする	害する［感情を〜］
いがそん	損害
いがたて	手堅い
いがたる	痛がる
いがちつ	一月
いがちて	手違い
いがちま	間違い
いがちん	一丸
いがなめ	目がない:長い目［〜で見る］
いがねん	概念
いがめよ	目がよい
いがめら	銘柄
いがめん	外面
いがやり	やりがい
いがやる	嫌がる
いがらろ	色柄
いがろん	論外
いききさ	行（い）き先
いききぬ	息抜き
いききる	聞き入る
いきぎす	行（い）き過ぎ
いきぎれ	息切れ
いきくさ	行（い）く先
いきけし	型式（けいしき）:形式（けいしき）
いきけせ	形跡
いきけつ	行（い）きつけ
いきけふ	不景気:不景気［〜な顔］
いきけれ	経歴
いきげれ	激励
いきごみ	意気込み
いきごむ	意気込む
いきさし	色彩
いきさつ	いきさつ
いきさて	最適
いきさん	最近:細菌
いきざせ	在籍
いきしじ	自意識
いきしせ	正式
いきしっ	一式（いっしき）
いきしび	厳しい:厳しい［〜残暑］:美意識
いきしむ	無意識
いきすだ	大好き
いきすて	水滴
いきずま	気まずい
いきせせ	成績
いきせた	退席
いきせつ	追跡
いきせて	性的:適性:適正
いきせの	気のせい
いきせょ	逝去
いきせる	累積
いきせれ	西暦
いきぜぬ	税抜き
いきぜん	全域:税金
いきそつ	付き添い
いきただ	頂き
いきたて	敵対
いきたな	汚い:汚い［〜手段］
いきため	ため息
いきたょ	巨体
いきたん	退勤
いきだん	代金:近代
いきちん	いんちき
いきっと	一時（いっとき）
いきっに	一気に
いきつま	毎月（まいつき）
いきつん	均一
いきてと	意図的
いきてふ	不定期
いきてれ	適齢
いきでな	できない
いきとひ	一息
いきどま	今時
いきどわ	際どい
いきなま	生意気
いきなり	いきなり
いきにる	気に入る
いきのも	生き物
いきばん	ばい菌
いきひめ	ひいき目
いきひる	率いる
いきふん	雰囲気
いきへん	平均
いきむめ	無記名
いきもや	焼き芋
いきやろ	焼き色
いきろん	金色（きんいろ）
いぎくす	食い過ぎ
いぎこれ	小ぎれい
いぎすり	イギリス
いぎにわ	にぎわい
いぎろん	銀色（ぎんいろ）
いくくつ	食い付く
いくけこ	警告
いくけそ	計測
いくけぞ	継続
いくけに	鶏肉
いくけや	契約
いくこさ	国際
いくこざ	小細工
いくこて	定刻
いくこな	国内
いくこべ	米国
いくこみ	食い込み
いくこむ	食い込む
いくこめ	国名
いくさせ	作成:作製:制作:政策:製作
いくさそ	催促
いくさた	対策
いくさは	白菜
いくさぶ	不細工
いくさむ	無作為
いくさめ	名作
いくさる	サイクル
いくさん	索引
いくざた	在宅
いくざも	モザイク:木材:材木
いくしほ	保育士
いくしむ	虫食い
いくしや	悔しい
いくしょ	移植:衣食
いくしる	苦しい
いくしわ	詳しい
いくすそ	推測
いくすな	少ない
いくせぞ	属性
いくせと	特性:特製
いくせに	肉声
いくせふ	制服:複製
いくせや	製薬:誓約
いくせよ	性欲:抑制
いくせわ	惑星
いくぜた	贅沢
いくそて	低速:測定
いくぞは	配属
いくただ	頂く
いくたつ	退屈
いくたに	肉体
いくたは	宅配
いくたり	大陸
いくだと	特大
いくだふ	大福
いくちど	一読
いくつは	発育
いくづろ	色付く
いくてと	特定
いくては	ハイテク
いくとば	特売
いくとふ	不得意
いくとめ	匿名
いくとれ	特例
いくなふ	内服
いくなよ	よくない
いくなわ	枠内
いくにみ	見にくい
いくにる	肉類
いくのみ	飲み食い
いくのも	食い物
いくはぼ	敗北
いくはま	白米
いくはめ	明白
いくぶろ	胃袋
いくべほ	北米
いくみれ	組み入れ
いくむる	報いる
いくめわ	迷惑
いくめん	面食い
いくやん	役員
いくょり	威力
いくらら	落雷
いぐすま	今すぐ
いぐすり	胃薬
いぐすん	スイング
いぐちと	糸口
いぐちり	入（い）り口
いぐちん	一軍
いぐつな	償い
いぐはや	早食い
いけけん	経験
いけげん	原型:原形:軽減
いけさっ	決済
いけさつ	採血:警察
いけさん	計算
いけざん	健在
いけした	しいたけ
いけしゃ	傾斜
いけしわ	険しい
いけしん	消印:神経
いけじる	いじける
いけせっ	設計
いけせつ	清潔
いけせん	罫線
いけそつ	軽率
いけそん	尊敬
いけたつ	対決
いけたむ	煙たい
いけため	ため池
いけたん	体験
いけだる	けだるい
いけちづ	位置付け
いけって	決定:決定［法］
いけっん	一件:一見（いっけん）
いけつれ	系列
いけつん	欠員
いけてん	典型:検定
いけなん	圏内
いけはん	半径:拝見
いけひん	景品
いけぶり	経理部
いけぶん	文系
いけへん	変形
いけめん	懸命:賢明
いけれん	連携
いけろわ	色分け
いげさつ	歳月
いげさん	再現
いげしは	激しい
いげせん	制限
いげつま	毎月（まいげつ）
いげつら	来月
いげてん	低減:提言:限定
いげにん	芸人
いげめん	名言:明言
いげんん	原因
いこごち	居心地
いこさの	この際
いこざん	混在
いこしつ	しつこい
いこすみ	吸い込み
いこすむ	吸い込む
いこする	恋する
いこぜみ	税込み
いこだな	こないだ
いこだん	大根
いこてれ	てこ入れ
いことび	恋人
いこのり	居残り
いこのる	居残る
いこばよ	横ばい
いこむれ	入れ込む
いこるー	イコール
いごつろ	いつごろ
いごてわ	手ごわい
いごまろ	今ごろ
いささん	再三:採算
いさざん	散財:財産
いさしひ	久しい
いさしび	寂しい
いさしや	優しい:優しい［〜曲線］:易しい
いさしゅ	主催:主菜
いさしょ	最初
いさしれ	差し入れ
いさしん	再診:最新:細心:震災
いさじつ	祭日
いさじん	じいさん:人災
いさすつ	推察
いさせん	清算:生産:精算:繊細:賛成:酸性
いさぜん	最善
いさたん	最短:退散
いさちな	小さな
いさちひ	被災地
いさつは	再発
いさつま	歳末
いさつん	印刷
いさてん	天才:天災:採点
いさなん	災難
いさにん	兄さん
いさばん	三倍:裁判
いさへん	再編:返済
いさまら	今更
いさまん	三昧:三枚:満載
いさめん	名産
いされん	サイレン:連載
いざしつ	材質
いざせん	洗剤:潜在
いざそん	存在
いざてん	暫定
いざはん	犯罪
いざまん	漫才
いざわわ	災い
いしした	親しい
いしすず	涼しい
いしすん	推進:水深:浸水
いしずま	貧しい
いしせつ	性質
いしせゅ	清酒
いしせん	申請:精神
いしたた	大した
いしただ	正しい
いしたつ	体質:退室
いしたて	大して
いしたの	楽しい
いしたま	魂（たましい）
いしたゃ	代謝:退社
いしたゅ	主体
いしたょ	対処:所帯:書体:退所
いしたん	耐震:身体:進退
いしだと	大都市
いしだな	台なし
いしだに	次第に
いしだれ	出し入れ
いしつな	室内
いしつれ	失礼
いしつん	追伸:陰湿
いしてゃ	停車
いしてん	進呈
いしでん	遺伝子
いしとひ	等しい
いしとぶ	しぶとい
いしとぼ	乏しい
いしとま	毎年（まいとし）
いしどん	しんどい
