５文字集合	可能な５文字単語
ああいうし	愛し合う
ああうとど	アウトドア
ああがくな	穴が開く
ああがめり	雨上がり
ああせりわ	あり合わせ
ああちまゅ	アマチュア
ああまりる	あり余る
あいいがみ	いがみ合い
あいいつで	相次いで
あいううば	奪い合う
あいうえお	アイウエオ
あいうかむ	向かい合う
あいうがき	息が合う
あいうがみ	いがみ合う
あいうきそ	競い合う
あいうきょ	愛嬌
あいうしょ	愛称:相性:相性・合い性
あいうそぶ	無愛想
あいうとれ	レイアウト
あいおげる	追い上げる
あいおてら	お手洗い
あいかたた	あたたかい（暖・温）:暖かい:温かい
あいかたて	相手方
あいかまら	甘辛い
あいかわん	赤ワイン
あいがたり	ありがたい
あいがとな	後がない
あいがはる	はい上がる
あいがまる	舞い上がる
あいきすべ	愛すべき
あいきつて	低気圧
あいくぐよ	具合よく
あいくさせ	汗臭い
あいくそよ	愛想よく
あいくちゃ	愛着（あいちゃく）
あいくられ	あれくらい
あいぐたん	具体案
あいけじな	味気（あじけ）ない
あいけすた	助け合い
あいけずれ	預け入れ
あいけっな	あっけない
あいけどな	あどけない
あいこだの	この間（あいだ）
あいことば	合い言葉
あいさらら	皿洗い
あいしたら	新しい
あいしつむ	蒸し暑い
あいしなは	話し合い
あいじのよ	味のよい
あいすずる	合図する
あいすたる	値（あたい）する
あいすだら	洗い出す
あいすつる	威圧する
あいずみら	水洗い
あいずゆり	譲り合い
あいせたろ	色あせた
あいせとわ	問い合わせ
あいせるろ	色あせる
あいせるわ	居合わせる
あいたたり	体当たり
あいつふり	不釣り合い
あいてふん	不安定
あいてりん	インテリア
あいとばら	後払い
あいとばる	アルバイト
あいとぽん	アポイント
あいとらる	トライアル
あいにみら	にらみ合い
あいのもら	洗い物
あいまらる	丸洗い
あうかたり	語り合う
あうかちわ	分かち合う
あうかぼん	赤ん坊
あうがきる	浮き上がる
あうがとり	ありがとう［〜ございます・〜ございました］
あうきこつ	高気圧
あうきすょ	今日明日
あうくしゅ	悪臭
あうくちに	口に合う
あうくひょ	悪評
あうぐめり	巡り合う
あうけしゅ	週明け
あうけすた	助け合う
あうけちる	打ち明ける
あうげちる	打ち上げる
あうげりる	売り上げる
あうさねぼ	朝寝坊
あうししろ	後ろ足
あうしなは	話し合う
あうしのら	足の裏
あうしょり	両足
あうしょん	暗証
あうじまり	交じり合う
あうすなん	アナウンス
あうずゆり	譲り合う
あうせちわ	打ち合わせ
あうつみめ	見詰め合う
あうとなり	隣り合う
あうにりわ	割（わり）に合う
あうまもよ	雨模様（あまもよう）
あうもよれ	荒れ模様
あえがもる	燃え上がる
あえがるん	縁がある
あえけまよ	夜明け前
あえじにん	エンジニア
あえずとり	取りあえず
あえたまり	当たり前
あおおたり	大当たり
あおおてわ	大慌て
あおおばれ	大暴れ
あおかさま	お母様
あおかさん	お母さん
あおかせわ	顔合わせ
あおがきり	起き上がり
あおがきる	起き上がる
あおがきれ	あきれ顔
あおげしる	押し上げる
あおげしろ	上げ下ろし
あおことめ	雨男
あおさばん	おばあさん
あおざめる	青ざめる
あおしてる	押し当てる
あおとめり	通り雨
あかきげる	書き上げる
あかきすと	解き明かす
あかきつめ	かき集め
あかきつり	月明かり
あかぎりる	ある限り:限りある
あかくしじ	隠し味
あかくなる	赤くなる
あかけたぬ	あか抜けた
あかさたた	あたたかさ（暖・温）:暖かさ:温かさ
あかさまら	あからさま
あかしずら	あしからず
あかじめら	あらかじめ
あかすっる	悪化する
あかすまや	甘やかす
あかせみわ	かみ合わせ
あかぜたり	風当たり
あかたたみ	暖かみ:温かみ
あかたまら	頭から
あかちゃん	母ちゃん:赤ちゃん
あかふんん	不安感
あかへらー	ヘアカラー
あかめりん	アメリカン
あがきくる	飽きがくる
あがきたる	炊き上がる
あがきやる	焼き上がる
あがきるわ	悪あがき
あがけつる	つけ上がる
あがこしる	腰がある
あがこるれ	あこがれる
あがさたり	ありがたさ
あがしめる	召し上がる
あがすやり	安上がり
あがたたな	あなた方
あがたちり	立ち上がり
あがたちる	立ち上がる
あがたみり	ありがたみ
あがちもる	持ち上がる
あがちらわ	あちら側
あがつりる	つり上がる
あがなりる	成り上がる
あがねはる	跳ね上がる
あがままる	あるがまま
あがみやり	病み上がり
あがもりり	盛り上がり
あがもりる	盛り上がる
あきききる	聞き飽きる
あきげひる	引き上げる
あきげりる	切り上げる［仕事を〜］:切り上げる［円を〜］:切り上げる［百の位で〜］
あきするん	暗記する:起案する
あきそとる	外歩き
あきたっの	気の合った
あきたつり	突き当たり
あきたつる	突き当たる
あきたべる	食べ歩き
あきたまん	頭金
あきたゆり	行（ゆ）き当たり
あきたりり	ありきたり
あきちもる	持ち歩き
あきっりれ	あれっきり
あきてひる	引き当てる
あきめらる	あきらめる
あぎすつる	厚着する
あくげみる	組み上げる
あくげりる	繰り上げる
あくこのる	こくのある
あくしょん	アクション
あくすはる	把握する
あくすみわ	組み合わす
あくすりる	クリアする
あくせとん	アクセント
あくせみわ	組み合わせ
あくたちり	口当たり
あくちもる	持ち歩く
あくちょん	安直
あくっにま	マニアック
あくつょり	圧力
あくてなも	当てもなく
あくでまも	あくまでも
あくばよわ	あわよくば
あぐひりん	ヒアリング
あぐへろん	ロングヘア
あけずらり	荒削り
あけたっり	ありったけ
あけだなら	穴だらけ
あけとんー	アンケート
あげさしる	差し上げる
あげすねる	値上げする
あげたたつ	竜田揚げ
あげたちる	立ち上げる:立ち上げる［パソコンを〜］:立ち上げる［事業を〜］
あげちもる	持ち上げる
あげつみる	積み上げる
あげつりる	つり上げる
あげとりる	取り上げる
あげふりる	振り上げる
あげみよる	読み上げる
あげもりる	盛り上げる
あここるろ	心ある
あこたのり	このあたり
あことるろ	ある所
あこるるー	アルコール
あこるんー	アンコール
あごさはん	朝御飯
あごせろわ	ごろ合わせ
あさしたり	差し当たり
あさしって	しあさって
あさのみん	アミノ酸
あしするん	思案する
あしせふわ	不幸せ
あしつとま	後始末
あしてまも	持て余し
あしとまわ	後回し
あしとょり	後処理
あじすたむ	スタジアム
あじすみる	味見する
あじするん	暗示する
あじまるん	甘んじる
あすだふれ	あふれ出す
あすててる	手当てする
あすてにる	当てにする
あすてまも	持て余す
あすとにる	後にする:後にする［故郷を〜］
あすとりー	アスリート
あすにまわ	間に合わす
あすにゅん	ニュアンス
あすへりん	ヘアリンス
あずのみわ	水の泡
あせぜまわ	混ぜ合わせ
あせちはわ	鉢合わせ
あせちまわ	待ち合わせ
あせちもわ	持ち合わせ
あせつめよ	寄せ集め
あせつめわ	詰め合わせ
あせつもわ	合わせ持つ
あせとりわ	取り合わせ
あせにまわ	間に合わせ
あせまみれ	汗まみれ
あせまりん	ありません
あせみよわ	読み合わせ
あせみるわ	見合わせる:見合わせる［目を〜・顔を〜］
あそてぶも	もてあそぶ
あたたまる	あたたまる（暖・温）:暖まる:温まる
あたためる	あたためる（暖・温）:暖める:温める
あたちばり	罰当たり
