１文字	2gram出現回数	2gram出現確率	3gram出現回数	3gram出現確率	3gram -logP
い	49	0.034458509142	461	0.054705114513	2.905798072776
ん	43	0.030239099859	401	0.047585142993	3.045234688466
る	42	0.029535864979	334	0.039634508129	3.228055122796
か	49	0.034458509142	326	0.038685178593	3.252298734406
う	38	0.026722925457	297	0.035243859025	3.345463976970
く	45	0.031645569620	280	0.033226533761	3.404406512603
し	37	0.026019690577	278	0.032989201377	3.411575002082
き	48	0.033755274262	250	0.029666548000	3.517735197910
す	32	0.022503516174	234	0.027767888928	3.583875000415
つ	40	0.028129395218	197	0.023377239824	3.755992387034
こ	34	0.023909985935	190	0.022546576480	3.792172043612
り	28	0.019690576653	188	0.022309244096	3.802754152942
た	29	0.020393811533	183	0.021715913136	3.829709962931
ま	35	0.024613220816	175	0.020766583600	3.874410141849
と	24	0.016877637131	171	0.020291918832	3.897532559270
み	28	0.019690576653	169	0.020054586448	3.909297400849
お	21	0.014767932489	161	0.019105256912	3.957791750788
さ	26	0.018284106892	159	0.018867924528	3.970291913552
あ	38	0.026722925457	148	0.017562596416	4.041983842008
ら	20	0.014064697609	145	0.017206597840	4.062462373352
な	25	0.017580872011	134	0.015901269728	4.141356315821
む	26	0.018284106892	132	0.015663937344	4.156394193186
ち	31	0.021800281294	126	0.014951940192	4.202914208821
ふ	27	0.018987341772	126	0.014951940192	4.202914208821
け	20	0.014064697609	125	0.014833274000	4.210882378470
め	22	0.015471167370	125	0.014833274000	4.210882378470
て	12	0.008438818565	124	0.014714607808	4.218914550167
は	30	0.021097046414	122	0.014477275424	4.235175071039
れ	23	0.016174402250	117	0.013883944464	4.277022180975
ひ	16	0.011251758087	110	0.013053281120	4.338715749980
せ	12	0.008438818565	108	0.012815948736	4.357064888648
じ	23	0.016174402250	105	0.012459950160	4.385235765615
わ	17	0.011954992968	105	0.012459950160	4.385235765615
に	16	0.011251758087	104	0.012341283968	4.394805216631
や	22	0.015471167370	99	0.011747953008	4.444076265638
が	12	0.008438818565	98	0.011629286816	4.454228637102
よ	17	0.011954992968	98	0.011629286816	4.454228637102
そ	23	0.016174402250	97	0.011510620624	4.464485137269
え	27	0.018987341772	95	0.011273288240	4.485319224172
も	23	0.016174402250	95	0.011273288240	4.485319224172
ど	15	0.010548523207	90	0.010679957280	4.539386445442
ね	18	0.012658227848	84	0.009967960128	4.608379316929
っ	2	0.001406469761	81	0.009611961552	4.644746961100
の	15	0.010548523207	80	0.009493295360	4.657169481098
だ	11	0.007735583685	75	0.008899964400	4.721708002236
ば	13	0.009142053446	75	0.008899964400	4.721708002236
ぶ	12	0.008438818565	75	0.008899964400	4.721708002236
ろ	14	0.009845288326	74	0.008781298208	4.735131022568
ほ	14	0.009845288326	70	0.008306633440	4.790700873723
ご	14	0.009845288326	69	0.008187967248	4.805089611175
ー	3	0.002109704641	63	0.007475970096	4.896061389381
ぎ	13	0.009142053446	61	0.007238637712	4.928322251599
ゆ	16	0.011251758087	54	0.006407974368	5.050212069208
ぐ	8	0.005625879044	50	0.005933309600	5.127173110344
び	18	0.012658227848	50	0.005933309600	5.127173110344
ず	10	0.007032348805	44	0.005221312448	5.255006481854
げ	14	0.009845288326	40	0.004746647680	5.350316661658
で	9	0.006329113924	38	0.004509315296	5.401609956046
ぼ	10	0.007032348805	37	0.004390649104	5.428278203128
ざ	9	0.006329113924	29	0.003441319568	5.671900285786
べ	8	0.005625879044	22	0.002610656224	5.948153662414
ょ	2	0.001406469761	22	0.002610656224	5.948153662414
ぬ	11	0.007735583685	21	0.002491990032	5.994673678049
ぞ	5	0.003516174402	19	0.002254657648	6.094757136606
へ	10	0.007032348805	19	0.002254657648	6.094757136606
ゅ	1	0.000703234880	16	0.001898659072	6.266607393533
ゃ	2	0.001406469761	15	0.001779992880	6.331145914670
ぜ	6	0.004219409283	13	0.001542660496	6.474246758311
ぱ	2	0.001406469761	11	0.001305328112	6.641300842974
づ	0	0.000000000000	8	0.000949329536	6.959754574093
ぴ	2	0.001406469761	8	0.000949329536	6.959754574093
ぷ	1	0.000703234880	7	0.000830663344	7.093285966717
ぽ	1	0.000703234880	7	0.000830663344	7.093285966717
ぢ	0	0.000000000000	5	0.000593330960	7.429758203338
ぺ	3	0.002109704641	3	0.000355998576	7.940583827104
