３文字集合	可能な３文字単語
ああし	アジア
あいお	青い
あいか	赤い
あいき	気合い
あいく	具合:悪意
あいさ	浅い
あいし	自愛:試合
あいす	アイス:合図
あいそ	愛想（あいそ）
あいた	価（あたい）:値（あたい）:間（あいだ）
あいつ	あいつ:あつい（暑・熱）:厚い:威圧:暑い:熱い:熱い［〜仲］:熱い［〜思い］:熱い［〜議論］:熱い［体（からだ）が〜］
あいて	出会い:相手
あいに	似合い
あいは	場合
あいふ	歩合
あいま	合間:甘い
あいら	洗い:粗（あら）い:荒い
あいわ	淡い
あいん	安易
あうて	出会う
あうと	アウト
あうに	似合う
あうら	洗う
あえし	シェア
あえち	チェア
あえて	あえて
あえふ	フェア
あえま	甘え
あえり	エリア
あえる	あえる
あえん	亜鉛
あおく	仰ぐ［判断を〜］
あおさ	青さ
あおな	青菜
あおり	あおり
あおる	煽（あお）る
あかし	赤字
あかす	明かす:明かす［夜を〜］
あかつ	悪化
あかて	手あか
あかみ	赤身
あかり	ありか:上がり:明かり
あかる	あがる（上・揚）:上がる:上がる［成果が〜］
あかん	安価
あきす	小豆（あずき）
あきち	空き地:空き地・明き地
あきつ	厚着:気圧
あきや	空き家
あきる	歩き:飽きる
あきん	暗記:議案
あくけ	挙げ句:挙げ句・揚げ句:揚げ句
あくし	悪事
あくは	把握
あくひ	あくび
あくま	悪魔:雨具
あくむ	悪夢
あくり	クリア
あくる	歩く
あけし	仕上げ
あけす	預け
あけて	挙げて
あけな	毛穴
あけね	値上げ
あけよ	夜明け
あける	あける（明・開）:あける（空・明）:あける（空・明）［間を〜］:あげる（上・揚）:上げる:挙げる［例を〜］:揚げる:明ける:明ける［夜が〜］:明ける［梅雨が〜・忌みが〜］:明ける［間を〜］:空ける:空ける［間を〜］:開ける
あここ	ココア
あこす	スコア
あこそ	あそこ
あこん	あんこ
あさつ	厚さ:暑さ:熱さ
あさひ	朝日
あさめ	浅め
あさり	あさり
あしす	素足
あした	あした（明日）:あした（朝）:明日（あした）
あして	手足（てあし）
あしに	シニア
あしは	足場
あしひ	シビア
あしみ	味見
あしや	じゃあ
あしら	あらし
あしろ	ロシア
あしん	思案:暗示
あすと	ストア
あすへ	スペア
あすま	余す
あすら	荒らす
あすわ	会わす:合わす
あせも	あせも
あせり	焦（あせ）り
