４文字集合	可能な４文字単語
ああいう	ああいう
ああきき	飽き飽き
ああささ	ざあざあ
ああしと	足跡（あしあと）
ああつつ	熱熱（あつあつ）
ああとと	後後（あとあと）
ああまま	まあまあ
あいいい	言い合い
あいいう	言い合う
あいいさ	最愛
あいいま	曖昧
あいいみ	意味合い
あいいろ	色合い
あいうそ	愛想（あいそう）
あいうほ	相棒
あいうや	危うい
あいうよ	愛用
あいおそ	お愛想
あいおり	折り合い
あいかけ	掛け合い:買い上げ
あいかつ	扱い
あいかね	兼ね合い
あいかる	明るい:明るい［歴史に〜］
あいかろ	赤色（あかいろ）
あいかん	案外
あいきつ	付き合い
あいきひ	引き合い
あいくさ	最悪
あいくせ	悪性（あくせい）
あいくつ	相次ぐ
あいくに	あいにく
あいくふ	不具合
あいくみ	組合
あいけん	愛犬
あいこん	アイコン
あいさち	朝市
あいさつ	挨拶（あいさつ）
あいさま	毎朝
あいしや	怪しい
あいしり	知り合い
あいしわ	味わい
あいすつ	水圧
あいする	愛する
あいせつ	制圧
あいせん	安静
あいそら	争い
あいたち	立ち会い:立ち合い
あいたり	イタリア:リタイア
あいたん	代案:大安:安泰
あいつて	手厚い
あいつふ	分厚い
あいつり	釣り合い
あいてむ	アイテム
あいてめ	メディア
あいてら	手洗い:手荒い
あいてん	安定:提案
あいとふ	ファイト
あいとり	取り合い
あいとる	アイドル
あいとん	インドア
あいなふ	危ない
あいなれ	なれ合い
あいなわ	合わない［もうけに〜］
あいなん	案内
あいにふ	不似合い
あいにま	間に合い
あいはり	張り合い
あいはる	あるいは
あいふる	ファイル
あいふれ	触れ合い
あいめん	名案:明暗
あいりわ	割合
あいれん	恋愛
あいろん	アイロン
あううけ	請け合う
あうおり	折り合う
あうかき	気が合う
あうかつ	扱う
あうかみ	かみ合う
あうきた	抱き合う
あうきつ	付き合う
あうきひ	引き合う
あうきむ	向き合う
あうくや	危うく
あうくよ	悪用
あうけと	胴上げ
あうけり	売り上げ
あうけわ	分け合う
あうこつ	高圧
あうこん	暗号:考案
あうさゆ	朝夕（あさゆう）
あうしす	薄味
あうした	出し合う
あうしら	あしらう
あうしり	知り合う
あうしわ	味わう
あうせめ	攻め合う
あうせり	競り合う
あうそら	争う
あうたち	立ち合う
あうたー	アウター
あうつと	圧倒
あうつり	釣り合う
あうとま	甘党
あうとり	取り合う
あうとん	答案
あうなめ	穴埋め
あうにま	間に合う
あうはり	張り合う
あうふる	ファウル
あうふれ	触れ合う
あうみも	もみ合う
あえこん	エアコン:エアコン［エアコンディショナー］
あえしま	前足
あえたる	与える
あえとり	アトリエ
あえはへ	ｐＨ（ペーハー）
あえまる	甘える
あおおめ	大雨（おおあめ）
あおおれ	大荒れ
あおきさ	朝起き
あおけす	お預け
あおけて	お手上げ
あおけむ	あお向け
あおしし	塩味
あおしそ	青じそ
あおしと	後押し:足音
あおしる	青汁
あおそら	青空
あかきら	がらあき（空・明）:がら空き:明らか
あかきる	気がある
あかきん	空き缶
あかけし	駆け足
あかけた	明け方
あかけら	空揚げ
あかこれ	あこがれ
あかさた	朝型:朝方
あかさは	浅はか
あかさま	雨傘
あかさや	鮮やか
あかさる	明るさ
あかさん	母さん
あかしり	仕上がり
あかしる	仕上がる
あかすり	預かり
あかする	預かる
あかせめ	雨風（あめかぜ）
あかたた	あたたか（暖・温）:暖か:温か
あかたの	あの方
あかたも	あたかも
あかたら	あらかた
あかたり	在り方
あかちな	あながち
あかちり	ありがち
あかつり	暑がり
あかつる	暑がる
あかつん	圧巻
あかとほ	アボカド
あかとま	後がま
あかねり	値上がり
あかふり	アフリカ
あかまら	甘辛
あかみる	明るみ
あかめり	アメリカ
あかゆり	湯上がり
あきくぬ	あく抜き
あきけひ	引き上げ
あきけり	切り上げ
あきこは	空き箱
あきさて	あて先
あきさと	後先（あとさき）
あきしり	ギリシア
あきすと	傷跡
あきそら	秋空
あきたれ	あきれた
あきつや	厚焼き
あきつり	厚切り
あきとる	ある時
あきひん	空き瓶
あきみる	見飽きる
あきめら	あきらめ
あきやり	キャリア
あきるれ	あきれる
あくくや	悪役
あくけま	幕開け
あくけり	繰り上げ
あくけん	険悪
あくさよ	翌朝（よくあさ）
あくしつ	悪質
あくしひ	足首
あくしゆ	握手
あくせた	汗だく
あくせる	アクセル
あくせん	善悪
あくたつ	アタック
あくちま	甘口
あくつは	圧迫
あくつよ	抑圧
あくてま	あくまで
あくてる	出歩く
あくなふ	危なく
あくなろ	アナログ
あくにん	悪人
あくまも	雨雲
あくもん	暗黙
あくるん	アングル
あけけさ	上げ下げ
あけこそ	上げ底:底上げ
あけさつ	浅漬け
あけさま	甘酒
あけしつ	味付け
あけしと	年明け
あけしめ	開け閉め
あけしや	怪しげ
あけしる	仕上げる
あけする	預ける
あけたち	立ち上げ
あけたな	棚上げ
あけたみ	見上げた
あけたれ	あれだけ
あけちん	賃上げ
あけつつ	血圧
あけつみ	積み上げ
あけつゆ	梅雨明け
あけてに	当て逃げ
あけてる	…てあげる
あけとり	取り上げ
あけなぬ	抜け穴
あけなふ	危なげ
あけのも	揚げ物
あけみる	見上げる
あけりわ	訳あり
あけんん	原案:案件
あこしし	足腰
あこちち	あちこち
あことの	この後（あと）
あこれれ	あれこれ
あさつて	あさって
あさつり	あっさり
あさはん	ばあさん:朝晩
あさまり	ありさま
あさるわ	合わさる
あさんん	暗算
あししよ	よしあし
あしせわ	幸せ:幸せ・仕合わせ
あしそみ	みそ味
あしたと	後出し［じゃんけん］
あしたむ	無駄足
あしたー	シアター
あしちも	持ち味
あしとも	足もと
あしとり	足どり
あしとる	ある年
あしなみ	足並み
あしなる	あるなし
あしねや	じゃあね
あしふみ	足踏み
あしむや	怪しむ
あしゆる	ある種［〜の］
あしりる	シリアル
あしるん	案じる
あしれん	アレンジ
あしんん	安心
あすせみ	汗水
あすそは	遊ばす
あすとれ	アドレス
あすまみ	雨水（あまみず）
あすらわ	現す:表（あらわ）す
あするん	案ずる
あせてわ	併せて
あせはむ	汗ばむ
あせひや	冷や汗
あせみわ	見合わせ
あせるわ	会わせる:合わせる
あせんん	安全
あそはひ	遊び場
あそひよ	夜遊び
あそふー	ソファー
あそまら	雨空
あたたふ	あたふた
あたつに	似合った
あたつみ	見合った
あたつわ	泡立つ
あたてわ	泡立て
あたはり	場当たり
あたはれ	肌荒れ
あたひり	日当たり
あたふー	アフター
あたまめ	あめ玉
あたみる	見当たる
あためら	改め
あちまや	過ち
あつてん	電圧
あつとめ	つめあと
あつはれ	あっぱれ
あつはん	発案
あつふる	アップル
あつまり	集まり
あつまる	集まる
あつめる	集める
あつやる	操る
あつりん	立案
あてなん	アンテナ
あてりわ	割り当て
あてるわ	慌てる
あとのひ	あの人
あとはー	アパート
あとひる	ある人
あとふり	アドリブ
あとほれ	あれほど
あなにん	あんなに
あにへる	ヘルニア
あにまり	あまりに
あにまる	アニマル
あのへん	あの辺
あはむる	アルバム
あはるれ	暴れる
あはんん	あんパン
あひるー	アピール
あふみら	脂身:脂身［調理用］
あふめり	雨降り
あふやや	あやふや
あふるれ	あふれる
あまもり	雨漏り
あまやり	誤り
あまやる	誤る:謝る
あまりん	あんまり
あみんん	安眠
あむらー	アラーム
あもゆー	ユーモア
あゆらる	あらゆる
あられわ	現れ
いいええ	いえいえ
いいえか	言い換え
いいえけ	経営
いいえす	水泳
いいえせ	精鋭:衛星:衛生
いいおお	おいおい
いいおき	勢い
いいおし	おいしい
いいおわ	お祝い
いいかか	海外:開会
いいかき	生きがい
いいかく	買い食い
いいかけ	会計:警戒:軽快
いいかさ	再会:再開:最下位:災害:財界:開催
いいかす	水害:海水
いいかせ	快晴:改正:正解
いいかた	大会:大概:言い方:退会
いいかつ	一回
いいかて	改定:改訂:海底
いいかな	いい仲:内外:内科医
いいかは	徘徊
いいかへ	閉会:開閉
いいかま	毎回
いいかめ	明解:解明
いいかれ	例外
いいかわ	かわいい
いいかん	会員
いいきき	生き生き
いいきす	言い過ぎ
いいきる	言い切る
いいきろ	黄色い
いいくし	食い意地
いいくせ	育成
いいくた	体育
いいけさ	掲載:経済
いいけせ	形勢:形成:成形:整形
いいけた	体型［体格の型］:体形:形態:携帯
いいけて	定型:定形:提携
いいけな	いけない
いいけは	拝啓:背景
いいける	累計
いいけわ	言い分け:言い訳
いいこし	恋しい
いいさせ	再生
いいさた	最大:滞在
いいさち	小さい
いいさつ	一切
いいさて	体裁（ていさい）:最低
いいさは	栽培:采配
いいさめ	明細
いいさら	再来
いいさわ	幸い
いいしと	いい年
いいすす	すいすい
いいすせ	水性
いいすた	衰退:言い出す
いいすて	いいです:推定:泥酔
いいすは	排水
いいすへ	水平
いいせせ	せいぜい
いいせた	体制:体勢:態勢:整体:正体:生態:盛大:耐性
いいせつ	一斉
いいせて	訂正
いいせへ	平成:平静
いいせめ	姓名:生命
いいせれ	冷静
いいたた	だいだい:代替（だいたい）:大体
いいたち	第一
いいたつ	一体
いいたて	停滞:大抵
いいたな	体内
いいたは	大敗:媒体:敗退
いいため	題名
いいたれ	例題
いいたん	引退:退院
いいちち	いちいち
いいちて	定位置
いいちは	一倍
いいちま	今一（いまいち）
いいちれ	一例
いいちん	一員:一因
いいつつ	ついつい
いいつて	一定
いいつは	一杯
いいつゆ	唯一（ゆいいつ）
いいてね	丁寧
いいてめ	低迷
いいても	…てもいい
いいてれ	定例
いいてん	定員
いいとひ	いい人
いいなり	言いなり
いいはは	バイバイ:売買（ばいばい）
いいはる	言い張る
いいはろ	灰色
いいふん	言い分
いいほほ	ぽいぽい［〜捨てる］
いいめれ	命令
いいやや	いやいや:いやいや［〜ながら］
いいよよ	いよいよ
いいよる	言い寄る
いいらら	いらいら
いいろろ	いろいろ
いいわわ	わいわい
いううこ	こういう
いううそ	そういう
いうえこ	光栄:栄光
いうえそ	映像
いうえほ	防衛
いうえよ	栄養
いうえん	運営
いうおけ	請負（うけおい）
いうおた	対応:応対
いうおち	一応
いうおへ	欧米
いうおる	潤い
いうおん	押印
いうかか	伺い
いうかこ	公開:口外:外交:後悔:豪快:郊外
いうかす	回数
いうかそ	回想:改造:海草（かいそう）:海藻:爽快:総会
いうかた	疑い
いうかつ	開通
いうかと	回答:外灯:東海:街灯:街道:解凍:解答:該当
いうかふ	開封
いうかほ	介抱:崩壊:解放:開放
いうかゆ	有害
いうかよ	概要
いうかり	売り買い
いうきこ	広域
いうきゆ	有意義
いうきよ	偉業:脅威:驚異
いうくた	待遇
いうくよ	養育
いうけこ	傾向:光景:合計:工芸:後継:蛍光
いうけそ	総計:軽装:送迎
いうけと	系統:統計
いうけふ	風景
いうけほ	警報
いうけれ	受け入れ
いうこさ	交際:再考:最高
いうこす	洪水:遂行:香水
いうこせ	公正:厚生:合成:後世（こうせい）:成功:更生:構成:精巧
いうこた	交代:交代・交替:交替:代行:対抗:広大:後退:抗体
いうこつ	一行
いうこて	工程:抵抗:校庭:肯定:行程
いうこな	口内
いうこは	後輩:購買:配合
いうこへ	並行:公平:平行
いうこれ	号令:恒例:高齢
いうこん	強引
いうさそ	相殺（そうさい）
いうさと	搭載:東西
いうさの	才能
いうさほ	細胞:防災
いうさゆ	有罪
いうさよ	採用
いうさる	うるさい
いうしゆ	周囲:異臭:移住
いうしよ	上位:以上:異常:衣装
いうしれ	うれしい
いうすそ	水槽
いうすと	水道
いうすほ	防水
いうすま	枚数
いうすよ	水曜
いうする	ウイルス［ビールス］
いうせそ	増税:正装:清掃:製造
いうせと	同姓:同性:正当:正統
いうせの	性能:納税
いうせほ	製法
いうせゆ	優勢
いうせよ	西洋:要請:陽性
いうせん	運勢
いうそた	体操:増大:早退
いうそつ	一層:一掃
いうそて	想定
いうそな	内臓:内蔵:内装
いうそは	配送
いうそめ	迷走
いうそや	嫌そう
いうそれ	冷蔵
いうそん	増員
いうたと	対等
いうたの	滞納
いうたふ	台風
いうたほ	包帯:待望:膨大
いうたゆ	優待
いうたよ	代用:太陽:容体（ようたい）:容体（ようだい）:容態（ようたい）:容態（ようだい）
いうちと	一同
いうちゆ	注意
いうちよ	いちょう:一様:胃腸
いうつと	一等:同一（どういつ）:統一
いうつほ	一報:一方:追放
いうつれ	通例
いうつん	通院
いうてと	到底
いうとと	というと:尊（とうと）い
いうとは	配当
いうとめ	同名:透明
いうとも	妹
いうとら	到来
いうとる	同類
いうとれ	冷凍
いうとん	動員
いうなよ	内容
いうなら	占い
いうはゆ	俳優
いうふよ	不用意
いうふれ	冷風
いうへほ	平方
いうへよ	併用
いうほれ	冷房:法令
いうほん	暴飲
いうめゆ	有名
いうめん	運命
いうゆれ	幽霊
いうより	入り用:医療:衣料
いうよん	引用:要因:飲用
いええん	永遠
いえかか	映画化
いえかれ	入れ替え
いえかん	開演
いえきた	液体
いえきめ	駅名
いえきん	駅員
いえくこ	英国
いえくや	英訳
いえけん	円形:園芸
いえさつ	撮影
いえせひ	いせえび
いえせん	声援
いえたん	延滞
いえちも	持ち家
いえちん	一円
いえとは	とはいえ:と言えば
いえとも	いえども
いえはん	反映:繁栄
いえひむ	Ｐ．Ｍ．
いえふん	英文
いおおき	大きい:大きい［〜兄］
いおおく	大食い
いおおせ	大勢（おおぜい）
いおおに	大いに
いおかき	買い置き
いおかく	屋外:買い置く
いおかし	おかしい
いおかせ	追い風
いおかた	お互い
いおかろ	顔色（かおいろ）
いおきた	追い炊き
いおきな	補い
いおきぬ	追い抜き
いおきん	音域
いおくつ	追いつく
いおくと	お得意
いおくな	屋内
いおくぬ	追い抜く
いおけん	恩恵
いおこす	追い越す
いおこな	行い
いおこみ	追い込み
いおこむ	追い込む
いおさな	幼い
いおさら	おさらい
いおした	追い出し
いおしち	一押し:一押し・一推し:一推し
いおしま	おしまい
いおしれ	押し入れ
いおすた	追い出す
いおすふ	オフィス
いおすん	水温:温水
いおせほ	お歳暮
いおせん	音声
いおそよ	装い
いおそろ	おそろい［〜で・〜の］:おそろい［〜の着物］
いおたち	生い立ち
いおたも	重たい
いおたん	体温
いおても	思い出
いおてん	低温:低音:音程
いおとと	おととい
いおへん	平穏
いおまり	お参り
いおらわ	お笑い
いおらー	オーライ
いかかく	改革
いかかた	買い方
いかかち	地下街
いかかふ	不可解
いかかん	会館:外観:快感:感慨:海岸（かいがん）:眼科医:開館
いかきけ	行（い）きかけ
いかきし	市議会:石垣
いかきせ	会席:解析
いかきた	生き方:行（い）き方
いかきつ	気遣い
いかきて	快適
いかきと	買い時
いかきな	利かない:気がない:長生き
いかきへ	外壁
いかきん	解禁
いかくけ	計画
いかくこ	国外:外国
いかくし	四角い
いかくせ	学生:性格:正確:税額:覚醒
いかくそ	快速
いかくた	体格:具体化:大学:快諾:拡大
いかくて	低額:定額:確定
いかくと	解読:買い得
いかくな	内閣
いかくふ	回復
いかくま	開幕
いかくめ	明確:革命
いかくや	解約
いかくら	いくらか:快楽
いかくわ	枠外
いかくん	学院
いかけこ	過去形
いかけつ	解決
いかけほ	家計簿
いかけん	会見:圏外:外見:景観:歓迎:見解:警官:関係:限界
いかこし	賢い
いかこつ	国会:小遣い
いかこて	固定化
いかこね	飼い猫
いかこま	細かい
いかこむ	買い込む
いかこん	今回
いかさつ	改札
いかさま	いかさま
いかさめ	境目
いかさや	居酒屋
いかさわ	かわいさ
いかさん	完済:概算:残骸:解散:関西
いかしせ	世界史:政治家:自家製:静止画
いかした	買い出し
いかしち	市街地
いかしつ	いつしか:室外
いかしと	度外視
いかしな	悲しい
いかしに	二次会
いかしぬ	買い主:飼い主
いかしは	支配下
いかしみ	短い
いかしめ	買い占め
いかしや	会社:外車:社会:社外
いかしよ	初回:解除:除外
いかしん	侵害:外人:心外:改心
いかする	害する［感情を〜］
いかすれ	いずれか
いかせつ	生活:解説
いかせひ	非課税
いかせん	全開:前回:回線:完成:感性:改善:歓声
いかそわ	川沿い
いかそん	損害
いかたた	たたかい（戦・闘）:戦い:闘い
いかたつ	合体
いかたて	手堅い
いかため	買いだめ
いかたる	痛がる
いかたん	会談:体感:大寒:寛大:怪談:段階:階段
いかちつ	一月
いかちて	手違い
いかちは	場違い
いかちま	間違い
いかちん	一丸
いかつつ	一括
いかつて	でっかい:使いで:撤回
いかつと	読解
いかつは	開発
いかつめ	壊滅
いかつや	厄介
いかつん	一貫
いかてん	回転:展開:鑑定:開店
いかとり	理解度:買い取り
いかとる	買い取る
いかなは	はかない
いかなめ	目がない:長い目［〜で見る］
いかなる	いかなる
いかなん	難解
いかにも	いかにも
いかねん	概念
いかのみ	飲み会
いかのも	買い物
いかはん	乾杯:完売:完敗:番外
いかひる	ビル街
いかふゆ	不愉快
いかふり	深入り
いかふん	分解:異文化
いかへん	弁解
いかまん	満開
いかまー	マイカー
いかめよ	目がよい
いかめら	銘柄
いかめん	外面:感銘
いかやり	やりがい
いかやる	嫌がる
いかよわ	か弱い
いからろ	色柄
いからん	回覧:来館
いかるれ	いかれる
いかれん	慣例
いかろん	論外
いかわん	違和感
いかんん	印鑑
いききさ	行（い）き先
いききす	行（い）き過ぎ
いききぬ	息抜き
いききる	聞き入る
いききれ	息切れ
いきくさ	行（い）く先
いきくす	食い過ぎ
いきけし	型式（けいしき）:形式（けいしき）
いきけせ	形跡
いきけつ	行（い）きつけ
いきけふ	不景気:不景気［〜な顔］
いきけれ	激励:経歴
いきこみ	意気込み
いきこむ	意気込む
いきこれ	小ぎれい
いきさし	色彩
いきさせ	在籍
いきさつ	いきさつ
いきさて	最適
いきさん	最近:細菌
いきしし	自意識
いきしせ	正式
いきしつ	一式（いっしき）
いきしひ	厳しい:厳しい［〜残暑］:美意識
いきしむ	無意識
いきすた	大好き
いきすて	水滴
いきすま	気まずい
いきすり	イギリス
いきせせ	成績
いきせた	退席
いきせつ	追跡
いきせて	性的:適性:適正
いきせぬ	税抜き
いきせの	気のせい
いきせひ	税引き
いきせよ	制御:逝去
いきせる	累積
いきせれ	西暦
いきせん	全域:税金
いきそつ	付き添い
いきたた	頂き
いきたて	敵対
いきたな	汚い:汚い［〜手段］
いきたほ	大規模
いきため	ため息
いきたよ	巨体:巨大
いきたん	代金:近代:退勤
いきちん	いんちき
いきつと	どぎつい:一時（いっとき）
いきつに	一気に
いきつま	毎月（まいつき）
いきつよ	一挙
いきつん	均一
いきてと	意図的
いきてな	できない
いきてふ	不定期
いきてれ	適齢
いきとひ	一息
いきとま	今時
いきとわ	際どい
いきなま	生意気
いきなり	いきなり
いきにる	気に入る
いきにわ	にぎわい
いきのも	生き物
いきはん	ばい菌
いきひめ	ひいき目
いきひる	率いる
いきふん	雰囲気
いきへん	平均
いきむめ	無記名
いきもや	焼き芋
いきやろ	焼き色
いきよる	魚類
いきろん	金色（きんいろ）:銀色（ぎんいろ）
いくくつ	食い付く
いくけこ	警告
いくけそ	継続:計測
いくけに	鶏肉
いくけや	契約
いくこさ	国際:小細工
いくこて	定刻
いくこな	国内
いくこへ	米国
いくこみ	食い込み
いくこむ	食い込む
いくこめ	国名
いくさせ	作成:作製:制作:政策:製作
いくさそ	催促
いくさた	在宅:対策
いくさは	白菜
いくさふ	不細工
いくさむ	無作為
いくさめ	名作
いくさも	モザイク:木材:材木
いくさる	サイクル
いくさん	索引
いくしほ	保育士
いくしむ	虫食い
いくしや	悔しい
いくしよ	移植:衣食
いくしる	苦しい
いくしわ	詳しい
いくすそ	推測
いくすて	ディスク
いくすな	少ない
いくすま	今すぐ
いくすり	胃薬
いくすん	スイング
いくせそ	属性
いくせた	贅沢
いくせと	特性:特製
いくせに	肉声
いくせふ	制服:複製
いくせや	製薬:誓約
いくせよ	性欲:抑制
いくせわ	惑星
いくそて	低速:測定
いくそは	配属
いくたた	頂く
いくたつ	退屈
いくたと	特大
いくたに	肉体
いくたは	宅配:莫大
いくたふ	大福
いくたり	大陸
いくちと	一読:糸口
いくちり	入（い）り口
いくちん	一軍
いくつな	償い
いくつは	一泊:発育
いくつふ	一服
いくつろ	色付く
いくてと	特定
いくては	ハイテク
いくとは	特売
いくとふ	不得意
いくとめ	匿名
いくとれ	特例
いくなふ	内服
いくなよ	よくない
いくなわ	枠内
いくにみ	見にくい
いくにる	肉類
いくのみ	飲み食い
いくのも	食い物
いくはほ	敗北
いくはま	白米
いくはめ	明白
いくはや	早食い
いくふろ	胃袋
いくへほ	北米
いくみれ	組み入れ
いくむる	報いる
いくめわ	迷惑
いくめん	面食い
いくやん	役員
いくより	威力
いくらら	落雷
いけけん	原型:原形:経験:軽減
いけさつ	採血:歳月:決済:警察
いけさん	健在:再現:現在:計算:財源
いけした	しいたけ
いけしは	激しい
いけしや	傾斜
いけしる	いじける
いけしわ	険しい
いけしん	消印:神経
いけせつ	清潔:設計
いけせん	制限:減税:罫線
いけそつ	軽率
いけそん	尊敬
いけたつ	対決
いけたむ	煙たい
いけため	ため池
いけたる	けだるい
いけたん	体験:現代
いけちつ	位置付け
いけつて	決定:決定［法］
いけつま	毎月（まいげつ）
いけつら	来月
いけつれ	系列
いけつん	一件:一見（いっけん）:欠員
いけてん	低減:典型:提言:検定:限定
いけなん	圏内
いけにん	芸人
いけはん	半径:拝見
いけひん	景品
いけふり	経理部
いけふん	文系
いけへん	変形
いけめん	名言:懸命:明言:賢明
いけれん	連携
いけろわ	色分け
いけんん	原因
いここち	居心地
いこささ	いざこざ
いこさの	この際
いこさん	混在
いこしつ	しつこい
いこすみ	吸い込み
いこすむ	吸い込む
いこする	恋する
いこせみ	税込み
いこたな	こないだ
いこたみ	醍醐味（だいごみ）
いこたん	大根
いこつろ	いつごろ
いこてれ	てこ入れ
いこてわ	手ごわい
いことひ	恋人
いこのり	居残り
いこのる	居残る
いこはよ	横ばい
いこまろ	今ごろ
いこむれ	入れ込む
いこるー	イコール
いささん	再三:採算:散財:財産
いさしつ	実在:実際:材質:祭日
いさしひ	久しい:寂しい
いさしや	優しい:優しい［〜曲線］:易しい:謝罪
いさしゆ	主催:主菜:取材
いさしよ	所在:最初
いさしれ	差し入れ
いさしん	じいさん:人材:人災:再診:最新:細心:震災
いさすつ	推察
いさせん	最善:洗剤:清算:潜在:生産:精算:繊細:賛成:酸性
いさそん	存在
いさたん	最短:退散
いさたー	サイダー
いさちな	小さな
いさちひ	被災地
いさつは	再発
いさつま	歳末
いさつん	印刷
いさてん	デザイン:天才:天災:採点:暫定
いさなん	災難
いさにん	兄さん
いさはん	万歳:三倍:犯罪:裁判
いさふん	分際
いさへん	再編:返済
いさまら	今更
いさまん	三昧:三枚:満載:漫才
いさめん	名産
いされん	サイレン:連載
いさわわ	災い
いしした	親しい
いししゆ	主治医
いしすす	涼しい
いしすま	貧しい
いしする	維持する
いしすん	推進:水深:浸水
いしせつ	性質:誠実
いしせゆ	清酒
いしせよ	女性（じょせい）
いしせん	人生:成人:申請:精神
いしたた	大した:正しい
いしたち	自治体
いしたつ	体質:実体:実態:退室
いしたて	大して
いしたと	大都市
いしたな	台なし
いしたに	次第に
いしたの	楽しい
いしたま	魂（たましい）
いしたや	代謝:退社
いしたゆ	主体:主題
いしたよ	初代:対処:所帯:書体:退所
いしたれ	出し入れ
いしたん	人体:対人:甚大:耐震:身体:進退
いしちに	一時（いちじ）に
いしつな	室内
いしつは	失敗
いしつへ	平日
いしつめ	実名
いしつゆ	一種:一種［〜の］:一種［〜独特の］
いしつよ	一緒
いしつれ	失礼:実例
いしつん	追伸:陰湿
いしてや	停車
