１文字	2gram出現回数	2gram出現確率	3gram出現回数	3gram出現確率	3gram -logP
ん	43	0.034959349593	378	0.061403508772	2.790288299339
い	44	0.035772357724	377	0.061241065627	2.792937307511
か	45	0.036585365854	252	0.040935672515	3.195753407447
う	32	0.026016260163	237	0.038499025341	3.257122353824
し	37	0.030081300813	237	0.038499025341	3.257122353824
き	47	0.038211382114	211	0.034275503574	3.373324361483
く	33	0.026829268293	203	0.032975958415	3.411976515917
り	28	0.022764227642	167	0.027128005198	3.607188682542
つ	35	0.028455284553	149	0.024204028590	3.721236189013
こ	31	0.025203252033	147	0.023879142300	3.734749908180
み	27	0.021951219512	145	0.023554256010	3.748448752538
と	21	0.017073170732	132	0.021442495127	3.842380572372
さ	22	0.017886178862	124	0.020142949968	3.904900929354
た	25	0.020325203252	117	0.019005847953	3.963008560161
お	19	0.015447154472	116	0.018843404808	3.971592303852
ま	31	0.025203252033	114	0.018518518519	3.988984046564
あ	29	0.023577235772	109	0.017706302794	4.033834612730
ち	30	0.024390243902	109	0.017706302794	4.033834612730
ふ	24	0.019512195122	103	0.016731643925	4.090453506729
す	22	0.017886178862	100	0.016244314490	4.120012308971
ら	19	0.015447154472	97	0.015756985055	4.150471516455
め	22	0.017886178862	95	0.015432098765	4.171305603358
ひ	15	0.012195121951	92	0.014944769331	4.203393917910
て	10	0.008130081301	91	0.014782326186	4.214322988442
け	17	0.013821138211	88	0.014294996751	4.247845680481
じ	22	0.017886178862	87	0.014132553606	4.259274376304
せ	12	0.009756097561	87	0.014132553606	4.259274376304
な	21	0.017073170732	86	0.013970110461	4.270835198705
は	26	0.021138211382	82	0.013320337882	4.318463247695
よ	15	0.012195121951	78	0.012670565302	4.368473668269
れ	22	0.017886178862	76	0.012345679012	4.394449154672
が	12	0.009756097561	71	0.011533463288	4.462502617917
や	15	0.012195121951	70	0.011371020143	4.476687252909
わ	17	0.013821138211	70	0.011371020143	4.476687252909
え	20	0.016260162602	69	0.011208576998	4.491075990362
そ	20	0.016260162602	69	0.011208576998	4.491075990362
ど	14	0.011382113821	66	0.010721247563	4.535527752932
ね	16	0.013008130081	64	0.010396361274	4.566299411599
る	15	0.012195121951	64	0.010396361274	4.566299411599
っ	0	0.000000000000	63	0.010233918129	4.582047768567
も	19	0.015447154472	61	0.009909031839	4.614308630785
ー	3	0.002439024390	60	0.009746588694	4.630837932737
む	18	0.014634146341	58	0.009421702404	4.664739484412
ろ	13	0.010569105691	58	0.009421702404	4.664739484412
ご	13	0.010569105691	56	0.009096816114	4.699830804224
だ	9	0.007317073171	56	0.009096816114	4.699830804224
に	15	0.012195121951	56	0.009096816114	4.699830804224
ほ	11	0.008943089431	56	0.009096816114	4.699830804224
ば	13	0.010569105691	54	0.008771929825	4.736198448394
の	10	0.008130081301	53	0.008609486680	4.754890581407
ぶ	10	0.008130081301	50	0.008122157245	4.813159489531
ぎ	13	0.010569105691	48	0.007797270955	4.853981484051
び	18	0.014634146341	42	0.006822612086	4.987512876675
ゆ	15	0.012195121951	42	0.006822612086	4.987512876675
ぐ	5	0.004065040650	28	0.004548408057	5.392977984784
ず	9	0.007317073171	28	0.004548408057	5.392977984784
で	6	0.004878048780	26	0.004223521767	5.467085956937
ぼ	9	0.007317073171	26	0.004223521767	5.467085956937
げ	14	0.011382113821	24	0.003898635478	5.547128664611
ざ	7	0.005691056911	21	0.003411306043	5.680660057235
ょ	2	0.001626016260	21	0.003411306043	5.680660057235
べ	8	0.006504065041	18	0.002923976608	5.834810737063
へ	8	0.006504065041	16	0.002599090318	5.952593772719
ゅ	1	0.000813008130	16	0.002599090318	5.952593772719
ぞ	4	0.003252032520	14	0.002274204029	6.086125165344
ゃ	2	0.001626016260	14	0.002274204029	6.086125165344
ぜ	5	0.004065040650	11	0.001786874594	6.327287222160
ぱ	2	0.001626016260	11	0.001786874594	6.327287222160
ぬ	7	0.005691056911	9	0.001461988304	6.527957917623
ぴ	2	0.001626016260	7	0.001137102014	6.779272345903
ぷ	1	0.000813008130	7	0.001137102014	6.779272345903
ぽ	0	0.000000000000	6	0.000974658869	6.933423025731
づ	0	0.000000000000	5	0.000812215724	7.115744582525
ぢ	0	0.000000000000	4	0.000649772580	7.338888133839
ぺ	3	0.002439024390	2	0.000324886290	8.032035314399
