１文字	待ち候補文字の数	待ち候補文字	成立する２文字集合	成立する２文字単語
ぷ	1	ろ	ぷろ	プロ
ゅ	1	し	しゅ	種（しゅ）:酒（しゅ）
ぱ	2	す ん	すぱ ぱん	パス パン
ぴ	2	き ん	きぴ ぴん	匹（ぴき） ピン
ゃ	2	し ち	しゃ ちゃ	社（しゃ） 茶
ょ	2	し ち	しょ ちょ	暑:書（しょ）:署 著
ぺ	3	あ い ん	あぺ いぺ ぺん	ペア ペイ ペン
ー	3	か き の	かー きー のー	カー キー ノー
ぞ	4	う く な み	うぞ くぞ ぞな ぞみ	像:増（ぞう）:象 族（ぞく） なぞ 溝
ぐ	5	か き た ち ん	かぐ きぐ ぐた ぐち ぐん	家具 危惧:器具 タグ 愚痴 郡（ぐん）
ぜ	5	い か ひ ろ ん	いぜ かぜ ぜひ ぜろ ぜん	税 風邪（かぜ）:風（かぜ） 是非 ゼロ 前（ぜん）
で	6	う き す そ ふ ま	うで きで すで そで でふ でま	腕 出来（でき） 素手 そで 筆（ふで） デマ
ざ	7	あ い こ ひ る わ ん	あざ いざ こざ ざひ ざる ざわ ざん	あざ:字（あざ） 材:罪（ざい）:財 雑魚（ざこ） ひざ ざる 技（わざ） 残
ぬ	7	い き け し の ま り	いぬ きぬ けぬ しぬ ぬの ぬま ぬり	犬 抜き:絹 抜け 主（ぬし） 布 沼 塗り
へ	8	あ い そ た び や り ん	あへ いへ そへ たへ びへ へや へり へん	ヘア 塀（へい） へそ 下手（へた） へび 部屋 ヘリ 編:編・篇:辺（へん）
べ	8	か き す つ な の る ん	かべ きべ すべ つべ なべ のべ べる べん	壁（かべ） べき すべ 別 なべ 延べ ベル 便:弁
ず	9	か き く ち は み ゆ る れ	かず きず くず ずち ずは ずみ ずゆ ずる ずれ	数（かず） 傷（きず） くず:くず（屑）:屑（くず） 地図 はず みず:水（みず） ゆず ずる ずれ
だ	9	い え し た は む め れ ん	いだ えだ しだ ただ だは だむ だめ だれ だん	代（だい）:台（だい）:大（だい）:題 枝 だし ただ:ただ［〜の人］ 肌（はだ） 無駄 駄目 だれ 暖:段
ぼ	9	う き く け す そ つ ふ ん	うぼ きぼ くぼ けぼ すぼ そぼ つぼ ふぼ ぼん	棒 規模 僕（ぼく） ぼけ ボス 祖母 つぼ 父母（ふぼ） 盆
て	10	あ か き ご た つ ま ら れ ん	あて かて きて ごて たて つて てま てら てれ てん	当て 糧 敵（てき）:滴（てき） 後手 立て:縦 つて:鉄 手間 寺（てら） 照れ 天（てん）:点
の	10	う ち ど ぬ び べ み も り ー	うの ちの どの ぬの のび のべ のみ のも のり のー	脳 後（のち） のど 布 のび（伸・延）:伸び 延べ のみ:飲み 物（もの）:者（もの） のり:乗り ノー
ぶ	10	い か き こ さ た つ ら り ん	いぶ かぶ きぶ こぶ さぶ たぶ つぶ ぶら ぶり ぶん	イブ:部位 かぶ:株:部下 武器 昆布（こぶ） サブ 豚（ぶた） 物（ぶつ）:粒（つぶ） ラブ ぶり 分（ぶん）:分（ぶん）［五〜の一］:文（ぶん）
ほ	11	う か く ご さ し と ど ね ら ん	うほ かほ くほ ごほ さほ しほ とほ どほ ねほ ほら ほん	方（ほう）:法（ほう） 外（ほか） 北（ほく） 保護 補佐 干し:星（ほし） 徒歩 程（ほど） 骨（ほね） ほら［〜吹き］ 本（ほん）
が	12	い か き く け す そ む め ら わ ん	いが かが がき がく がけ がす がそ がむ がめ がら がわ がん	外（がい）:害:街（がい） 画家 飢餓 学:額（がく） けが ガス 画素 ガム メガ 柄（がら） 側（がわ） ガン:癌:眼（がん）
せ	12	あ い き く つ に み め や る わ ん	あせ いせ きせ くせ せつ せに せみ せめ せや せる せわ せん	汗 制:姓:性（せい）:正（せい）:生（せい）:背（せい）［〜が高い］:製:静 せき:席 癖（くせ） 説 偽（にせ） せみ:店（みせ） 攻め:責め やせ セル 世話 千:戦:栓:線
ぎ	13	い か く さ す つ ね ふ み む も り ん	いぎ かぎ ぎく ぎさ ぎす ぎつ ぎね ぎふ ぎみ ぎむ ぎも ぎり ぎん	意義:異議 かぎ（鍵）:鍵（かぎ） くぎ 詐欺 杉 次（つぎ） ねぎ 義父 右（みぎ） 義務:麦 模擬 義理 銀（ぎん）
ご	13	あ い う え か さ し て ほ ま み む ろ	あご いご うご えご かご ごさ ごし ごて ごほ ごま ごみ ごむ ごろ	あご 以後 号 エゴ かご 誤差 死後:私語 後手 保護 ごま:孫 ごみ ゴム ごろ:ロゴ
ば	13	い お か さ し す そ た つ ね は ら ん	いば おば かば さば しば すば そば たば つば ねば はば ばら ばん	倍:杯（ばい） 伯母・叔母（おば）:伯母（おば）:叔母（おば） ばか さば 芝 バス そば 束（たば） ばつ［×］:罰（ばつ） ばね 幅 ばら 晩:番
ろ	13	い う き く ご し じ す ぜ そ ど ふ ぷ	いろ うろ きろ くろ ごろ しろ じろ すろ ぜろ そろ どろ ふろ ぷろ	色（いろ） 労 キロ:帰路 くろ:六（ろく）:黒（くろ） ごろ:ロゴ 白（しろ） 路地 ロス ゼロ ソロ 泥 ふろ プロ
げ	14	あ い か こ さ つ な に は ひ ま ゆ り ん	あげ いげ かげ げこ げさ げつ げな げに げは げひ げま げゆ げり げん	上げ:揚げ 芸 外科:影:陰（かげ） 焦げ 下げ 月（げつ） 投げ 逃げ はげ ひげ 曲げ 湯気 下痢 減
ど	14	あ う か く こ つ の ほ ま め や る れ ろ	あど うど かど くど こど つど どの どほ どま どめ どや どる どれ どろ	ドア 同（どう）:胴:道（どう）:銅（どう） 角（かど）:過度 毒 どこ 都度 のど 程（ほど） 窓 めど 宿（やど） ドル どれ 泥
に	15	あ う お か く げ し じ せ た ち な ら わ ん	あに うに おに かに くに げに しに じに せに たに ちに なに にら にわ にん	兄 うに 鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］ かに 国（くに）:肉 逃げ 死に［生き〜］:西（にし） 二次:虹 偽（にせ） 谷 日（にち） 何（なに） にら 庭（にわ） 人（にん）
ひ	15	え か き げ ざ じ ぜ と び ふ ま も る れ ん	えひ かひ きひ げひ ざひ じひ ぜひ とひ ひび ひふ ひま ひも ひる ひれ ひん	冷え 可否 匹（ひき）:引き ひげ ひざ ひじ:自費 是非 ひと:人（ひと） ひび:日日（ひび） 皮膚 暇（ひま）:麻痺 ひも ひる:昼 ひれ 品（ひん）
や	15	お き く け こ し せ つ ど ね へ ま め も ゆ	おや きや くや けや こや しや せや つや どや ねや へや まや めや もや やゆ	親 焼き 役（やく）:約:訳 やけ［〜になる］ 小屋 視野 やせ つや:やつ:八つ 宿（やど） 屋根 部屋 山（やま） やめ もや 揶揄（やゆ）
ゆ	15	う え お か き げ ず ち つ び ふ ま め や れ	うゆ えゆ おゆ かゆ きゆ げゆ ずゆ ちゆ つゆ びゆ ふゆ まゆ めゆ やゆ ゆれ	優:夕:有（ゆう） 故（ゆえ） お湯 床（ゆか） ゆき:行（ゆ）き:雪（ゆき） 湯気 ゆず 治癒 梅雨（つゆ）:露（つゆ） 指 冬 まゆ 夢 揶揄（やゆ） 揺れ
よ	15	い う か き く こ し そ ち び ふ み め り る	いよ うよ かよ きよ くよ こよ しよ そよ ちよ びよ ふよ みよ めよ より よる	酔い 曜:様（よう）:用:要 余暇 予期 欲:翌 横 よし よそ 予知:余地 予備 付与 読み:読み［〜が外れる］ 嫁 より 夜（よる）
る	15	い ざ し す ず せ ど は ひ び べ ま み よ わ	いる ざる しる する ずる せる どる はる ひる びる べる まる みる よる るわ	類（るい） ざる 汁 留守 ずる セル ドル 春 ひる:昼 ビル ベル まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる） みる 夜（よる） 悪（わる）
ね	16	あ い か ぎ こ じ た つ は ば ふ ほ ま む や ん	あね いね かね ぎね こね じね たね つね ねは ねば ねふ ねほ ねま ねむ ねや ねん	姉 稲 かね:金（かね） ねぎ コネ［コネクション］:猫 ねじ ねた:種（たね） 常:熱 羽・羽根（はね）:羽（はね） ばね ふね（船・舟）:舟（ふね）:船（ふね） 骨（ほね） まね:マネ 旨（むね）:胸 屋根 年（ねん）
け	17	あ い う か が さ た ち つ ぬ ぼ ま む や り わ ん	あけ いけ うけ かけ がけ けさ けた けち けつ けぬ けぼ けま けむ けや けり けわ けん	ケア:明け 形（けい）:池:系:計（けい） 受け か（賭）け:欠け:賭（か）け けが けさ:さけ:今朝（けさ）:酒（さけ） 丈（たけ） けち 付け:欠:決 抜け ぼけ 負け 向け やけ［〜になる］ けり:けり［〜を付ける］ 分け:訳（わけ） 件:券:圏:権:県
わ	17	あ い か が き く け ざ し せ た な に り る れ ん	あわ いわ かわ がわ きわ くわ けわ ざわ しわ せわ たわ なわ にわ りわ るわ れわ わん	泡 岩（いわ） かわ（川・河）:川（かわ）:河（かわ）:皮（かわ）:革 側（がわ） わき:ワキ:際（きわ） 枠 分け:訳（わけ） 技（わざ） しわ:わし:和紙 世話 綿（わた） わな 庭（にわ） 割（わり） 悪（わる） 割れ わん（椀・碗）:碗（わん）
び	18	え お か き く こ さ た と の ひ ふ へ み ゆ よ る ん	えび おび かび きび くび こび さび たび とび のび ひび びふ びへ びみ びゆ びよ びる びん	えび 帯 かび 匹（びき） 首 こび さび 度（たび）:旅 跳び のび（伸・延）:伸び ひび:日日（ひび） 不備 へび 美味 指 予備 ビル 便（びん）:瓶（びん）
む	18	う え が き ぎ け こ ご し じ だ ち つ ね は ら り れ	うむ えむ がむ きむ ぎむ けむ こむ ごむ しむ じむ だむ ちむ つむ ねむ はむ むら むり むれ	有無（うむ） エム ガム むき［〜になる］:向き:無期 義務:麦 向け 婿 ゴム 無視:蒸し:虫（むし） ジム:事務:無地 無駄 無知 六つ 旨（むね）:胸 ハム 村（むら） 無理 群れ
も	18	い う か き ぎ く し じ ち と の ひ め も や り れ ん	いも うも かも きも ぎも くも しも じも ちも とも のも ひも めも もも もや もり もれ もん	いも:芋 毛（もう） かも:かも［〜になる］ 肝（きも） 模擬 くも:木（もく）:雲（くも） 霜 文字（もじ） もち:持ち［〜がよい］:持ち［土地〜・自分〜］ もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと） 物（もの）:者（もの） ひも メモ もも:桃 もや 森:盛（も）り 漏れ 門（もん）
お	19	あ い う か く し じ す ち と に ば び ふ や ゆ り れ ん	あお いお うお おか おく おし おじ おす おち おと おに おば おび おふ おや おゆ おり おれ おん	青 老い 王:魚（うお） 丘:顔:顔［嫌な〜をする］ 億:奥 塩（しお）:押し 伯父・叔父（おじ）:伯父（おじ）:叔父（おじ） 雄（おす） 落ち 音（おと） 鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］ 伯母・叔母（おば）:伯母（おば）:叔母（おば） 帯 オフ 親 お湯 折り おれ 恩:音（おん）
ら	19	あ う か が く さ そ た て と な に は ば ふ ぶ ほ む ん	あら うら から がら くら さら そら たら てら とら なら にら はら ばら ふら ぶら ほら むら らん	粗（あら） 裏 殻（から）:殻［〜を破る・〜に閉じこもる］:空（から） 柄（がら） くら（倉・蔵）:楽（らく） 皿（さら） 空（そら） たら 寺（てら） 寅（とら） なら にら 腹 ばら ラフ ラブ ほら［〜吹き］ 村（むら） 欄
え	20	い う か き こ ご さ す だ ち な は ひ び ま み む ゆ り ん	いえ うえ えか えき えこ えご えさ えす えだ えち えな えは えひ えび えま えみ えむ えゆ えり えん	家（いえ） 上（うえ） かえ（代・替・換）:代え:換え:替え 液:駅 声 エゴ えさ（餌）:餌（えさ） 末（すえ） 枝 知恵 苗 栄え 冷え えび 前（まえ） 笑み:見え:見得（みえ） エム 故（ゆえ） 襟 円:宴:縁（えん）
そ	20	う か が き こ す つ で と ば ふ へ ぼ み よ ら り れ ろ ん	うそ かそ がそ きそ こそ すそ そつ そで そと そば そふ そへ そぼ そみ そよ そら そり それ そろ そん	うそ:うそ［…しなければ〜だ］:層 過疎 画素 基礎 そこ:底 すそ 卒 そで 外（そと） そば 祖父 へそ 祖母 みそ よそ 空（そら） 反り それ ソロ 損:村（そん）
と	21	あ い う お き く こ さ し そ ち は ひ び ほ ま み め も ら り	あと いと うと おと きと くと こと さと しと そと ちと とは とひ とび とほ とま とみ とめ とも とら とり	後（あと）:跡 問い:意図:糸（いと）:糸（いと）［絃］ 党:当:投:棟（とう）:等（とう）:糖 音（おと） とき:時（とき） 得（とく）:徳 事（こと）:床（とこ） 里（さと） とし（年・歳）:年（とし）:歳（とし）:都市 外（そと） 土地 はと ひと:人（ひと） 跳び 徒歩 的（まと） 富 止め もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと） 寅（とら） 取り:鳥（とり）
な	21	あ い え か き げ こ し す ぞ た つ に は べ ま み ら れ わ ん	あな いな えな かな きな げな こな しな すな ぞな たな つな なに なは なべ なま なみ なら なれ なわ なん	アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］ 内（ない） 苗 中（なか）:仮名:仲 泣き 投げ 粉（こな） なし:品（しな） なす:砂（すな） なぞ 棚 ツナ:夏（なつ） 何（なに） 花（はな）:鼻 なべ 生（なま）:生（なま）［〜の声］ 並（なみ）:波:皆 なら なれ:慣れ わな 何（なん）:難
さ	22	あ い え か き ぎ く け げ こ ご じ ち つ と ば び ぶ ほ ま ら ん	あさ いさ えさ かさ きさ ぎさ くさ けさ げさ こさ ごさ さじ さち さつ さと さば さび さぶ さほ さま さら さん	朝 才:際（さい） えさ（餌）:餌（えさ） かさ:傘:坂 先（さき）:左記 詐欺 柵:策:草（くさ） けさ:さけ:今朝（けさ）:酒（さけ） 下げ 濃さ 誤差 さじ:時差 幸（さち） 冊:札（さつ） 里（さと） さば さび サブ 補佐 様（さま） 皿（さら） 三:三・参（さん）:三（さん）:産
じ	22	あ い お か き く こ さ し す た ち つ に ね は ひ ふ む も れ ろ	あじ いじ おじ かじ きじ くじ こじ さじ しじ じす じた じち じつ じに じね じは じひ じふ じむ じも じれ じろ	あじ:味（あじ） 意地:維持 伯父・叔父（おじ）:伯父（おじ）:叔父（おじ） 家事:時価:直（じか） 時期:次期:生地:記事 くじ:軸 事故:自己 さじ:時差 四時:指示:支持:私事（しじ） 筋（すじ） 自他 知事:自治 実（じつ）:日（じつ） 二次:虹 ねじ 恥 ひじ:自費 自負 ジム:事務:無地 文字（もじ） レジ:レジ［〜係］ 路地
す	22	あ い う え お が き ぎ し じ そ で な ば ぱ べ ぼ ま み め る ろ	あす いす うす えす おす がす きす ぎす しす じす すそ すで すな すば すぱ すべ すぼ すま すみ すめ する すろ	明日（あす） 椅子（いす）:水（すい） 数（すう） 末（すえ） 雄（おす） ガス キス:好き:隙（すき） 杉 すし 筋（すじ） すそ 素手 なす:砂（すな） バス パス すべ ボス ます ミス:済み:炭:隅 メス 留守 ロス
め	22	あ い う か が き こ し す せ た だ つ と ど は ま も や ゆ よ ん	あめ いめ うめ かめ がめ きめ こめ しめ すめ せめ ため だめ つめ とめ どめ はめ まめ めも めや めゆ めよ めん	あめ:雨（あめ） 名（めい）:命（めい） 梅 かめ メガ 決め 米（こめ） 締め:飯（めし） メス 攻め:責め ため 駄目 つめ:詰め 止め めど 羽目 まめ:豆 メモ やめ 夢 嫁 綿（めん）:面（めん）:麺
れ	22	あ い お か き く こ じ ず そ だ つ て ど な は ひ ふ む も ゆ わ	あれ いれ おれ かれ きれ くれ これ じれ ずれ それ だれ つれ てれ どれ なれ はれ ひれ ふれ むれ もれ ゆれ れわ	あれ:レア:荒れ 例:入れ:冷:礼 おれ 彼（かれ） 切れ 暮れ これ レジ:レジ［〜係］ ずれ それ だれ 列:連れ 照れ どれ なれ:慣れ はれ［〜が引く］:晴れ ひれ 触れ 群れ 漏れ 揺れ 割れ
ふ	24	い う お か き ぎ く じ そ た ち で ね ひ び ぼ み ゆ よ ら り れ ろ ん	いふ うふ おふ かふ きふ ぎふ くふ じふ そふ たふ ちふ でふ ねふ ひふ びふ ふぼ ふみ ふゆ ふよ ふら ふり ふれ ふろ ふん	不意 封:風（ふう） オフ 不可:付加:負荷 寄付:寄付・寄附 義父 副:服:福:複 自負 祖父 ふた:ふた（蓋）:蓋（ふた） 淵（ふち）:縁（ふち） 筆（ふで） ふね（船・舟）:舟（ふね）:船（ふね） 皮膚 不備 父母（ふぼ） ふみ（文・書） 冬 付与 ラフ 不利:振り:降り 触れ ふろ 分（ふん）
た	25	い う か き ぐ け こ し じ だ て な に ね は ば び ふ ぶ へ ま め ら わ ん	いた うた かた きた ぐた けた こた した じた ただ たて たな たに たね たは たば たび たふ たぶ たへ たま ため たら たわ たん	タイ:体（たい）:対（たい）:板（いた） 歌（うた） 型（かた）:形（かた）:方（かた）:肩 北（きた）:滝 タグ 丈（たけ） たこ 下（した）:舌:足し 自他 ただ:ただ［〜の人］ 立て:縦 棚 谷 ねた:種（たね） 畑（はた） 束（たば） 度（たび）:旅 ふた:ふた（蓋）:蓋（ふた） 豚（ぶた） 下手（へた） たま:玉（たま） ため たら 綿（わた） 単
は	25	い え き げ こ し じ ず た だ ち つ と な ね は ば ま む め ら り る れ ん	いは えは きは げは こは しは じは ずは たは だは ちは つは とは なは ねは はは はば はま はむ はめ はら はり はる はれ はん	はい:杯（はい）:灰:肺 栄え 破棄 はげ 箱:箱（はこ） はし:橋:端（はし） 恥 はず 畑（はた） 肌（はだ） 八（はち） 初（はつ）:発:発（はつ） はと 花（はな）:鼻 羽・羽根（はね）:羽（はね） 母 幅 浜 ハム 羽目 腹 張り:針（はり） 春 はれ［〜が引く］:晴れ 半:班
み	26	い う え か き ぎ く こ ご し す ず せ そ ぞ ち つ と な の び ふ み よ り る	いみ うみ えみ かみ きみ ぎみ くみ こみ ごみ しみ すみ ずみ せみ そみ ぞみ ちみ つみ とみ なみ のみ びみ ふみ みみ みよ みり みる	意味 うみ:うみ（生・産）:海（うみ）:生み:産み 笑み:見え:見得（みえ） 上（かみ）:神（かみ）:紙（かみ）:髪 君（きみ）:黄身 右（みぎ） 組:組み 込み［消費税〜］ ごみ しみ ミス:済み:炭:隅 みず:水（みず） せみ:店（みせ） みそ 溝 地味:未知:道（みち） みつ:みつ（蜜）:罪（つみ）:蜜（みつ） 富 並（なみ）:波:皆 のみ:飲み 美味 ふみ（文・書） 耳 読み:読み［〜が外れる］ ミリ みる
り	28	あ い う え お か き ぎ く け げ こ し そ ち つ と ぬ の は ふ ぶ へ み む も よ わ	あり いり うり えり おり かり きり ぎり くり けり げり こり しり そり ちり つり とり ぬり のり はり ふり ぶり へり みり むり もり より りわ	あり 入り 売り 襟 折り 仮:借り:狩り 切り:切り［〜がない］:切り［〜をつける］:力（りき）:霧 義理 くり:陸（りく） けり:けり［〜を付ける］ 下痢 凝り しり:利子 反り 地理 率:釣り 取り:鳥（とり） 塗り のり:乗り 張り:針（はり） 不利:振り:降り ぶり ヘリ ミリ 無理 森:盛（も）り より 割（わり）
あ	29	い お か き く け げ ご さ ざ し じ す せ つ て と ど な に ね へ ぺ め ら り れ わ ん	あい あお あか あき あく あけ あげ あご あさ あざ あし あじ あす あせ あつ あて あと あど あな あに あね あへ あぺ あめ あら あり あれ あわ あん	愛 青 赤 あき（空・明）:秋:空き:飽き あく:悪（あく） ケア:明け 上げ:揚げ あご 朝 あざ:字（あざ） あし:脚（あし）:足（あし） あじ:味（あじ） 明日（あす） 汗 圧 当て 後（あと）:跡 ドア アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］ 兄 姉 ヘア ペア あめ:雨（あめ） 粗（あら） あり あれ:レア:荒れ 泡 あん:案
ち	29	い う え お か き く ぐ け さ し じ ず ち つ と に の は ふ ま み む も ゃ ゆ ょ よ り	いち うち えち おち かち きち くち ぐち けち さち しち じち ずち ちち ちつ ちと ちに ちの ちは ちふ ちま ちみ ちむ ちも ちゃ ちゆ ちょ ちよ ちり	一:一・壱（いち）:一（いち）:位置:地位:壱（いち） うち（中）:うち（内・中）:うち（家）:中（うち）:内（うち）:家（うち）:打ち 知恵 落ち 価値:勝ち:地下 吉:基地 口:地区 愚痴 けち 幸（さち） 七（しち） 知事:自治 地図 父 土（つち） 土地 日（にち） 後（のち） 八（はち） 淵（ふち）:縁（ふち） 待ち:町（まち）:街（まち） 地味:未知:道（みち） 無知 もち:持ち［〜がよい］:持ち［土地〜・自分〜］ 茶 治癒 著 予知:余地 地理
こ	30	い う え か く げ こ さ ざ し じ そ た つ と ど な ね は び ぶ ま み む め や よ り れ ん	いこ うこ えこ かこ くこ げこ ここ こさ こざ こし こじ こそ こた こつ こと こど こな こね こは こび こぶ こま こみ こむ こめ こや こよ こり これ こん	こい:恋:故意 行（こう） 声 過去 国（こく） 焦げ ここ:ここ［〜１，２か月］ 濃さ 雑魚（ざこ） 古紙:古紙・故紙:腰 事故:自己 そこ:底 たこ こつ［覚える〜］ 事（こと）:床（とこ） どこ 粉（こな） コネ［コネクション］:猫 箱:箱（はこ） こび 昆布（こぶ） 駒（こま） 込み［消費税〜］ 婿 米（こめ） 小屋 横 凝り これ 紺
ま	30	い う え き く け げ こ ご さ し す た ち つ て で と ど な ぬ ね は ひ ま め や ゆ る ん	いま うま えま きま くま けま げま こま ごま さま しま すま たま ちま つま てま でま とま どま なま ぬま ねま はま ひま まま まめ まや まゆ まる まん	今（いま）:居間:枚（まい） 馬 前（まえ） 巻き:巻（まき）:薪（まき） 幕:膜 負け 曲げ 駒（こま） ごま:孫 様（さま） 増し:島（しま） ます たま:玉（たま） 待ち:町（まち）:街（まち） 妻（つま）:末（まつ） 手間 デマ 的（まと） 窓 生（なま）:生（なま）［〜の声］ 沼 まね:マネ 浜 暇（ひま）:麻痺 まま:まま［気の向く〜］:ママ まめ:豆 山（やま） まゆ まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる） 万
