成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
あど	ドア	1	み	あどみ	網戸
あね	姉	1	げ	あげね	値上げ
あぺ	ペア	1	す	あすぺ	スペア
あれ	あれ:レア:荒れ	1	ち	あちれ	荒れ地
あわ	泡	1	せ	あせわ	あわせ
いげ	芸	1	か	いかげ	外科医
いも	いも:芋	1	お	いおも	思い
うで	腕	1	す	うすで	薄手
えだ	枝	1	き	えきだ	唾液
えち	知恵	1	ん	えちん	遅延
えひ	冷え	1	か	えかひ	控え
えび	えび	1	ん	えびん	鼻炎
えみ	笑み:見え:見得（みえ）	1	ば	えばみ	見栄え
おゆ	お湯	1	つ	おつゆ	おつゆ
かぐ	家具	1	な	かぐな	金具
かべ	壁（かべ）	1	わ	かべわ	川辺
がけ	けが	1	れ	がけれ	汚（けが）れ
がそ	画素	1	い	いがそ	疎外
がむ	ガム	1	い	いがむ	無害
きと	とき:時（とき）	1	う	うきと	冬期:陶器
きな	泣き	1	い	いきな	機内
きぶ	武器	1	ん	きぶん	分岐:気分
きー	キー	1	け	きけー	ケーキ
ぎす	杉	1	う	うぎす	薄着
ぎみ	右（みぎ）	1	て	ぎてみ	右手
ぎむ	義務:麦	1	こ	ぎこむ	小麦
ぎも	模擬	1	ん	ぎもん	疑問
ぐち	愚痴	1	て	ぐちて	手口
けち	けち	1	い	いけち	地形（ちけい）
けぼ	ぼけ	1	つ	けつぼ	墓穴
げさ	下げ	1	ね	げさね	値下げ
げつ	月（げつ）	1	ま	げつま	まつげ
げは	はげ	1	み	げはみ	励み
げゆ	湯気	1	ま	げまゆ	まゆ毛
こな	粉（こな）	1	ん	こなん	何個
こま	駒（こま）	1	よ	こまよ	真横
ごみ	ごみ	1	ろ	ごみろ	見ごろ
ざひ	ひざ	1	し	ざしひ	日差し
ざわ	技（わざ）	1	し	ざしわ	仕業（しわざ）
しも	霜	1	や	しもや	もやし
じは	恥	1	め	じはめ	はじめ（初・始）:初め:始め
すそ	すそ	1	ー	すそー	ソース
すろ	ロス	1	ー	すろー	スロー:ロース
ずる	ずる	1	の	ずのる	ノズル
せめ	攻め:責め	1	ん	せめん	目線
そへ	へそ	1	い	いそへ	平素
そぼ	祖母	1	ふ	そふぼ	祖父母
そろ	ソロ	1	い	いそろ	そろい
ぞみ	溝	1	の	ぞのみ	望み
たね	ねた:種（たね）	1	か	かたね	高値
だむ	無駄	1	ん	だむん	無断
ちつ	土（つち）	1	う	うちつ	通知
ちま	待ち:町（まち）:街（まち）	1	っ	ちっま	マッチ
ちよ	予知:余地	1	み	ちみよ	夜道
つぼ	つぼ	1	け	けつぼ	墓穴
でま	デマ	1	え	えでま	出前
とは	はと	1	ー	とはー	ハート
とび	跳び	1	ら	とびら	扉
どの	のど	1	う	うどの	濃度
どほ	程（ほど）	1	う	うどほ	歩道
どや	宿（やど）	1	け	けどや	やけど
どろ	泥	1	う	うどろ	道路
なに	何（なに）	1	か	かなに	何（なに）か
にら	にら	1	ば	にばら	バニラ
にわ	庭（にわ）	1	か	かにわ	にわか
ぬり	塗り	1	え	えぬり	塗り絵
