２文字集合	可能な２文字単語
あい	愛
あお	青
あか	赤
あき	あき（空・明）:秋:空き:飽き
あく	あく:悪（あく）
あけ	ケア:明け
あげ	上げ:揚げ
あご	あご
あさ	朝
あざ	あざ:字（あざ）
あし	あし:脚（あし）:足（あし）
あじ	あじ:味（あじ）
あす	明日（あす）
あせ	汗
あつ	圧
あて	当て
あと	後（あと）:跡
あど	ドア
あな	アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］
あに	兄
あね	姉
あへ	ヘア
あぺ	ペア
あめ	あめ:雨（あめ）
あら	粗（あら）
あり	あり
あれ	あれ:レア:荒れ
あわ	泡
あん	あん:案
いえ	家（いえ）
いお	老い
いか	いか:以下:会:医科:回:貝:買い:階:飼い
いが	外（がい）:害:街（がい）
いき	息（いき）:意気:生き:行（い）き
いぎ	意義:異議
いく	悔い
いけ	形（けい）:池:系:計（けい）
いげ	芸
いこ	こい:恋:故意
いご	以後
いさ	才:際（さい）
いざ	材:罪（ざい）:財
いし	医師:意志:意思:石（いし）
いじ	意地:維持
いす	椅子（いす）:水（すい）
いせ	制:姓:性（せい）:正（せい）:生（せい）:背（せい）［〜が高い］:製:静
いぜ	税
いた	タイ:体（たい）:対（たい）:板（いた）
いだ	代（だい）:台（だい）:大（だい）:題
いち	一:一・壱（いち）:一（いち）:位置:地位:壱（いち）
いつ	いつ:対（つい）
いと	問い:意図:糸（いと）:糸（いと）［絃］
いな	内（ない）
いぬ	犬
いね	稲
いは	はい:杯（はい）:灰:肺
いば	倍:杯（ばい）
いふ	不意
いぶ	イブ:部位
いへ	塀（へい）
いぺ	ペイ
いま	今（いま）:居間:枚（まい）
いみ	意味
いめ	名（めい）:命（めい）
いも	いも:芋
いよ	酔い
いり	入り
いる	類（るい）
いれ	例:入れ:冷:礼
いろ	色（いろ）
いわ	岩（いわ）
いん	イン:印（いん）:院
うえ	上（うえ）
うお	王:魚（うお）
うき	右記:雨季:雨期・雨季
うけ	受け
うこ	行（こう）
うご	号
うし	牛
うす	数（すう）
うそ	うそ:うそ［…しなければ〜だ］:層
うぞ	像:増（ぞう）:象
うた	歌（うた）
うち	うち（中）:うち（内・中）:うち（家）:中（うち）:内（うち）:家（うち）:打ち
うつ	痛（つう）:通（つう）:鬱（うつ）
うで	腕
うと	党:当:投:棟（とう）:等（とう）:糖
うど	同（どう）:胴:道（どう）:銅（どう）
うに	うに
うの	脳
うふ	封:風（ふう）
うほ	方（ほう）:法（ほう）
うぼ	棒
うま	馬
うみ	うみ:うみ（生・産）:海（うみ）:生み:産み
うむ	有無（うむ）
うめ	梅
うも	毛（もう）
うゆ	優:夕:有（ゆう）
うよ	曜:様（よう）:用:要
うら	裏
うり	売り
うろ	労
うん	運
えか	かえ（代・替・換）:代え:換え:替え
えき	液:駅
えこ	声
えご	エゴ
えさ	えさ（餌）:餌（えさ）
えす	末（すえ）
えだ	枝
えち	知恵
えな	苗
えは	栄え
えひ	冷え
えび	えび
えま	前（まえ）
えみ	笑み:見え:見得（みえ）
えむ	エム
えゆ	故（ゆえ）
えり	襟
えん	円:宴:縁（えん）
おか	丘:顔:顔［嫌な〜をする］
おく	億:奥
おし	塩（しお）:押し
おじ	伯父・叔父（おじ）:伯父（おじ）:叔父（おじ）
おす	雄（おす）
おち	落ち
おと	音（おと）
おに	鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］
おば	伯母・叔母（おば）:伯母（おば）:叔母（おば）
おび	帯
おふ	オフ
おや	親
おゆ	お湯
おり	折り
おれ	おれ
おん	恩:音（おん）
かが	画家
かき	かき:かき（柿）:下記:夏季:夏期:書き:柿（かき）:火気
かぎ	かぎ（鍵）:鍵（かぎ）
かく	核:格
かぐ	家具
かけ	か（賭）け:欠け:賭（か）け
かげ	外科:影:陰（かげ）
かこ	過去
かご	かご
かさ	かさ:傘:坂
かし	しか:歌詞:歯科:菓子:貸し
かじ	家事:時価:直（じか）
かず	数（かず）
かぜ	風邪（かぜ）:風（かぜ）
かそ	過疎
かた	型（かた）:形（かた）:方（かた）:肩
かち	価値:勝ち:地下
かつ	カツ:活
かて	糧
かど	角（かど）:過度
かな	中（なか）:仮名:仲
かに	かに
かね	かね:金（かね）
かば	ばか
かひ	可否
かび	かび
かふ	不可:付加:負荷
かぶ	かぶ:株:部下
かべ	壁（かべ）
かほ	外（ほか）
かみ	上（かみ）:神（かみ）:紙（かみ）:髪
かめ	かめ
かも	かも:かも［〜になる］
かゆ	床（ゆか）
かよ	余暇
から	殻（から）:殻［〜を破る・〜に閉じこもる］:空（から）
かり	仮:借り:狩り
かれ	彼（かれ）
かわ	かわ（川・河）:川（かわ）:河（かわ）:皮（かわ）:革
かん	勘（かん）:完:寒:感:缶:観:館（かん）
かー	カー
がき	飢餓
がく	学:額（がく）
がけ	けが
がす	ガス
がそ	画素
がむ	ガム
がめ	メガ
がら	柄（がら）
がわ	側（がわ）
がん	ガン:癌:眼（がん）
きき	危機:器機:機器:機器・器機:聞き
きく	菊
きぐ	危惧:器具
きさ	先（さき）:左記
きし	四季:岸:式
きじ	時期:次期:生地:記事
きす	キス:好き:隙（すき）
きず	傷（きず）
きせ	せき:席
きそ	基礎
きた	北（きた）:滝
きち	吉:基地
きつ	付き:月（つき）
きて	敵（てき）:滴（てき）
きで	出来（でき）
きと	とき:時（とき）
きな	泣き
きぬ	抜き:絹
きは	破棄
きひ	匹（ひき）:引き
きび	匹（びき）
きぴ	匹（ぴき）
きふ	寄付:寄付・寄附
きぶ	武器
きべ	べき
きぼ	規模
きま	巻き:巻（まき）:薪（まき）
きみ	君（きみ）:黄身
きむ	むき［〜になる］:向き:無期
きめ	決め
きも	肝（きも）
きや	焼き
きゆ	ゆき:行（ゆ）き:雪（ゆき）
きよ	予期
きり	切り:切り［〜がない］:切り［〜をつける］:力（りき）:霧
きれ	切れ
きろ	キロ:帰路
きわ	わき:ワキ:際（きわ）
きん	禁:菌:金（きん）
きー	キー
ぎく	くぎ
ぎさ	詐欺
ぎす	杉
ぎつ	次（つぎ）
ぎね	ねぎ
ぎふ	義父
ぎみ	右（みぎ）
ぎむ	義務:麦
ぎも	模擬
ぎり	義理
ぎん	銀（ぎん）
くこ	国（こく）
くさ	柵:策:草（くさ）
くし	くし:くし（串）:串（くし）:駆使
くじ	くじ:軸
くず	くず:くず（屑）:屑（くず）
くせ	癖（くせ）
くぞ	族（ぞく）
くち	口:地区
くつ	靴
くと	得（とく）:徳
くど	毒
くに	国（くに）:肉
くび	首
くふ	副:服:福:複
くほ	北（ほく）
くぼ	僕（ぼく）
くま	幕:膜
くみ	組:組み
くも	くも:木（もく）:雲（くも）
