２文字集合	可能な２文字単語
あい	愛
あお	青
あか	赤
あき	あき（空・明）:秋:空き:飽き
あく	あく:悪（あく）
あけ	ケア:上げ:揚げ:明け
あこ	あご
あさ	あざ:字（あざ）:朝
あし	あし:あじ:味（あじ）:脚（あし）:足（あし）
あす	明日（あす）
あせ	汗
あつ	圧
あて	当て
あと	ドア:後（あと）:跡
あな	アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］
あに	兄
あね	姉
あへ	ヘア:ペア
あめ	あめ:雨（あめ）
あら	粗（あら）
あり	あり
あれ	あれ:レア:荒れ
あわ	泡
あん	あん:案
いえ	家（いえ）
いお	老い
いか	いか:以下:会:医科:回:外（がい）:害:街（がい）:貝:買い:階:飼い
いき	息（いき）:意気:意義:生き:異議:行（い）き
いく	悔い
いけ	形（けい）:池:系:芸:計（けい）
いこ	こい:以後:恋:故意
いさ	才:材:罪（ざい）:財:際（さい）
いし	医師:意地:意志:意思:石（いし）:維持
いす	椅子（いす）:水（すい）
いせ	制:姓:性（せい）:正（せい）:生（せい）:税:背（せい）［〜が高い］:製:静
いた	タイ:代（だい）:体（たい）:台（だい）:大（だい）:対（たい）:板（いた）:題
いち	一:一・壱（いち）:一（いち）:位置:地位:壱（いち）
いつ	いつ:対（つい）
いと	問い:意図:糸（いと）:糸（いと）［絃］
いな	内（ない）
いぬ	犬
いね	稲
いは	はい:倍:杯（はい）:杯（ばい）:灰:肺
いふ	イブ:不意:部位
いへ	ペイ:塀（へい）
いま	今（いま）:居間:枚（まい）
いみ	意味
いめ	名（めい）:命（めい）
いも	いも:芋
いよ	酔い
いり	入り
いる	類（るい）
いれ	例:入れ:冷:礼
いろ	色（いろ）
いわ	岩（いわ）
いん	イン:印（いん）:院
うえ	上（うえ）
うお	王:魚（うお）
うき	右記:雨季:雨期・雨季
うけ	受け
うこ	号:行（こう）
うし	牛
うす	数（すう）
うそ	うそ:うそ［…しなければ〜だ］:像:増（ぞう）:層:象
うた	歌（うた）
うち	うち（中）:うち（内・中）:うち（家）:中（うち）:内（うち）:家（うち）:打ち
うつ	痛（つう）:通（つう）:鬱（うつ）
うて	腕
うと	党:同（どう）:当:投:棟（とう）:等（とう）:糖:胴:道（どう）:銅（どう）
うに	うに
うの	脳
うふ	封:風（ふう）
うほ	方（ほう）:棒:法（ほう）
うま	馬
うみ	うみ:うみ（生・産）:海（うみ）:生み:産み
うむ	有無（うむ）
うめ	梅
うも	毛（もう）
うゆ	優:夕:有（ゆう）
うよ	曜:様（よう）:用:要
うら	裏
うり	売り
うろ	労
うん	運
えか	かえ（代・替・換）:代え:換え:替え
えき	液:駅
えこ	エゴ:声
えさ	えさ（餌）:餌（えさ）
えす	末（すえ）
えた	枝
えち	知恵
えな	苗
えは	栄え
えひ	えび:冷え
えま	前（まえ）
えみ	笑み:見え:見得（みえ）
えむ	エム
えゆ	故（ゆえ）
えり	襟
えん	円:宴:縁（えん）
おか	丘:顔:顔［嫌な〜をする］
おく	億:奥
おし	伯父・叔父（おじ）:伯父（おじ）:叔父（おじ）:塩（しお）:押し
おす	雄（おす）
おち	落ち
おと	音（おと）
おに	鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］
おは	伯母・叔母（おば）:伯母（おば）:叔母（おば）
おひ	帯
おふ	オフ
おや	親
おゆ	お湯
おり	折り
おれ	おれ
おん	恩:音（おん）
かか	画家
かき	かき:かき（柿）:かぎ（鍵）:ギガ:下記:夏季:夏期:書き:柿（かき）:火気:鍵（かぎ）:飢餓
かく	学:家具:核:格:額（がく）
かけ	か（賭）け:けが:外科:影:欠け:賭（か）け:陰（かげ）
かこ	かご:過去
かさ	かさ:傘:坂
かし	しか:家事:時価:歌詞:歯科:直（じか）:菓子:貸し
かす	ガス:数（かず）
かせ	風邪（かぜ）:風（かぜ）
かそ	画素:過疎
かた	型（かた）:形（かた）:方（かた）:肩
かち	価値:勝ち:地下
かつ	カツ:活
かて	糧
かと	角（かど）:過度
かな	中（なか）:仮名:仲
かに	かに
かね	かね:金（かね）
かは	ばか
かひ	かび:可否
かふ	かぶ:不可:付加:株:負荷:部下
かへ	壁（かべ）
かほ	外（ほか）
かみ	上（かみ）:神（かみ）:紙（かみ）:髪
かむ	ガム
かめ	かめ:メガ
かも	かも:かも［〜になる］
かゆ	床（ゆか）
かよ	余暇
から	柄（がら）:殻（から）:殻［〜を破る・〜に閉じこもる］:空（から）
かり	仮:借り:狩り
かれ	彼（かれ）
かわ	かわ（川・河）:側（がわ）:川（かわ）:河（かわ）:皮（かわ）:革
かん	ガン:勘（かん）:完:寒:感:癌:眼（がん）:缶:観:館（かん）
かー	カー
きき	危機:器機:機器:機器・器機:聞き
きく	くぎ:危惧:器具:菊
きさ	先（さき）:左記:詐欺
きし	四季:岸:式:時期:次期:生地:記事:議事
きす	キス:傷（きず）:好き:杉:隙（すき）
きせ	せき:席
きそ	基礎
きた	北（きた）:滝
きち	吉:基地
きつ	付き:月（つき）:次（つぎ）
きて	出来（でき）:敵（てき）:滴（てき）
きと	とき:時（とき）
きな	泣き
きぬ	抜き:絹
きね	ねぎ
きは	破棄
きひ	匹（ひき）:匹（びき）:匹（ぴき）:引き
きふ	寄付:寄付・寄附:武器:義父
きへ	べき
きほ	規模
きま	巻き:巻（まき）:薪（まき）
きみ	右（みぎ）:君（きみ）:黄身
きむ	むき［〜になる］:向き:無期:義務:麦
きめ	決め
きも	模擬:肝（きも）
きや	焼き
きゆ	ゆき:行（ゆ）き:雪（ゆき）
きよ	予期
きり	切り:切り［〜がない］:切り［〜をつける］:力（りき）:義理:霧
きれ	切れ
きろ	キロ:帰路
きわ	わき:ワキ:際（きわ）
きん	禁:菌:金（きん）:銀（ぎん）
きー	キー
くこ	国（こく）
くさ	柵:策:草（くさ）
くし	くし:くし（串）:くじ:串（くし）:軸:駆使
くす	くず:くず（屑）:屑（くず）
くせ	癖（くせ）
くそ	族（ぞく）
くた	タグ
くち	口:地区:愚痴
くつ	靴
くと	得（とく）:徳:毒
くに	国（くに）:肉
くひ	首
くふ	副:服:福:複
くほ	僕（ぼく）:北（ほく）
くま	幕:膜
くみ	組:組み
くも	くも:木（もく）:雲（くも）
くや	役（やく）:約:訳
くよ	欲:翌
くら	くら（倉・蔵）:楽（らく）
くり	くり:陸（りく）
くれ	暮れ
くろ	くろ:六（ろく）:黒（くろ）
くわ	枠
くん	郡（ぐん）
けこ	焦げ
けさ	けさ:さけ:下げ:今朝（けさ）:酒（さけ）
けし	地毛
けた	丈（たけ）
けち	けち
けつ	付け:月（げつ）:欠:決
けな	投げ
けに	逃げ
けぬ	抜け
けは	はげ
