３文字集合	可能な３文字単語
ああし	アジア
あいき	気合い
あいく	具合:悪意
あいし	自愛:試合
あいす	アイス:合図
あいそ	愛想（あいそ）
あいた	価（あたい）:値（あたい）:間（あいだ）
あいつ	あいつ:威圧
あいて	出会い:相手
あいに	似合い
あいは	場合
あいふ	歩合
あいま	合間
あいら	洗い
あうと	アウト
あえし	シェア
あえち	チェア
あえふ	フェア
あえま	甘え
あえり	エリア
あえん	亜鉛
あおさ	青さ
あおな	青菜
あおり	あおり
あかし	赤字
あかつ	悪化
あかて	手あか
あかみ	赤身
あかり	ありか:上がり:明かり
あかん	安価
あきす	小豆（あずき）
あきち	空き地:空き地・明き地
あきつ	厚着:気圧
あきや	空き家
あきる	歩き
あきん	暗記:議案
あくけ	挙げ句:挙げ句・揚げ句:揚げ句
あくし	悪事
あくは	把握
あくひ	あくび
あくま	悪魔:雨具
あくむ	悪夢
あくり	クリア
あけし	仕上げ
あけす	預け
あけな	毛穴
あけね	値上げ
あけよ	夜明け
あここ	ココア
あこす	スコア
あこそ	あそこ
あこん	あんこ
あさつ	厚さ:暑さ:熱さ
あさひ	朝日
あさめ	浅め
あさり	あさり
あしす	素足
あした	あした（明日）:あした（朝）:明日（あした）
あして	手足（てあし）
あしに	シニア
あしは	足場
あしみ	味見
あしら	あらし
あしろ	ロシア
あしん	思案:暗示
あすと	ストア
あすへ	スペア
あせも	あせも
あせり	焦（あせ）り
あせわ	あわせ
あそひ	遊び
あたな	あだ名:あなた
あたま	頭（あたま）
あたり	当たり:辺り
あたん	安打
あちつ	あっち
あちら	あちら
あちれ	荒れ地
あちん	治安
あつて	厚手
あつふ	アップ
あつみ	厚み
あつめ	厚め
あつー	ツアー
あてて	手当て:手当［通勤〜］
あてな	あて名
あてめ	目当て
あとみ	網戸
あとー	アート
あなは	穴場
あにま	マニア
あにめ	アニメ
あのひ	ピアノ
あひる	あひる:ある日
あふら	あぶら（油・脂）:油（あぶら）:脂（あぶら）
あふろ	フロア
あふん	ファン:不安
あまみ	甘み
あまり	余り
あみゆ	歩み
あみる	アルミ
いいか	以外
いいけ	敬意:経緯
いいこ	いい子
いいす	推移:水位
いいせ	威勢:異性:誠意
いいた	体位
いいち	一位
いいな	以内
いいね	言い値
いいら	以来:依頼
いいる	衣類
いいれ	異例
いいわ	祝い
いいん	医院:委員
いうか	うがい:迂回
いうこ	以降:合意:好意:意向:移行:行為
いうそ	相違:総意
いうと	同意:異動:移動
いうは	梅雨（ばいう）
いうほ	方位:違法
いうゆ	優位
いうよ	用意
いうら	雷雨
いえか	映画
いえこ	英語:護衛
いえし	市営:英字
いえす	イエス
いえり	営利
いおお	覆い
いおて	おいで
いおに	におい
いおめ	汚名
いおも	思い
いおる	オイル
いおれ	お礼
いおん	イオン
いかか	外貨:絵画:開花
いかき	会議:機会:機械:議会
いかく	医学:各位
いかけ	外科医:家計:経過
