４文字集合	可能な４文字単語
ああきき	飽き飽き
ああしと	足跡（あしあと）
ああとと	後後（あとあと）
あいいい	言い合い
あいいさ	最愛
あいいみ	意味合い
あいいろ	色合い
あいうそ	愛想（あいそう）
あいうほ	相棒
あいうよ	愛用
あいおそ	お愛想
あいおり	折り合い
あいかけ	掛け合い:買い上げ
あいかつ	扱い
あいかね	兼ね合い
あいかろ	赤色（あかいろ）
あいきつ	付き合い
あいきひ	引き合い
あいくさ	最悪
あいくせ	悪性（あくせい）
あいくふ	不具合
あいくみ	組合
あいけん	愛犬
あいこん	アイコン
あいさち	朝市
あいさつ	挨拶（あいさつ）
あいさま	毎朝
あいしり	知り合い
あいしわ	味わい
あいすつ	水圧
あいせつ	制圧
あいせん	安静
あいそら	争い
あいたち	立ち会い:立ち合い
あいたり	イタリア:リタイア
あいたん	代案:大安:安泰
あいつり	釣り合い
あいてむ	アイテム
あいてめ	メディア
あいてら	手洗い
あいてん	安定:提案
あいとふ	ファイト
あいとり	取り合い
あいとる	アイドル
あいとん	インドア
あいなれ	なれ合い
あいなん	案内
あいにふ	不似合い
あいにま	間に合い
あいはり	張り合い
あいふる	ファイル
あいふれ	触れ合い
あいめん	名案:明暗
あいりわ	割合
あいれん	恋愛
あいろん	アイロン
あうくよ	悪用
あうけと	胴上げ
あうけり	売り上げ
あうこつ	高圧
あうこん	暗号:考案
あうさゆ	朝夕（あさゆう）
あうしす	薄味
あうたー	アウター
あうつと	圧倒
あうとま	甘党
あうとん	答案
あうなめ	穴埋め
あうふる	ファウル
あえこん	エアコン:エアコン［エアコンディショナー］
あえしま	前足
あえとり	アトリエ
あえはへ	ｐＨ（ペーハー）
あおおめ	大雨（おおあめ）
あおおれ	大荒れ
あおきさ	朝起き
あおけす	お預け
あおけて	お手上げ
あおけむ	あお向け
あおしし	塩味
あおしそ	青じそ
あおしと	後押し:足音
あおしる	青汁
あおそら	青空
あかきら	がらあき（空・明）:がら空き
あかきん	空き缶
あかけし	駆け足
あかけた	明け方
あかけら	空揚げ
あかこれ	あこがれ
あかさた	朝型:朝方
あかさま	雨傘
あかさる	明るさ
あかさん	母さん
あかしり	仕上がり
あかすり	預かり
あかせめ	雨風（あめかぜ）
あかたの	あの方
あかたり	在り方
あかつり	暑がり
あかつん	圧巻
あかとほ	アボカド
あかとま	後がま
あかねり	値上がり
あかふり	アフリカ
あかまら	甘辛
あかみる	明るみ
あかめり	アメリカ
あかゆり	湯上がり
あきくぬ	あく抜き
あきけひ	引き上げ
あきけり	切り上げ
あきこは	空き箱
あきさて	あて先
あきさと	後先（あとさき）
あきしり	ギリシア
あきすと	傷跡
あきそら	秋空
あきつや	厚焼き
あきつり	厚切り
あきとる	ある時
あきひん	空き瓶
あきめら	あきらめ
あきやり	キャリア
あくくや	悪役
あくけま	幕開け
あくけり	繰り上げ
あくさよ	翌朝（よくあさ）
あくしひ	足首
あくしゆ	握手
あくせた	汗だく
あくせる	アクセル
あくせん	善悪
あくたつ	アタック
あくちま	甘口
あくつは	圧迫
あくつよ	抑圧
あくなろ	アナログ
あくにん	悪人
あくまも	雨雲
あくもん	暗黙
あくるん	アングル
あけけさ	上げ下げ
あけこそ	上げ底:底上げ
あけさつ	浅漬け
あけさま	甘酒
あけしつ	味付け
あけしと	年明け
あけしめ	開け閉め
あけたち	立ち上げ
あけたな	棚上げ
あけちん	賃上げ
あけつつ	血圧
あけつみ	積み上げ
あけつゆ	梅雨明け
あけてに	当て逃げ
あけとり	取り上げ
あけなぬ	抜け穴
あけなふ	危なげ
あけのも	揚げ物
あけりわ	訳あり
あけんん	原案:案件
あこしし	足腰
あこちち	あちこち
あことの	この後（あと）
あこれれ	あれこれ
あさつて	あさって
あさはん	ばあさん:朝晩
あさまり	ありさま
あさんん	暗算
あししよ	よしあし
あしせわ	幸せ:幸せ・仕合わせ
あしそみ	みそ味
あしたと	後出し［じゃんけん］
あしたむ	無駄足
あしたー	シアター
あしちも	持ち味
あしとも	足もと
あしとり	足どり
あしとる	ある年
あしなみ	足並み
あしなる	あるなし
あしふみ	足踏み
あしゆる	ある種［〜の］
あしりる	シリアル
あしれん	アレンジ
あしんん	安心
あすせみ	汗水
あすとれ	アドレス
あすまみ	雨水（あまみず）
あせひや	冷や汗
あせみわ	見合わせ
あせんん	安全
あそはひ	遊び場
あそひよ	夜遊び
あそふー	ソファー
あそまら	雨空
あたてわ	泡立て
あたはり	場当たり
あたはれ	肌荒れ
あたひり	日当たり
あたふー	アフター
あたまめ	あめ玉
あためら	改め
あちまや	過ち
あつてん	電圧
あつとめ	つめあと
あつはん	発案
あつふる	アップル
あつまり	集まり
あつりん	立案
あてなん	アンテナ
あてりわ	割り当て
あとのひ	あの人
あとはー	アパート
あとひる	ある人
あとふり	アドリブ
あにへる	ヘルニア
あにまる	アニマル
あのへん	あの辺
あはむる	アルバム
あはんん	あんパン
あひるー	アピール
あふみら	脂身:脂身［調理用］
あふめり	雨降り
あまもり	雨漏り
あまやり	誤り
あみんん	安眠
あむらー	アラーム
あもゆー	ユーモア
あられわ	現れ
いいえか	言い換え
いいえけ	経営
いいえす	水泳
いいえせ	衛星:衛生
いいおき	勢い
いいおわ	お祝い
いいかか	海外:開会
いいかき	生きがい
いいかく	買い食い
いいかけ	会計:警戒
いいかさ	再会:再開:最下位:災害:財界:開催
いいかす	水害:海水
いいかせ	快晴:改正:正解
いいかた	大会:大概:言い方:退会
いいかつ	一回
いいかて	改定:改訂:海底
いいかな	いい仲:内外:内科医
いいかは	徘徊
いいかへ	閉会:開閉
いいかま	毎回
いいかめ	明解:解明
いいかれ	例外
いいかん	会員
いいきす	言い過ぎ
いいくし	食い意地
いいくせ	育成
いいくた	体育
いいけさ	掲載:経済
いいけせ	形勢:形成:成形:整形
いいけた	体型［体格の型］:体形:形態:携帯
いいけて	定型:定形:提携
いいけは	背景
いいける	累計
いいけわ	言い分け:言い訳
いいさせ	再生
いいさた	最大:滞在
いいさつ	一切
いいさて	体裁（ていさい）:最低
いいさは	栽培:采配
いいさら	再来
いいさわ	幸い
いいしと	いい年
いいすせ	水性
いいすた	衰退
いいすて	推定:泥酔
いいすは	排水
いいすへ	水平
いいせた	体制:体勢:態勢:整体:正体:生態:耐性
いいせつ	一斉
いいせて	訂正
いいせへ	平成:平静
いいせめ	姓名:生命
いいせれ	冷静
いいたた	だいだい:代替（だいたい）:大体
いいたち	第一
いいたつ	一体
いいたて	停滞
いいたな	体内
いいたは	大敗:媒体:敗退
いいため	題名
いいたれ	例題
いいたん	引退:退院
いいちち	いちいち
いいちて	定位置
いいちは	一倍
いいちれ	一例
いいちん	一員:一因
いいつて	一定
いいつゆ	唯一（ゆいいつ）
いいてめ	低迷
いいてれ	定例
いいてん	定員
いいとひ	いい人
いいなり	言いなり
いいはは	売買（ばいばい）
いいはろ	灰色
いいふん	言い分
いいめれ	命令
いいらら	いらいら
いうえこ	光栄:栄光
いうえそ	映像
いうえほ	防衛
いうえよ	栄養
いうえん	運営
いうおけ	請負（うけおい）
いうおた	対応:応対
いうおへ	欧米
いうおる	潤い
いうおん	押印
いうかか	伺い
いうかこ	公開:口外:外交:後悔:郊外
いうかす	回数
いうかそ	回想:改造:海草（かいそう）:海藻:総会
いうかた	疑い
いうかつ	開通
いうかと	回答:外灯:東海:街灯:街道:解凍:解答:該当
いうかふ	開封
いうかほ	介抱:崩壊:解放:開放
いうかゆ	有害
いうかよ	概要
いうかり	売り買い
いうきこ	広域
いうきよ	偉業:脅威:驚異
いうくた	待遇
いうくよ	養育
いうけこ	傾向:光景:合計:工芸:後継:蛍光
いうけそ	総計:軽装:送迎
いうけと	系統:統計
いうけふ	風景
いうけほ	警報
いうけれ	受け入れ
いうこさ	交際:再考:最高
いうこす	洪水:遂行:香水
いうこせ	公正:厚生:合成:後世（こうせい）:成功:更生:構成
いうこた	交代:交代・交替:交替:代行:対抗:後退:抗体
いうこつ	一行
いうこて	工程:抵抗:校庭:肯定:行程
いうこな	口内
いうこは	後輩:購買:配合
いうこへ	並行:公平:平行
いうこれ	号令:恒例:高齢
いうさそ	相殺（そうさい）
いうさと	搭載:東西
いうさの	才能
いうさほ	細胞:防災
いうさゆ	有罪
いうさよ	採用
いうしゆ	周囲:異臭:移住
いうしよ	上位:以上:異常:衣装
いうすそ	水槽
いうすと	水道
いうすほ	防水
いうすま	枚数
いうすよ	水曜
いうする	ウイルス［ビールス］
いうせそ	増税:正装:清掃:製造
いうせと	同姓:同性:正統
いうせの	性能:納税
いうせほ	製法
いうせゆ	優勢
いうせよ	西洋:要請:陽性
いうせん	運勢
いうそた	体操:増大:早退
いうそつ	一掃
いうそて	想定
いうそな	内臓:内蔵:内装
いうそは	配送
いうそめ	迷走
いうそれ	冷蔵
いうそん	増員
いうたと	対等
いうたの	滞納
いうたふ	台風
いうたほ	包帯:待望:膨大
いうたゆ	優待
いうたよ	代用:太陽:容体（ようたい）:容体（ようだい）:容態（ようたい）:容態（ようだい）
いうちと	一同
いうちゆ	注意
いうちよ	いちょう:胃腸
いうつと	一等:統一
いうつほ	一報:一方:追放
いうつん	通院
いうとは	配当
いうとめ	同名:透明
いうとも	妹
いうとら	到来
いうとる	同類
いうとれ	冷凍
いうとん	動員
いうなよ	内容
いうなら	占い
いうはゆ	俳優
いうふよ	不用意
いうふれ	冷風
いうへほ	平方
いうへよ	併用
いうほれ	冷房:法令
いうほん	暴飲
いうめん	運命
いうゆれ	幽霊
いうより	入り用:医療:衣料
いうよん	引用:要因:飲用
いええん	永遠
いえかか	映画化
いえかれ	入れ替え
いえかん	開演
いえきた	液体
いえきめ	駅名
いえきん	駅員
いえくこ	英国
いえくや	英訳
いえけん	円形:園芸
いえさつ	撮影
いえせひ	いせえび
いえせん	声援
いえたん	延滞
いえちも	持ち家
いえちん	一円
いえはん	反映:繁栄
いえひむ	Ｐ．Ｍ．
いえふん	英文
いおおく	大食い
いおおせ	大勢（おおぜい）
いおかき	買い置き
いおかく	屋外
いおかせ	追い風
いおかた	お互い
いおかろ	顔色（かおいろ）
いおきた	追い炊き
いおきな	補い
いおきぬ	追い抜き
いおきん	音域
いおくと	お得意
いおくな	屋内
いおけん	恩恵
いおこな	行い
いおこみ	追い込み
いおさら	おさらい
いおした	追い出し
いおしち	一押し:一押し・一推し:一推し
いおしま	おしまい
いおしれ	押し入れ
いおすふ	オフィス
いおすん	水温:温水
いおせほ	お歳暮
いおせん	音声
いおそよ	装い
いおそろ	おそろい［〜で・〜の］:おそろい［〜の着物］
いおたち	生い立ち
いおたん	体温
いおても	思い出
いおてん	低温:低音:音程
いおとと	おととい
いおへん	平穏
いおまり	お参り
いおらわ	お笑い
いかかく	改革
いかかた	買い方
いかかち	地下街
いかかん	会館:外観:快感:感慨:海岸（かいがん）:眼科医:開館
いかきけ	行（い）きかけ
いかきし	市議会:石垣
いかきせ	会席:解析
いかきた	生き方:行（い）き方
いかきつ	気遣い
いかきと	買い時
いかきな	長生き
いかきへ	外壁
いかきん	解禁
いかくけ	計画
いかくこ	国外:外国
いかくせ	学生:性格:税額:覚醒
いかくそ	快速
いかくた	体格:具体化:大学:快諾:拡大
いかくて	定額:確定
いかくと	解読:買い得
いかくな	内閣
いかくふ	回復
いかくま	開幕
いかくめ	革命
いかくや	解約
いかくら	いくらか:快楽
いかくわ	枠外
いかくん	学院
いかけこ	過去形
いかけつ	解決
いかけほ	家計簿
いかけん	会見:圏外:外見:景観:歓迎:見解:警官:関係:限界
いかこつ	国会:小遣い
いかこて	固定化
いかこね	飼い猫
いかこん	今回
いかさつ	改札
いかさま	いかさま
いかさめ	境目
いかさや	居酒屋
いかさわ	かわいさ
いかさん	完済:概算:残骸:解散:関西
いかしせ	世界史:政治家:自家製:静止画
いかした	買い出し
いかしち	市街地
いかしつ	室外
いかしと	度外視
いかしに	二次会
いかしぬ	買い主:飼い主
いかしは	支配下
いかしめ	買い占め
いかしや	会社:外車:社会:社外
いかしよ	初回:解除:除外
いかしん	侵害:外人:改心
いかすれ	いずれか
いかせつ	生活:解説
いかせひ	非課税
いかせん	全開:前回:回線:完成:感性:改善:歓声
いかそわ	川沿い
いかそん	損害
いかたた	たたかい（戦・闘）:戦い:闘い
いかたつ	合体
いかため	買いだめ
いかたん	会談:体感:大寒:怪談:段階:階段
いかちつ	一月
いかちて	手違い
いかちま	間違い
いかちん	一丸
いかつつ	一括
いかつて	使いで:撤回
いかつと	読解
いかつは	開発
いかつめ	壊滅
いかつや	厄介
いかつん	一貫
いかてん	回転:展開:鑑定:開店
いかとり	理解度:買い取り
いかなめ	長い目［〜で見る］
いかなん	難解
いかねん	概念
いかのみ	飲み会
いかのも	買い物
いかはん	乾杯:完売:完敗:番外
いかひる	ビル街
いかふゆ	不愉快
いかふり	深入り
いかふん	分解:異文化
いかへん	弁解
いかまん	満開
いかまー	マイカー
いかめら	銘柄
いかめん	外面:感銘
いかやり	やりがい
いからろ	色柄
いからん	回覧:来館
いかれん	慣例
いかわん	違和感
いかんん	印鑑
いききさ	行（い）き先
いききす	行（い）き過ぎ
いききぬ	息抜き
いききれ	息切れ
いきくさ	行（い）く先
いきくす	食い過ぎ
いきけし	型式（けいしき）:形式（けいしき）
いきけせ	形跡
いきけつ	行（い）きつけ
いきけふ	不景気
いきけれ	激励:経歴
いきこみ	意気込み
いきさし	色彩
いきさせ	在籍
いきさつ	いきさつ
いきさん	最近:細菌
いきしし	自意識
いきしせ	正式
いきしつ	一式（いっしき）
